Date,Id,Tweet,Username,Location,likeCount,replyCount,retweetCount,quoteCount,userDescription,userFollowers,hashtags,Cleaned_Tweet,Tweet_tokenized,Tweet_removed_stop_word,Tweet_stemmed,Tweet_lemmatized,sentiment,Country
2022-06-05 19:31:15+00:00,1533531916409896960,All of the above are side effects of that medicine. Many people as I heard now don’t respond well to it yet it’s still giving out to patients that can’t especially when given said medication speak for themselves. This is not okay no health system should drug patients for (2),ladydewinter02,Europe,1,2,0,0,"""Our greatest glory is not in never falling, but in rising every time we fall."" - Confucius Banner by @siby10000",151,,all of the above are side effects of that medicine many people as i heard now dont respond well to it yet its still giving out to patients that cant especially when given said medication speak for themselves this is not okay no health system should drug patients for 2,"['all', 'of', 'the', 'above', 'are', 'side', 'effects', 'of', 'that', 'medicine', 'many', 'people', 'as', 'i', 'heard', 'now', 'dont', 'respond', 'well', 'to', 'it', 'yet', 'its', 'still', 'giving', 'out', 'to', 'patients', 'that', 'cant', 'especially', 'when', 'given', 'said', 'medication', 'speak', 'for', 'themselves', 'this', 'is', 'not', 'okay', 'no', 'health', 'system', 'should', 'drug', 'patients', 'for', '2']","['side', 'effects', 'medicine', 'many', 'people', 'heard', 'dont', 'respond', 'well', 'yet', 'still', 'giving', 'patients', 'cant', 'especially', 'given', 'said', 'medication', 'speak', 'okay', 'health', 'system', 'drug', 'patients', '2']","['side', 'effect', 'medicin', 'mani', 'peopl', 'heard', 'dont', 'respond', 'well', 'yet', 'still', 'give', 'patient', 'cant', 'especi', 'given', 'said', 'medic', 'speak', 'okay', 'health', 'system', 'drug', 'patient', '2']","['side', 'effects', 'medicine', 'many', 'people', 'heard', 'dont', 'respond', 'well', 'yet', 'still', 'giving', 'patients', 'cant', 'especially', 'given', 'said', 'medication', 'speak', 'okay', 'health', 'system', 'drug', 'patients', '2']",2,Switzerland
2022-05-22 18:07:35+00:00,1528437432689078272,Inauguration of the sculpture ‘Früchte tragen’ by Simone Holliger in the new WHO extension in the presence of Director General @DrTedros. A gift from Switzerland and a token of our support for the @WHO. May our multilateral efforts to strengthen global health bear fruit. https://t.co/NOtnBg0TRH,alain_berset,Suisse,55,36,12,13,"Conseiller fédéral, chef du Département fédéral de l’intérieur (DFI)🇨🇭",184416,,inauguration of the sculpture frchte tragen by simone holliger in the new who extension in the presence of director general a gift from switzerland and a token of our support for the may our multilateral efforts to strengthen global health bear fruit,"['inauguration', 'of', 'the', 'sculpture', 'frchte', 'tragen', 'by', 'simone', 'holliger', 'in', 'the', 'new', 'who', 'extension', 'in', 'the', 'presence', 'of', 'director', 'general', 'a', 'gift', 'from', 'switzerland', 'and', 'a', 'token', 'of', 'our', 'support', 'for', 'the', 'may', 'our', 'multilateral', 'efforts', 'to', 'strengthen', 'global', 'health', 'bear', 'fruit']","['inauguration', 'sculpture', 'frchte', 'tragen', 'simone', 'holliger', 'new', 'extension', 'presence', 'director', 'general', 'gift', 'switzerland', 'token', 'support', 'may', 'multilateral', 'efforts', 'strengthen', 'global', 'health', 'bear', 'fruit']","['inaugur', 'sculptur', 'frchte', 'tragen', 'simon', 'hollig', 'new', 'extens', 'presenc', 'director', 'gener', 'gift', 'switzerland', 'token', 'support', 'may', 'multilater', 'effort', 'strengthen', 'global', 'health', 'bear', 'fruit']","['inauguration', 'sculpture', 'frchte', 'tragen', 'simone', 'holliger', 'new', 'extension', 'presence', 'director', 'general', 'gift', 'switzerland', 'token', 'support', 'may', 'multilateral', 'efforts', 'strengthen', 'global', 'health', 'bear', 'fruit']",5,Switzerland
2021-12-25 09:54:05+00:00,1474679833967923212,"The gift of happiness, the gift of best health, the gift of peace and the gift of prosperity. I hope you can unwrap all these gifts on this Christmas day! Wishing all of you a Season’s Greetings! https://t.co/kJehkbzitU",pmeharunkar,"Lombardy, Italy",0,0,0,0,"Engineer & MBA, 28 yrs in IT Industry, Hunter, Global Delivery, 18 yrs Country Head, ESG, NED, 17 yrs in Italy helping companies to enter Southern Europe market",139,,the gift of happiness the gift of best health the gift of peace and the gift of prosperity i hope you can unwrap all these gifts on this christmas day wishing all of you a seasons greetings,"['the', 'gift', 'of', 'happiness', 'the', 'gift', 'of', 'best', 'health', 'the', 'gift', 'of', 'peace', 'and', 'the', 'gift', 'of', 'prosperity', 'i', 'hope', 'you', 'can', 'unwrap', 'all', 'these', 'gifts', 'on', 'this', 'christmas', 'day', 'wishing', 'all', 'of', 'you', 'a', 'seasons', 'greetings']","['gift', 'happiness', 'gift', 'best', 'health', 'gift', 'peace', 'gift', 'prosperity', 'hope', 'unwrap', 'gifts', 'christmas', 'day', 'wishing', 'seasons', 'greetings']","['gift', 'happi', 'gift', 'best', 'health', 'gift', 'peac', 'gift', 'prosper', 'hope', 'unwrap', 'gift', 'christma', 'day', 'wish', 'season', 'greet']","['gift', 'happiness', 'gift', 'best', 'health', 'gift', 'peace', 'gift', 'prosperity', 'hope', 'unwrap', 'gifts', 'christmas', 'day', 'wishing', 'seasons', 'greetings']",5,Switzerland
2020-09-16 23:28:12+00:00,1306374358282252288,"What a great fight from our team, GGWP @GODSENTgg. Some players are not playing under the best possible health condition, that's not an excuse for our mistakes but a statement how good our mentality really is. I'm very proud, couldn't have asked for a better birthday gift! #GOBIG https://t.co/aEpCvPLat2",ChristianLenz,"Kelsterbach, Deutschland",121,1,2,0,Chief Gaming Officer for @BIGCLANgg / instagram.com/christianlenz / twitch.tv/christianlenz,17364,['GOBIG'],what a great fight from our team ggwp some players are not playing under the best possible health condition thats not an excuse for our mistakes but a statement how good our mentality really is im very proud couldnt have asked for a better birthday gift gobig,"['what', 'a', 'great', 'fight', 'from', 'our', 'team', 'ggwp', 'some', 'players', 'are', 'not', 'playing', 'under', 'the', 'best', 'possible', 'health', 'condition', 'thats', 'not', 'an', 'excuse', 'for', 'our', 'mistakes', 'but', 'a', 'statement', 'how', 'good', 'our', 'mentality', 'really', 'is', 'im', 'very', 'proud', 'couldnt', 'have', 'asked', 'for', 'a', 'better', 'birthday', 'gift', 'gobig']","['great', 'fight', 'team', 'ggwp', 'players', 'playing', 'best', 'possible', 'health', 'condition', 'thats', 'excuse', 'mistakes', 'statement', 'good', 'mentality', 'really', 'im', 'proud', 'couldnt', 'asked', 'better', 'birthday', 'gift', 'gobig']","['great', 'fight', 'team', 'ggwp', 'player', 'play', 'best', 'possibl', 'health', 'condit', 'that', 'excus', 'mistak', 'statement', 'good', 'mental', 'realli', 'im', 'proud', 'couldnt', 'ask', 'better', 'birthday', 'gift', 'gobig']","['great', 'fight', 'team', 'ggwp', 'players', 'playing', 'best', 'possible', 'health', 'condition', 'thats', 'excuse', 'mistakes', 'statement', 'good', 'mentality', 'really', 'im', 'proud', 'couldnt', 'asked', 'better', 'birthday', 'gift', 'gobig']",5,Switzerland
2019-12-02 06:35:59+00:00,1201389530911252481,Congratulation 2 our new Sri Sri Yoga teachers from 8 countries in #Europe. So beautiful to see the transformation of everyone. To teach #authentic yoga in its purest form is a #beautiful #gift. @SriSri @ArtofLivingYoga @jyothirmayah #srisrischoolofyoga #yoga #yogi #health #Happy https://t.co/mL2BvDl4gQ,BrittaSteiger,Bad Antogast,66,0,22,1,"Art of Living (Yoga) teacher, Yoga enthusiast, on an inward journey to the truth & beauty of life",447,"['Europe', 'authentic', 'beautiful', 'gift', 'srisrischoolofyoga', 'yoga', 'yogi', 'health', 'Happy']",congratulation 2 our new sri sri yoga teachers from 8 countries in europe so beautiful to see the transformation of everyone to teach authentic yoga in its purest form is a beautiful gift srisrischoolofyoga yoga yogi health happy,"['congratulation', '2', 'our', 'new', 'sri', 'sri', 'yoga', 'teachers', 'from', '8', 'countries', 'in', 'europe', 'so', 'beautiful', 'to', 'see', 'the', 'transformation', 'of', 'everyone', 'to', 'teach', 'authentic', 'yoga', 'in', 'its', 'purest', 'form', 'is', 'a', 'beautiful', 'gift', 'srisrischoolofyoga', 'yoga', 'yogi', 'health', 'happy']","['congratulation', '2', 'new', 'sri', 'sri', 'yoga', 'teachers', '8', 'countries', 'europe', 'beautiful', 'see', 'transformation', 'everyone', 'teach', 'authentic', 'yoga', 'purest', 'form', 'beautiful', 'gift', 'srisrischoolofyoga', 'yoga', 'yogi', 'health', 'happy']","['congratul', '2', 'new', 'sri', 'sri', 'yoga', 'teacher', '8', 'countri', 'europ', 'beauti', 'see', 'transform', 'everyon', 'teach', 'authent', 'yoga', 'purest', 'form', 'beauti', 'gift', 'srisrischoolofyoga', 'yoga', 'yogi', 'health', 'happi']","['congratulation', '2', 'new', 'sri', 'sri', 'yoga', 'teachers', '8', 'countries', 'europe', 'beautiful', 'see', 'transformation', 'everyone', 'teach', 'authentic', 'yoga', 'purest', 'form', 'beautiful', 'gift', 'srisrischoolofyoga', 'yoga', 'yogi', 'health', 'happy']",5,Switzerland
2019-12-01 08:17:09+00:00,1201052602416414721,@jamespeshaw James - what about our food systems which are creating the biggest damage to our environment and our health. We urgently need the Kiwi GIFT - Great Intergenerational Food Transformation,BoydSwinburn,"Auckland, NZ",3,0,1,0,"Prof of Population Nutrition & Global Health, University of Auckland; Honorary Professor, Global Obesity Centre, Deakin University",6776,,james what about our food systems which are creating the biggest damage to our environment and our health we urgently need the kiwi gift great intergenerational food transformation,"['james', 'what', 'about', 'our', 'food', 'systems', 'which', 'are', 'creating', 'the', 'biggest', 'damage', 'to', 'our', 'environment', 'and', 'our', 'health', 'we', 'urgently', 'need', 'the', 'kiwi', 'gift', 'great', 'intergenerational', 'food', 'transformation']","['james', 'food', 'systems', 'creating', 'biggest', 'damage', 'environment', 'health', 'urgently', 'need', 'kiwi', 'gift', 'great', 'intergenerational', 'food', 'transformation']","['jame', 'food', 'system', 'creat', 'biggest', 'damag', 'environ', 'health', 'urgent', 'need', 'kiwi', 'gift', 'great', 'intergener', 'food', 'transform']","['james', 'food', 'systems', 'creating', 'biggest', 'damage', 'environment', 'health', 'urgently', 'need', 'kiwi', 'gift', 'great', 'intergenerational', 'food', 'transformation']",5,Switzerland
2022-06-04 11:52:45+00:00,1533054146529710081,"@LoopseyBeats @elonmusk How bout using your windfall to help some of the poorest ppl in this country!? Member that healthcare package trump talked about, didn't happen? (Whaaat!?) All those China jobs Nixon started shipping over there and trump said he'd get em back, didn't happen!? (Whaat!?) Untax rich",DSpannel,Oh,0,0,0,0,,4,,how bout using your windfall to help some of the poorest ppl in this country member that healthcare package trump talked about didnt happen whaaat all those china jobs nixon started shipping over there and trump said hed get em back didnt happen whaat untax rich,"['how', 'bout', 'using', 'your', 'windfall', 'to', 'help', 'some', 'of', 'the', 'poorest', 'ppl', 'in', 'this', 'country', 'member', 'that', 'healthcare', 'package', 'trump', 'talked', 'about', 'didnt', 'happen', 'whaaat', 'all', 'those', 'china', 'jobs', 'nixon', 'started', 'shipping', 'over', 'there', 'and', 'trump', 'said', 'hed', 'get', 'em', 'back', 'didnt', 'happen', 'whaat', 'untax', 'rich']","['bout', 'using', 'windfall', 'help', 'poorest', 'ppl', 'country', 'member', 'healthcare', 'package', 'trump', 'talked', 'didnt', 'happen', 'whaaat', 'china', 'jobs', 'nixon', 'started', 'shipping', 'trump', 'said', 'hed', 'get', 'em', 'back', 'didnt', 'happen', 'whaat', 'untax', 'rich']","['bout', 'use', 'windfal', 'help', 'poorest', 'ppl', 'countri', 'member', 'healthcar', 'packag', 'trump', 'talk', 'didnt', 'happen', 'whaaat', 'china', 'job', 'nixon', 'start', 'ship', 'trump', 'said', 'hed', 'get', 'em', 'back', 'didnt', 'happen', 'whaat', 'untax', 'rich']","['bout', 'using', 'windfall', 'help', 'poorest', 'ppl', 'country', 'member', 'healthcare', 'package', 'trump', 'talked', 'didnt', 'happen', 'whaaat', 'china', 'jobs', 'nixon', 'started', 'shipping', 'trump', 'said', 'hed', 'get', 'em', 'back', 'didnt', 'happen', 'whaat', 'untax', 'rich']",1,Switzerland
2022-06-05 17:28:15+00:00,1533500965181177857,"@dalxsp @saluspopuliorg @shaun_riordan @DrPippaM @EdwardMaran @HarrisSamaras @Halsrethink @OxfordDiplomat @nglinsman @KatHone @LibrariumViews @drjsimonrofe @Arscryptopia @EngageState @elonmusk @USUN @USAmbGVA @GenevaGIP @nytimes @guardian @SwissAmbSciDip @wechsler67 It is the main challenge: how to preserve humanism values that Europe nurtured historically. Unfortunately, they were often packaged with colonialism, communism, and profit-centred globalisation. Still, HUMAINISM is the main 'gift' of European thinking to the world.",jovankurbalija,"Geneva, Switzerland",0,1,0,0,Digital (and) Diplomacy | Work for Creative & Enabling Compromises | Follow wAOndering Birds,3554,,it is the main challenge how to preserve humanism values that europe nurtured historically unfortunately they were often packaged with colonialism communism and profitcentred globalisation still humainism is the main gift of european thinking to the world,"['it', 'is', 'the', 'main', 'challenge', 'how', 'to', 'preserve', 'humanism', 'values', 'that', 'europe', 'nurtured', 'historically', 'unfortunately', 'they', 'were', 'often', 'packaged', 'with', 'colonialism', 'communism', 'and', 'profitcentred', 'globalisation', 'still', 'humainism', 'is', 'the', 'main', 'gift', 'of', 'european', 'thinking', 'to', 'the', 'world']","['main', 'challenge', 'preserve', 'humanism', 'values', 'europe', 'nurtured', 'historically', 'unfortunately', 'often', 'packaged', 'colonialism', 'communism', 'profitcentred', 'globalisation', 'still', 'humainism', 'main', 'gift', 'european', 'thinking', 'world']","['main', 'challeng', 'preserv', 'human', 'valu', 'europ', 'nurtur', 'histor', 'unfortun', 'often', 'packag', 'coloni', 'commun', 'profitcentr', 'globalis', 'still', 'humain', 'main', 'gift', 'european', 'think', 'world']","['main', 'challenge', 'preserve', 'humanism', 'values', 'europe', 'nurtured', 'historically', 'unfortunately', 'often', 'packaged', 'colonialism', 'communism', 'profitcentred', 'globalisation', 'still', 'humainism', 'main', 'gift', 'european', 'thinking', 'world']",4,Switzerland
2022-06-04 11:52:45+00:00,1533054146529710081,"@LoopseyBeats @elonmusk How bout using your windfall to help some of the poorest ppl in this country!? Member that healthcare package trump talked about, didn't happen? (Whaaat!?) All those China jobs Nixon started shipping over there and trump said he'd get em back, didn't happen!? (Whaat!?) Untax rich",DSpannel,Oh,0,0,0,0,,4,,how bout using your windfall to help some of the poorest ppl in this country member that healthcare package trump talked about didnt happen whaaat all those china jobs nixon started shipping over there and trump said hed get em back didnt happen whaat untax rich,"['how', 'bout', 'using', 'your', 'windfall', 'to', 'help', 'some', 'of', 'the', 'poorest', 'ppl', 'in', 'this', 'country', 'member', 'that', 'healthcare', 'package', 'trump', 'talked', 'about', 'didnt', 'happen', 'whaaat', 'all', 'those', 'china', 'jobs', 'nixon', 'started', 'shipping', 'over', 'there', 'and', 'trump', 'said', 'hed', 'get', 'em', 'back', 'didnt', 'happen', 'whaat', 'untax', 'rich']","['bout', 'using', 'windfall', 'help', 'poorest', 'ppl', 'country', 'member', 'healthcare', 'package', 'trump', 'talked', 'didnt', 'happen', 'whaaat', 'china', 'jobs', 'nixon', 'started', 'shipping', 'trump', 'said', 'hed', 'get', 'em', 'back', 'didnt', 'happen', 'whaat', 'untax', 'rich']","['bout', 'use', 'windfal', 'help', 'poorest', 'ppl', 'countri', 'member', 'healthcar', 'packag', 'trump', 'talk', 'didnt', 'happen', 'whaaat', 'china', 'job', 'nixon', 'start', 'ship', 'trump', 'said', 'hed', 'get', 'em', 'back', 'didnt', 'happen', 'whaat', 'untax', 'rich']","['bout', 'using', 'windfall', 'help', 'poorest', 'ppl', 'country', 'member', 'healthcare', 'package', 'trump', 'talked', 'didnt', 'happen', 'whaaat', 'china', 'jobs', 'nixon', 'started', 'shipping', 'trump', 'said', 'hed', 'get', 'em', 'back', 'didnt', 'happen', 'whaat', 'untax', 'rich']",1,Switzerland
2022-06-02 22:56:44+00:00,1532496465339338762,"This is her gratis  gift of informations as bigger Genius Suzanne 500-Quiz. 🧠🤣I think that you have big problems of scams, usurpation identities, hacking, tracking, escrocs of meetings ! 🤣 I think that my admirators investors Cryptomoney must safe
https://t.co/WdWQ0FbVBJ",SuzanneRuch10,Oberaargau peaceful greenish,0,0,0,0,"Lucky Celestial GeniusSuzanne 500-IQ 💚😇💛🌞❤⭐🌹🍀
FreedomLiberté & Freiheit&Respekt+Friendly Chance-Glück
Sun🤣Heredity Japanese-Saigonese-FrenchSwiss Neutral",4,,this is her gratis gift of informations as bigger genius suzanne 500quiz i think that you have big problems of scams usurpation identities hacking tracking escrocs of meetings i think that my admirators investors cryptomoney must safe,"['this', 'is', 'her', 'gratis', 'gift', 'of', 'informations', 'as', 'bigger', 'genius', 'suzanne', '500quiz', 'i', 'think', 'that', 'you', 'have', 'big', 'problems', 'of', 'scams', 'usurpation', 'identities', 'hacking', 'tracking', 'escrocs', 'of', 'meetings', 'i', 'think', 'that', 'my', 'admirators', 'investors', 'cryptomoney', 'must', 'safe']","['gratis', 'gift', 'informations', 'bigger', 'genius', 'suzanne', '500quiz', 'think', 'big', 'problems', 'scams', 'usurpation', 'identities', 'hacking', 'tracking', 'escrocs', 'meetings', 'think', 'admirators', 'investors', 'cryptomoney', 'must', 'safe']","['grati', 'gift', 'inform', 'bigger', 'geniu', 'suzann', '500quiz', 'think', 'big', 'problem', 'scam', 'usurp', 'ident', 'hack', 'track', 'escroc', 'meet', 'think', 'admir', 'investor', 'cryptomoney', 'must', 'safe']","['gratis', 'gift', 'informations', 'bigger', 'genius', 'suzanne', '500quiz', 'think', 'big', 'problems', 'scams', 'usurpation', 'identities', 'hacking', 'tracking', 'escrocs', 'meetings', 'think', 'admirators', 'investors', 'cryptomoney', 'must', 'safe']",5,Switzerland
