Date,Id,Tweet,Username,Location,likeCount,replyCount,retweetCount,quoteCount,userDescription,userFollowers,hashtags,Cleaned_Tweet,Tweet_tokenized,Tweet_removed_stop_word,Tweet_stemmed,Tweet_lemmatized,sentiment,Country
2022-06-02 19:16:38+00:00,1532441074291163137,"@addiemayy_ Pure air excites the appetite, improves digestion and predisposes to a deep and sweet sleep This pure and invigorating air is a free gift from heaven and it is impossible for us to be joyful, healthy and happy if we do not appreciate these rich gifts that God grants us.",LuzoloRoxy,République Démocratique Du Con,0,0,0,0,"Né de nouveau en Christ Jésus, Mon Jésus est semblable à lui-même. son caractère et son plan sont immuable.",20,,pure air excites the appetite improves digestion and predisposes to a deep and sweet sleep this pure and invigorating air is a free gift from heaven and it is impossible for us to be joyful healthy and happy if we do not appreciate these rich gifts that god grants us,"['pure', 'air', 'excites', 'the', 'appetite', 'improves', 'digestion', 'and', 'predisposes', 'to', 'a', 'deep', 'and', 'sweet', 'sleep', 'this', 'pure', 'and', 'invigorating', 'air', 'is', 'a', 'free', 'gift', 'from', 'heaven', 'and', 'it', 'is', 'impossible', 'for', 'us', 'to', 'be', 'joyful', 'healthy', 'and', 'happy', 'if', 'we', 'do', 'not', 'appreciate', 'these', 'rich', 'gifts', 'that', 'god', 'grants', 'us']","['pure', 'air', 'excites', 'appetite', 'improves', 'digestion', 'predisposes', 'deep', 'sweet', 'sleep', 'pure', 'invigorating', 'air', 'free', 'gift', 'heaven', 'impossible', 'us', 'joyful', 'healthy', 'happy', 'appreciate', 'rich', 'gifts', 'god', 'grants', 'us']","['pure', 'air', 'excit', 'appetit', 'improv', 'digest', 'predispos', 'deep', 'sweet', 'sleep', 'pure', 'invigor', 'air', 'free', 'gift', 'heaven', 'imposs', 'us', 'joy', 'healthi', 'happi', 'appreci', 'rich', 'gift', 'god', 'grant', 'us']","['pure', 'air', 'excites', 'appetite', 'improves', 'digestion', 'predisposes', 'deep', 'sweet', 'sleep', 'pure', 'invigorating', 'air', 'free', 'gift', 'heaven', 'impossible', 'us', 'joyful', 'healthy', 'happy', 'appreciate', 'rich', 'gifts', 'god', 'grants', 'us']",5,Thailand
2020-04-25 02:16:01+00:00,1253870346400223233,"In Pattaya this morning, people started queuing for free food from as early as 4am. Surely there must be a better way for the local government to hand out care packages? In Phuket, they go from house to house helping everyone. Maybe better that way #Thailand #COVID19 https://t.co/A3o9o7mSTu",RichardBarrow,"Samut Prakan, Thailand",163,18,53,7,Day job working in a Thai school. Weekends spent travelling. Ask Thailand Pass questions here: twitter.com/i/communities/… #Thailand,200463,"['Thailand', 'COVID19']",in pattaya this morning people started queuing for free food from as early as 4am surely there must be a better way for the local government to hand out care packages in phuket they go from house to house helping everyone maybe better that way thailand covid19,"['in', 'pattaya', 'this', 'morning', 'people', 'started', 'queuing', 'for', 'free', 'food', 'from', 'as', 'early', 'as', '4am', 'surely', 'there', 'must', 'be', 'a', 'better', 'way', 'for', 'the', 'local', 'government', 'to', 'hand', 'out', 'care', 'packages', 'in', 'phuket', 'they', 'go', 'from', 'house', 'to', 'house', 'helping', 'everyone', 'maybe', 'better', 'that', 'way', 'thailand', 'covid19']","['pattaya', 'morning', 'people', 'started', 'queuing', 'free', 'food', 'early', '4am', 'surely', 'must', 'better', 'way', 'local', 'government', 'hand', 'care', 'packages', 'phuket', 'go', 'house', 'house', 'helping', 'everyone', 'maybe', 'better', 'way', 'thailand', 'covid19']","['pattaya', 'morn', 'peopl', 'start', 'queu', 'free', 'food', 'earli', '4am', 'sure', 'must', 'better', 'way', 'local', 'govern', 'hand', 'care', 'packag', 'phuket', 'go', 'hous', 'hous', 'help', 'everyon', 'mayb', 'better', 'way', 'thailand', 'covid19']","['pattaya', 'morning', 'people', 'started', 'queuing', 'free', 'food', 'early', '4am', 'surely', 'must', 'better', 'way', 'local', 'government', 'hand', 'care', 'packages', 'phuket', 'go', 'house', 'house', 'helping', 'everyone', 'maybe', 'better', 'way', 'thailand', 'covid19']",1,Thailand
2020-04-16 11:50:48+00:00,1250753505213558785,"The care packages that are being given out to every household in Phuket contain rice, canned fish, packets of noodles, cooking oil, sugar and drinking water. People are allowed out to buy essentials but they cannot leave their immediate area #Thailand #COVID19 https://t.co/4b5bEvtf39",RichardBarrow,"Samut Prakan, Thailand",57,3,16,4,Day job working in a Thai school. Weekends spent travelling. Ask Thailand Pass questions here: twitter.com/i/communities/… #Thailand,200463,"['Thailand', 'COVID19']",the care packages that are being given out to every household in phuket contain rice canned fish packets of noodles cooking oil sugar and drinking water people are allowed out to buy essentials but they cannot leave their immediate area thailand covid19,"['the', 'care', 'packages', 'that', 'are', 'being', 'given', 'out', 'to', 'every', 'household', 'in', 'phuket', 'contain', 'rice', 'canned', 'fish', 'packets', 'of', 'noodles', 'cooking', 'oil', 'sugar', 'and', 'drinking', 'water', 'people', 'are', 'allowed', 'out', 'to', 'buy', 'essentials', 'but', 'they', 'cannot', 'leave', 'their', 'immediate', 'area', 'thailand', 'covid19']","['care', 'packages', 'given', 'every', 'household', 'phuket', 'contain', 'rice', 'canned', 'fish', 'packets', 'noodles', 'cooking', 'oil', 'sugar', 'drinking', 'water', 'people', 'allowed', 'buy', 'essentials', 'cannot', 'leave', 'immediate', 'area', 'thailand', 'covid19']","['care', 'packag', 'given', 'everi', 'household', 'phuket', 'contain', 'rice', 'can', 'fish', 'packet', 'noodl', 'cook', 'oil', 'sugar', 'drink', 'water', 'peopl', 'allow', 'buy', 'essenti', 'cannot', 'leav', 'immedi', 'area', 'thailand', 'covid19']","['care', 'packages', 'given', 'every', 'household', 'phuket', 'contain', 'rice', 'canned', 'fish', 'packets', 'noodles', 'cooking', 'oil', 'sugar', 'drinking', 'water', 'people', 'allowed', 'buy', 'essentials', 'cannot', 'leave', 'immediate', 'area', 'thailand', 'covid19']",1,Thailand
2020-04-16 11:50:47+00:00,1250753502067884032,"In Phuket, they are working hard to stop the spread of #COVID19 by visiting every single household in the province to check the temperature of everyone. Anyone found with a fever will be taken for further testing. In addition they are handing out care packages for free #Thailand https://t.co/sJYl9f8Bux",RichardBarrow,"Samut Prakan, Thailand",214,8,61,6,Day job working in a Thai school. Weekends spent travelling. Ask Thailand Pass questions here: twitter.com/i/communities/… #Thailand,200463,"['COVID19', 'Thailand']",in phuket they are working hard to stop the spread of covid19 by visiting every single household in the province to check the temperature of everyone anyone found with a fever will be taken for further testing in addition they are handing out care packages for free thailand,"['in', 'phuket', 'they', 'are', 'working', 'hard', 'to', 'stop', 'the', 'spread', 'of', 'covid19', 'by', 'visiting', 'every', 'single', 'household', 'in', 'the', 'province', 'to', 'check', 'the', 'temperature', 'of', 'everyone', 'anyone', 'found', 'with', 'a', 'fever', 'will', 'be', 'taken', 'for', 'further', 'testing', 'in', 'addition', 'they', 'are', 'handing', 'out', 'care', 'packages', 'for', 'free', 'thailand']","['phuket', 'working', 'hard', 'stop', 'spread', 'covid19', 'visiting', 'every', 'single', 'household', 'province', 'check', 'temperature', 'everyone', 'anyone', 'found', 'fever', 'taken', 'testing', 'addition', 'handing', 'care', 'packages', 'free', 'thailand']","['phuket', 'work', 'hard', 'stop', 'spread', 'covid19', 'visit', 'everi', 'singl', 'household', 'provinc', 'check', 'temperatur', 'everyon', 'anyon', 'found', 'fever', 'taken', 'test', 'addit', 'hand', 'care', 'packag', 'free', 'thailand']","['phuket', 'working', 'hard', 'stop', 'spread', 'covid19', 'visiting', 'every', 'single', 'household', 'province', 'check', 'temperature', 'everyone', 'anyone', 'found', 'fever', 'taken', 'testing', 'addition', 'handing', 'care', 'packages', 'free', 'thailand']",4,Thailand
2020-03-28 15:20:15+00:00,1243920845417799681,"You can help COVID BKK Aid by putting up posters, nominating people who need help, volunteering your time &amp; by donating money to buy care packages. 
🔸Facebook: https://t.co/ffp8qbSrre
🔸Website: https://t.co/uE6d0mlfnq
🔸Nominate someone: https://t.co/ruD3Om8XJx #COVID19 https://t.co/OEiyKw8M1L",RichardBarrow,"Samut Prakan, Thailand",36,0,25,0,Day job working in a Thai school. Weekends spent travelling. Ask Thailand Pass questions here: twitter.com/i/communities/… #Thailand,200463,['COVID19'],you can help covid bkk aid by putting up posters nominating people who need help volunteering your time amp by donating money to buy care packages facebook website nominate someone covid19,"['you', 'can', 'help', 'covid', 'bkk', 'aid', 'by', 'putting', 'up', 'posters', 'nominating', 'people', 'who', 'need', 'help', 'volunteering', 'your', 'time', 'amp', 'by', 'donating', 'money', 'to', 'buy', 'care', 'packages', 'facebook', 'website', 'nominate', 'someone', 'covid19']","['help', 'covid', 'bkk', 'aid', 'putting', 'posters', 'nominating', 'people', 'need', 'help', 'volunteering', 'time', 'amp', 'donating', 'money', 'buy', 'care', 'packages', 'facebook', 'website', 'nominate', 'someone', 'covid19']","['help', 'covid', 'bkk', 'aid', 'put', 'poster', 'nomin', 'peopl', 'need', 'help', 'volunt', 'time', 'amp', 'donat', 'money', 'buy', 'care', 'packag', 'facebook', 'websit', 'nomin', 'someon', 'covid19']","['help', 'covid', 'bkk', 'aid', 'putting', 'posters', 'nominating', 'people', 'need', 'help', 'volunteering', 'time', 'amp', 'donating', 'money', 'buy', 'care', 'packages', 'facebook', 'website', 'nominate', 'someone', 'covid19']",1,Thailand
2020-03-28 15:20:06+00:00,1243920807597727751,"Are you looking for a way to help during the #COVID19 pandemic? I highly recommend that you check out COVID BKK Aid. This was set up to help seniors and people most at risk in #Bangkok by distributing care packages to the elderly, disabled people and those who need help [1/2] https://t.co/w3r5yAGteC",RichardBarrow,"Samut Prakan, Thailand",74,2,28,0,Day job working in a Thai school. Weekends spent travelling. Ask Thailand Pass questions here: twitter.com/i/communities/… #Thailand,200463,"['COVID19', 'Bangkok']",are you looking for a way to help during the covid19 pandemic i highly recommend that you check out covid bkk aid this was set up to help seniors and people most at risk in bangkok by distributing care packages to the elderly disabled people and those who need help 12,"['are', 'you', 'looking', 'for', 'a', 'way', 'to', 'help', 'during', 'the', 'covid19', 'pandemic', 'i', 'highly', 'recommend', 'that', 'you', 'check', 'out', 'covid', 'bkk', 'aid', 'this', 'was', 'set', 'up', 'to', 'help', 'seniors', 'and', 'people', 'most', 'at', 'risk', 'in', 'bangkok', 'by', 'distributing', 'care', 'packages', 'to', 'the', 'elderly', 'disabled', 'people', 'and', 'those', 'who', 'need', 'help', '12']","['looking', 'way', 'help', 'covid19', 'pandemic', 'highly', 'recommend', 'check', 'covid', 'bkk', 'aid', 'set', 'help', 'seniors', 'people', 'risk', 'bangkok', 'distributing', 'care', 'packages', 'elderly', 'disabled', 'people', 'need', 'help', '12']","['look', 'way', 'help', 'covid19', 'pandem', 'highli', 'recommend', 'check', 'covid', 'bkk', 'aid', 'set', 'help', 'senior', 'peopl', 'risk', 'bangkok', 'distribut', 'care', 'packag', 'elderli', 'disabl', 'peopl', 'need', 'help', '12']","['looking', 'way', 'help', 'covid19', 'pandemic', 'highly', 'recommend', 'check', 'covid', 'bkk', 'aid', 'set', 'help', 'seniors', 'people', 'risk', 'bangkok', 'distributing', 'care', 'packages', 'elderly', 'disabled', 'people', 'need', 'help', '12']",5,Thailand
2021-07-14 12:49:22+00:00,1415292337874292741,"Gift of Education for 1,000 students

Our joint fundraising campaign has few more hours. So far, the response has been incredibly amazing. Our supporters have generously donated to support education and health for refugees. Please donate or share: https://t.co/w1ifbgTwqR",bangkok_urban,,2,0,0,0,Empower refugees and asylum seekers in Thailand - advocates for the rights of refugees and asylum seekers,53,,gift of education for 1000 students our joint fundraising campaign has few more hours so far the response has been incredibly amazing our supporters have generously donated to support education and health for refugees please donate or share,"['gift', 'of', 'education', 'for', '1000', 'students', 'our', 'joint', 'fundraising', 'campaign', 'has', 'few', 'more', 'hours', 'so', 'far', 'the', 'response', 'has', 'been', 'incredibly', 'amazing', 'our', 'supporters', 'have', 'generously', 'donated', 'to', 'support', 'education', 'and', 'health', 'for', 'refugees', 'please', 'donate', 'or', 'share']","['gift', 'education', '1000', 'students', 'joint', 'fundraising', 'campaign', 'hours', 'far', 'response', 'incredibly', 'amazing', 'supporters', 'generously', 'donated', 'support', 'education', 'health', 'refugees', 'please', 'donate', 'share']","['gift', 'educ', '1000', 'student', 'joint', 'fundrais', 'campaign', 'hour', 'far', 'respons', 'incred', 'amaz', 'support', 'gener', 'donat', 'support', 'educ', 'health', 'refuge', 'pleas', 'donat', 'share']","['gift', 'education', '1000', 'students', 'joint', 'fundraising', 'campaign', 'hours', 'far', 'response', 'incredibly', 'amazing', 'supporters', 'generously', 'donated', 'support', 'education', 'health', 'refugees', 'please', 'donate', 'share']",5,Thailand
2020-03-02 09:44:39+00:00,1234414307556773893,"While I wasn't ever a supporter of his campaign, his legacy will forever be this gift of visibility for so many LGBT youth. It matters deeply when you can see people like yourself nationally recognized in positions of power. https://t.co/uLY9Ggplba",benjalord,"Bangkok, Thailand",3,0,0,0,"Tired of all this shit. Baker. Southern Boy. Expat. Freak. Chaser of Waterfalls. Pug Dad. I'd rather be on my paddleboard or diving, but here we are.",854,,while i wasnt ever a supporter of his campaign his legacy will forever be this gift of visibility for so many lgbt youth it matters deeply when you can see people like yourself nationally recognized in positions of power,"['while', 'i', 'wasnt', 'ever', 'a', 'supporter', 'of', 'his', 'campaign', 'his', 'legacy', 'will', 'forever', 'be', 'this', 'gift', 'of', 'visibility', 'for', 'so', 'many', 'lgbt', 'youth', 'it', 'matters', 'deeply', 'when', 'you', 'can', 'see', 'people', 'like', 'yourself', 'nationally', 'recognized', 'in', 'positions', 'of', 'power']","['wasnt', 'ever', 'supporter', 'campaign', 'legacy', 'forever', 'gift', 'visibility', 'many', 'lgbt', 'youth', 'matters', 'deeply', 'see', 'people', 'like', 'nationally', 'recognized', 'positions', 'power']","['wasnt', 'ever', 'support', 'campaign', 'legaci', 'forev', 'gift', 'visibl', 'mani', 'lgbt', 'youth', 'matter', 'deepli', 'see', 'peopl', 'like', 'nation', 'recogn', 'posit', 'power']","['wasnt', 'ever', 'supporter', 'campaign', 'legacy', 'forever', 'gift', 'visibility', 'many', 'lgbt', 'youth', 'matters', 'deeply', 'see', 'people', 'like', 'nationally', 'recognized', 'positions', 'power']",5,Thailand
2021-09-05 04:07:16+00:00,1434367501970726922,"Special Edition Staff Mental Health Activity: 💌 The Spirit of Giving. Last week, #APCOMTeam pitched-in for a batch of care packages and distributed them to a construction site camp near Bangkok Victory Monument area. It’s not much, but we did feel good about it. 🙌🏼 ❤️ #COVID19 https://t.co/FSFF5whFBY",apcom,"Bangkok, Thailand",2,1,0,1,"We are advocating for equity, dignity and social justice of gay men, trans people and other sexual minorities in Asia and the Pacific.",4547,"['APCOMTeam', 'COVID19']",special edition staff mental health activity the spirit of giving last week apcomteam pitchedin for a batch of care packages and distributed them to a construction site camp near bangkok victory monument area its not much but we did feel good about it covid19,"['special', 'edition', 'staff', 'mental', 'health', 'activity', 'the', 'spirit', 'of', 'giving', 'last', 'week', 'apcomteam', 'pitchedin', 'for', 'a', 'batch', 'of', 'care', 'packages', 'and', 'distributed', 'them', 'to', 'a', 'construction', 'site', 'camp', 'near', 'bangkok', 'victory', 'monument', 'area', 'its', 'not', 'much', 'but', 'we', 'did', 'feel', 'good', 'about', 'it', 'covid19']","['special', 'edition', 'staff', 'mental', 'health', 'activity', 'spirit', 'giving', 'last', 'week', 'apcomteam', 'pitchedin', 'batch', 'care', 'packages', 'distributed', 'construction', 'site', 'camp', 'near', 'bangkok', 'victory', 'monument', 'area', 'much', 'feel', 'good', 'covid19']","['special', 'edit', 'staff', 'mental', 'health', 'activ', 'spirit', 'give', 'last', 'week', 'apcomteam', 'pitchedin', 'batch', 'care', 'packag', 'distribut', 'construct', 'site', 'camp', 'near', 'bangkok', 'victori', 'monument', 'area', 'much', 'feel', 'good', 'covid19']","['special', 'edition', 'staff', 'mental', 'health', 'activity', 'spirit', 'giving', 'last', 'week', 'apcomteam', 'pitchedin', 'batch', 'care', 'packages', 'distributed', 'construction', 'site', 'camp', 'near', 'bangkok', 'victory', 'monument', 'area', 'much', 'feel', 'good', 'covid19']",4,Thailand
2020-04-28 08:08:32+00:00,1255046225948073984,"One forgotten group in need in Pattaya is the hundreds of local talented musicians and singers currently out of work...but one music shop owner took it upon himself today to help many of them with care packages as they remain unemployed due to Covid19.
https://t.co/8ugsLtn0ZP",The_PattayaNews,"Mueang Pattaya, Thailand",3,0,0,0,"The official account of The Pattaya News/TPNnational. Unbiased, self-written English news for Phuket, Pattaya, and Thailand area. Retweets are not endorsements.",6481,,one forgotten group in need in pattaya is the hundreds of local talented musicians and singers currently out of workbut one music shop owner took it upon himself today to help many of them with care packages as they remain unemployed due to covid19,"['one', 'forgotten', 'group', 'in', 'need', 'in', 'pattaya', 'is', 'the', 'hundreds', 'of', 'local', 'talented', 'musicians', 'and', 'singers', 'currently', 'out', 'of', 'workbut', 'one', 'music', 'shop', 'owner', 'took', 'it', 'upon', 'himself', 'today', 'to', 'help', 'many', 'of', 'them', 'with', 'care', 'packages', 'as', 'they', 'remain', 'unemployed', 'due', 'to', 'covid19']","['one', 'forgotten', 'group', 'need', 'pattaya', 'hundreds', 'local', 'talented', 'musicians', 'singers', 'currently', 'workbut', 'one', 'music', 'shop', 'owner', 'took', 'upon', 'today', 'help', 'many', 'care', 'packages', 'remain', 'unemployed', 'due', 'covid19']","['one', 'forgotten', 'group', 'need', 'pattaya', 'hundr', 'local', 'talent', 'musician', 'singer', 'current', 'workbut', 'one', 'music', 'shop', 'owner', 'took', 'upon', 'today', 'help', 'mani', 'care', 'packag', 'remain', 'unemploy', 'due', 'covid19']","['one', 'forgotten', 'group', 'need', 'pattaya', 'hundreds', 'local', 'talented', 'musicians', 'singers', 'currently', 'workbut', 'one', 'music', 'shop', 'owner', 'took', 'upon', 'today', 'help', 'many', 'care', 'packages', 'remain', 'unemployed', 'due', 'covid19']",5,Thailand
