Date,Id,Tweet,Username,Location,likeCount,replyCount,retweetCount,quoteCount,userDescription,userFollowers,hashtags,Cleaned_Tweet,Tweet_tokenized,Tweet_removed_stop_word,Tweet_stemmed,Tweet_lemmatized,sentiment,Country
2022-06-03 16:48:10+00:00,1532766102496825344,"Madam, I very much appreciate your support during this adversity !!! https://t.co/LzH4XKHgdp",rajukalita666,"Guwahati, India",9,0,4,0,Cop by profession ! Antagonist to violence ! A keen learner ! A Tech-savvy ! A Music lover ! @CrimeBranchGhy ! @GuwahatiPol ! @assampolice !,507,,madam i very much appreciate your support during this adversity,"['madam', 'i', 'very', 'much', 'appreciate', 'your', 'support', 'during', 'this', 'adversity']","['madam', 'much', 'appreciate', 'support', 'adversity']","['madam', 'much', 'appreci', 'support', 'advers']","['madam', 'much', 'appreciate', 'support', 'adversity']",5,Bangladesh
2022-06-02 05:05:58+00:00,1532226997761757186,"Aniii anii you are one of the best and amazing person thank u for being there and existing you always supported me n I appreciate that thanks for everything u did for me 🥺😭❤❤
Lots of happiness for u ❤❤ 
@Aniketbatra222 https://t.co/AsPmbHPndj",VibeWith_avuu_,bhoot bangla,1,2,1,0,𝘿𝙤𝙣'𝙩 𝙡𝙚𝙩 𝙩𝙝𝙚 𝙨𝙖𝙙𝙣𝙚𝙨𝙨 𝙤𝙛 𝙮𝙤𝙪𝙧 𝙥𝙖𝙨𝙩 𝙧𝙪𝙞𝙣 𝙮𝙤𝙪𝙧 𝙝𝙖𝙥𝙥𝙮 𝙢𝙤𝙢𝙚𝙣𝙩𝙨 𝙤𝙛 𝙥𝙧𝙚𝙨𝙚𝙣𝙩......... #BTSARMY 🥺💜,966,,aniii anii you are one of the best and amazing person thank u for being there and existing you always supported me n i appreciate that thanks for everything u did for me lots of happiness for u,"['aniii', 'anii', 'you', 'are', 'one', 'of', 'the', 'best', 'and', 'amazing', 'person', 'thank', 'u', 'for', 'being', 'there', 'and', 'existing', 'you', 'always', 'supported', 'me', 'n', 'i', 'appreciate', 'that', 'thanks', 'for', 'everything', 'u', 'did', 'for', 'me', 'lots', 'of', 'happiness', 'for', 'u']","['aniii', 'anii', 'one', 'best', 'amazing', 'person', 'thank', 'u', 'existing', 'always', 'supported', 'n', 'appreciate', 'thanks', 'everything', 'u', 'lots', 'happiness', 'u']","['aniii', 'anii', 'one', 'best', 'amaz', 'person', 'thank', 'u', 'exist', 'alway', 'support', 'n', 'appreci', 'thank', 'everyth', 'u', 'lot', 'happi', 'u']","['aniii', 'anii', 'one', 'best', 'amazing', 'person', 'thank', 'u', 'existing', 'always', 'supported', 'n', 'appreciate', 'thanks', 'everything', 'u', 'lots', 'happiness', 'u']",5,Bangladesh
2022-05-31 12:31:22+00:00,1531614309604016131,"@MEXC_Global @Lyons_800 @VRYNT_ Thank you for giving..
We appreciate and always here to support 💪.
@Lucky_0736
@Lokmangp64
@Jisan9393",Jahin0031,"Jessore, Bangladesh",0,0,0,0,"job
#facebook",464,,thank you for giving we appreciate and always here to support,"['thank', 'you', 'for', 'giving', 'we', 'appreciate', 'and', 'always', 'here', 'to', 'support']","['thank', 'giving', 'appreciate', 'always', 'support']","['thank', 'give', 'appreci', 'alway', 'support']","['thank', 'giving', 'appreciate', 'always', 'support']",5,Bangladesh
2022-03-29 07:27:26+00:00,1508707388118892546,@Nrsn_csr Sincerely appreciate your kind support Nursen 😊🙏,Deckle_Edge,India,1,1,0,0,Award Winning Street Photographer | TEDx Speaker | 3 SOLD OUT Collections | NFT Artist | Collector | foundation.app/@Deckle_Edge | instagram.com/Deckle_Edge,14119,,sincerely appreciate your kind support nursen,"['sincerely', 'appreciate', 'your', 'kind', 'support', 'nursen']","['sincerely', 'appreciate', 'kind', 'support', 'nursen']","['sincer', 'appreci', 'kind', 'support', 'nursen']","['sincerely', 'appreciate', 'kind', 'support', 'nursen']",4,Bangladesh
2022-06-05 18:50:03+00:00,1533521548178358272,A handshake worth million dollars. Thank you for acknowledging services of gladiators and extending much needed support to their families. Dear @CMShehbaz @TehminaDurrani @PakPMO officers like @ReplyTariq deserve appreciation for setting new trends in #Public_Service https://t.co/GgzgZpQHVq,KaswarKlasra,Islamabad,0,0,0,0,"Correspondent Times Now Navbharat,
contributor @NBCNEWS & Radio New Zealand. ExTV9 Bharatvarsh, China Daily, Xinhua, SCMP, India Today, MailOnline, SPH holdings",1709,['Public_Service'],a handshake worth million dollars thank you for acknowledging services of gladiators and extending much needed support to their families dear officers like deserve appreciation for setting new trends in publicservice,"['a', 'handshake', 'worth', 'million', 'dollars', 'thank', 'you', 'for', 'acknowledging', 'services', 'of', 'gladiators', 'and', 'extending', 'much', 'needed', 'support', 'to', 'their', 'families', 'dear', 'officers', 'like', 'deserve', 'appreciation', 'for', 'setting', 'new', 'trends', 'in', 'publicservice']","['handshake', 'worth', 'million', 'dollars', 'thank', 'acknowledging', 'services', 'gladiators', 'extending', 'much', 'needed', 'support', 'families', 'dear', 'officers', 'like', 'deserve', 'appreciation', 'setting', 'new', 'trends', 'publicservice']","['handshak', 'worth', 'million', 'dollar', 'thank', 'acknowledg', 'servic', 'gladiat', 'extend', 'much', 'need', 'support', 'famili', 'dear', 'offic', 'like', 'deserv', 'appreci', 'set', 'new', 'trend', 'publicservic']","['handshake', 'worth', 'million', 'dollars', 'thank', 'acknowledging', 'services', 'gladiators', 'extending', 'much', 'needed', 'support', 'families', 'dear', 'officers', 'like', 'deserve', 'appreciation', 'setting', 'new', 'trends', 'publicservice']",5,Bangladesh
2022-06-01 10:06:10+00:00,1531940158119243777,"Had the opportunity to interact today with the representatives of different villages in the Chukitong Range, Wokha, and listen to their issues. My deep appreciation to all for their constant support and for taking part in the public interaction to provide their valuable inputs! https://t.co/ZiAYYLhUUk",YanthungoPatton,"Nagaland, India",49,1,5,0,"Deputy Chief Minister, Government of Nagaland | MLA from Tyui Assembly Constituency",9171,,had the opportunity to interact today with the representatives of different villages in the chukitong range wokha and listen to their issues my deep appreciation to all for their constant support and for taking part in the public interaction to provide their valuable inputs,"['had', 'the', 'opportunity', 'to', 'interact', 'today', 'with', 'the', 'representatives', 'of', 'different', 'villages', 'in', 'the', 'chukitong', 'range', 'wokha', 'and', 'listen', 'to', 'their', 'issues', 'my', 'deep', 'appreciation', 'to', 'all', 'for', 'their', 'constant', 'support', 'and', 'for', 'taking', 'part', 'in', 'the', 'public', 'interaction', 'to', 'provide', 'their', 'valuable', 'inputs']","['opportunity', 'interact', 'today', 'representatives', 'different', 'villages', 'chukitong', 'range', 'wokha', 'listen', 'issues', 'deep', 'appreciation', 'constant', 'support', 'taking', 'part', 'public', 'interaction', 'provide', 'valuable', 'inputs']","['opportun', 'interact', 'today', 'repres', 'differ', 'villag', 'chukitong', 'rang', 'wokha', 'listen', 'issu', 'deep', 'appreci', 'constant', 'support', 'take', 'part', 'public', 'interact', 'provid', 'valuabl', 'input']","['opportunity', 'interact', 'today', 'representatives', 'different', 'villages', 'chukitong', 'range', 'wokha', 'listen', 'issues', 'deep', 'appreciation', 'constant', 'support', 'taking', 'part', 'public', 'interaction', 'provide', 'valuable', 'inputs']",5,Bangladesh
2022-05-30 07:10:32+00:00,1531171182887723014,"Sri Lankan PM Ranil Wickremesinghe expressed appreciation for the support India has been extending to his country during ""this difficult period"".
@IndiainSL https://t.co/VgpTh5VC4Q",EastMojo,"Guwahati, India",0,0,1,0,Mobile-first digital news platform | New media storyteller from Northeast India,17563,,sri lankan pm ranil wickremesinghe expressed appreciation for the support india has been extending to his country during this difficult period,"['sri', 'lankan', 'pm', 'ranil', 'wickremesinghe', 'expressed', 'appreciation', 'for', 'the', 'support', 'india', 'has', 'been', 'extending', 'to', 'his', 'country', 'during', 'this', 'difficult', 'period']","['sri', 'lankan', 'pm', 'ranil', 'wickremesinghe', 'expressed', 'appreciation', 'support', 'india', 'extending', 'country', 'difficult', 'period']","['sri', 'lankan', 'pm', 'ranil', 'wickremesingh', 'express', 'appreci', 'support', 'india', 'extend', 'countri', 'difficult', 'period']","['sri', 'lankan', 'pm', 'ranil', 'wickremesinghe', 'expressed', 'appreciation', 'support', 'india', 'extending', 'country', 'difficult', 'period']",4,Bangladesh
2021-08-12 19:11:27+00:00,1425897740525993986,"#Shershaah is an amazing tribute to the Real Hero of Bharat Vikram Batra! Siddharth nails it with his career best performance, Kiara looks Amazing as always and everyone in the supporting cast does well! Direction is good and so are all the other aspects! Must watch! Jai Hind 🇮🇳",MayurKashyap,"Guwahati, India",1,0,0,0,"Shah Rukh Khan forever ❤,MET SRK sir on 2/11/2017 24/02/2018, 2/11/2019😍best days of my life. Cricket Freak. Yuvraj and Virat fan.",2216,['Shershaah'],shershaah is an amazing tribute to the real hero of bharat vikram batra siddharth nails it with his career best performance kiara looks amazing as always and everyone in the supporting cast does well direction is good and so are all the other aspects must watch jai hind,"['shershaah', 'is', 'an', 'amazing', 'tribute', 'to', 'the', 'real', 'hero', 'of', 'bharat', 'vikram', 'batra', 'siddharth', 'nails', 'it', 'with', 'his', 'career', 'best', 'performance', 'kiara', 'looks', 'amazing', 'as', 'always', 'and', 'everyone', 'in', 'the', 'supporting', 'cast', 'does', 'well', 'direction', 'is', 'good', 'and', 'so', 'are', 'all', 'the', 'other', 'aspects', 'must', 'watch', 'jai', 'hind']","['shershaah', 'amazing', 'tribute', 'real', 'hero', 'bharat', 'vikram', 'batra', 'siddharth', 'nails', 'career', 'best', 'performance', 'kiara', 'looks', 'amazing', 'always', 'everyone', 'supporting', 'cast', 'well', 'direction', 'good', 'aspects', 'must', 'watch', 'jai', 'hind']","['shershaah', 'amaz', 'tribut', 'real', 'hero', 'bharat', 'vikram', 'batra', 'siddharth', 'nail', 'career', 'best', 'perform', 'kiara', 'look', 'amaz', 'alway', 'everyon', 'support', 'cast', 'well', 'direct', 'good', 'aspect', 'must', 'watch', 'jai', 'hind']","['shershaah', 'amazing', 'tribute', 'real', 'hero', 'bharat', 'vikram', 'batra', 'siddharth', 'nails', 'career', 'best', 'performance', 'kiara', 'looks', 'amazing', 'always', 'everyone', 'supporting', 'cast', 'well', 'direction', 'good', 'aspects', 'must', 'watch', 'jai', 'hind']",5,Bangladesh
2021-02-06 13:00:14+00:00,1358037788185137152,Keep Going. Repowering @MamataOfficial will be real tribute to thousands of victims of state supported political murdered by TMC gundaas. https://t.co/2xmOogP27f,BHIMSENSHARMA,India,0,0,0,0,Supporter of India first. Have respect for great value's of our ancient Indian heritage & culture .Ek sachcha deshbhakt.,834,,keep going repowering will be real tribute to thousands of victims of state supported political murdered by tmc gundaas,"['keep', 'going', 'repowering', 'will', 'be', 'real', 'tribute', 'to', 'thousands', 'of', 'victims', 'of', 'state', 'supported', 'political', 'murdered', 'by', 'tmc', 'gundaas']","['keep', 'going', 'repowering', 'real', 'tribute', 'thousands', 'victims', 'state', 'supported', 'political', 'murdered', 'tmc', 'gundaas']","['keep', 'go', 'repow', 'real', 'tribut', 'thousand', 'victim', 'state', 'support', 'polit', 'murder', 'tmc', 'gundaa']","['keep', 'going', 'repowering', 'real', 'tribute', 'thousands', 'victims', 'state', 'supported', 'political', 'murdered', 'tmc', 'gundaas']",1,Bangladesh
2021-01-14 17:28:56+00:00,1349770487514107905,"@monika05_21 #CordiaLikeSSR
I MADE VIDEOS FOR SSR BUT GOT LESS SUPPORT, SSRIANS CAN I GET SOME HELPS. 
Tribute to Sushant Singh Rajput: https://t.co/O7JUNhZGop",SUPERSPACEKING,"Kolkata, India",0,0,0,0,Youtuber 900+Subs|Student|Video Editor|Proud To Be An Indian 🇮🇳|Music Is My Love|Tech Expert|Aiming to be An Software Engineer👨‍💻|SSR ❤,189,['CordiaLikeSSR'],cordialikessr i made videos for ssr but got less support ssrians can i get some helps tribute to sushant singh rajput,"['cordialikessr', 'i', 'made', 'videos', 'for', 'ssr', 'but', 'got', 'less', 'support', 'ssrians', 'can', 'i', 'get', 'some', 'helps', 'tribute', 'to', 'sushant', 'singh', 'rajput']","['cordialikessr', 'made', 'videos', 'ssr', 'got', 'less', 'support', 'ssrians', 'get', 'helps', 'tribute', 'sushant', 'singh', 'rajput']","['cordialikessr', 'made', 'video', 'ssr', 'got', 'less', 'support', 'ssrian', 'get', 'help', 'tribut', 'sushant', 'singh', 'rajput']","['cordialikessr', 'made', 'videos', 'ssr', 'got', 'less', 'support', 'ssrians', 'get', 'helps', 'tribute', 'sushant', 'singh', 'rajput']",3,Bangladesh
