Date,Id,Tweet,Username,Location,likeCount,replyCount,retweetCount,quoteCount,userDescription,userFollowers,hashtags,Cleaned_Tweet,Tweet_tokenized,Tweet_removed_stop_word,Tweet_stemmed,Tweet_lemmatized,sentiment,Country
2022-06-05 08:51:38+00:00,1533370952255475713,"F1 Twitter is weird. People seem to need a dichotomy. The driver they support has to be “the best of all time” or somehow they’re not worthy. Leclerc fans going up against Schumi, Raikkonen, Vettel… why? Appreciate past AND present! Every era has great drivers. Enjoy the wealth!",Brembogorgan,"Brussels, Belgium",103,4,13,0,Ride the Lightning,14,,f1 twitter is weird people seem to need a dichotomy the driver they support has to be the best of all time or somehow theyre not worthy leclerc fans going up against schumi raikkonen vettel why appreciate past and present every era has great drivers enjoy the wealth,"['f1', 'twitter', 'is', 'weird', 'people', 'seem', 'to', 'need', 'a', 'dichotomy', 'the', 'driver', 'they', 'support', 'has', 'to', 'be', 'the', 'best', 'of', 'all', 'time', 'or', 'somehow', 'theyre', 'not', 'worthy', 'leclerc', 'fans', 'going', 'up', 'against', 'schumi', 'raikkonen', 'vettel', 'why', 'appreciate', 'past', 'and', 'present', 'every', 'era', 'has', 'great', 'drivers', 'enjoy', 'the', 'wealth']","['f1', 'twitter', 'weird', 'people', 'seem', 'need', 'dichotomy', 'driver', 'support', 'best', 'time', 'somehow', 'theyre', 'worthy', 'leclerc', 'fans', 'going', 'schumi', 'raikkonen', 'vettel', 'appreciate', 'past', 'present', 'every', 'era', 'great', 'drivers', 'enjoy', 'wealth']","['f1', 'twitter', 'weird', 'peopl', 'seem', 'need', 'dichotomi', 'driver', 'support', 'best', 'time', 'somehow', 'theyr', 'worthi', 'leclerc', 'fan', 'go', 'schumi', 'raikkonen', 'vettel', 'appreci', 'past', 'present', 'everi', 'era', 'great', 'driver', 'enjoy', 'wealth']","['f1', 'twitter', 'weird', 'people', 'seem', 'need', 'dichotomy', 'driver', 'support', 'best', 'time', 'somehow', 'theyre', 'worthy', 'leclerc', 'fans', 'going', 'schumi', 'raikkonen', 'vettel', 'appreciate', 'past', 'present', 'every', 'era', 'great', 'drivers', 'enjoy', 'wealth']",3,Belgium
2022-06-02 21:33:54+00:00,1532475618390065154,"In her opening remarks, @sweambHR expressed her concerns about the increasing pressure on environmental and climate justice #defenders, including on women activists. We honestly appreciate @SweMFA's longstanding support for #HumanRights and defenders. #Stockholm50",ProtectionInt,Brussels,3,0,2,0,"We're a global NGO committed to protecting the right to defend #HumanRights & #HumanRightsDefenders. 
Learn more👉 @PIAmericaDelSur @PImesoamerica @PI_AfricaHub",8620,"['defenders', 'HumanRights', 'Stockholm50']",in her opening remarks expressed her concerns about the increasing pressure on environmental and climate justice defenders including on women activists we honestly appreciate longstanding support for humanrights and defenders stockholm50,"['in', 'her', 'opening', 'remarks', 'expressed', 'her', 'concerns', 'about', 'the', 'increasing', 'pressure', 'on', 'environmental', 'and', 'climate', 'justice', 'defenders', 'including', 'on', 'women', 'activists', 'we', 'honestly', 'appreciate', 'longstanding', 'support', 'for', 'humanrights', 'and', 'defenders', 'stockholm50']","['opening', 'remarks', 'expressed', 'concerns', 'increasing', 'pressure', 'environmental', 'climate', 'justice', 'defenders', 'including', 'women', 'activists', 'honestly', 'appreciate', 'longstanding', 'support', 'humanrights', 'defenders', 'stockholm50']","['open', 'remark', 'express', 'concern', 'increas', 'pressur', 'environment', 'climat', 'justic', 'defend', 'includ', 'women', 'activist', 'honestli', 'appreci', 'longstand', 'support', 'humanright', 'defend', 'stockholm50']","['opening', 'remarks', 'expressed', 'concerns', 'increasing', 'pressure', 'environmental', 'climate', 'justice', 'defenders', 'including', 'women', 'activists', 'honestly', 'appreciate', 'longstanding', 'support', 'humanrights', 'defenders', 'stockholm50']",4,Belgium
2022-06-04 21:58:42+00:00,1533206638219386880,"Our newest peer-reviewed scientific publication: PIV measurements of #ventilation flow in generic empty #airplane cabin. @KU_Leuven @FWOVlaanderen @TUeindhoven with support by @Airbus.
Published with @ElsevierConnect 
https://t.co/jm22wPjLmT
#covid19 #corona #coronavirus https://t.co/jH5LtOgPuQ",realBertBlocken,"Kasterlee, Belgium",7,1,2,0,"Belgian 🇧🇪 in Netherlands 🇳🇱 | 🇪🇺 | Professor Civil Engineering | Eindhoven Univ Tech NL & KU Leuven BE | Aerodynamics of Cities, Buildings & in Sports",8863,"['ventilation', 'airplane', 'covid19', 'corona', 'coronavirus']",our newest peerreviewed scientific publication piv measurements of ventilation flow in generic empty airplane cabin with support by published with covid19 corona coronavirus,"['our', 'newest', 'peerreviewed', 'scientific', 'publication', 'piv', 'measurements', 'of', 'ventilation', 'flow', 'in', 'generic', 'empty', 'airplane', 'cabin', 'with', 'support', 'by', 'published', 'with', 'covid19', 'corona', 'coronavirus']","['newest', 'peerreviewed', 'scientific', 'publication', 'piv', 'measurements', 'ventilation', 'flow', 'generic', 'empty', 'airplane', 'cabin', 'support', 'published', 'covid19', 'corona', 'coronavirus']","['newest', 'peerreview', 'scientif', 'public', 'piv', 'measur', 'ventil', 'flow', 'gener', 'empti', 'airplan', 'cabin', 'support', 'publish', 'covid19', 'corona', 'coronaviru']","['newest', 'peerreviewed', 'scientific', 'publication', 'piv', 'measurements', 'ventilation', 'flow', 'generic', 'empty', 'airplane', 'cabin', 'support', 'published', 'covid19', 'corona', 'coronavirus']",5,Belgium
2022-05-31 12:13:38+00:00,1531609847740911616,"Excited to attend @EuroHealthNet annual summit 🤝 
Insightful discussions ahead on how to enhance wellbeing and health equity for everyone 🩺

“Never waste a good crisis” 👉 the #COVID19 pandemic is bringing opportunities to do more for people’s health! https://t.co/0CwBpuNbMJ",Europe_Active,Brussels,3,0,0,0,We are the leading voice and not-for-profit organisation representing the European #fitness and #physicalactivity sector. More People | More Active | More Often,5934,['COVID19'],excited to attend annual summit insightful discussions ahead on how to enhance wellbeing and health equity for everyone never waste a good crisis the covid19 pandemic is bringing opportunities to do more for peoples health,"['excited', 'to', 'attend', 'annual', 'summit', 'insightful', 'discussions', 'ahead', 'on', 'how', 'to', 'enhance', 'wellbeing', 'and', 'health', 'equity', 'for', 'everyone', 'never', 'waste', 'a', 'good', 'crisis', 'the', 'covid19', 'pandemic', 'is', 'bringing', 'opportunities', 'to', 'do', 'more', 'for', 'peoples', 'health']","['excited', 'attend', 'annual', 'summit', 'insightful', 'discussions', 'ahead', 'enhance', 'wellbeing', 'health', 'equity', 'everyone', 'never', 'waste', 'good', 'crisis', 'covid19', 'pandemic', 'bringing', 'opportunities', 'peoples', 'health']","['excit', 'attend', 'annual', 'summit', 'insight', 'discuss', 'ahead', 'enhanc', 'wellb', 'health', 'equiti', 'everyon', 'never', 'wast', 'good', 'crisi', 'covid19', 'pandem', 'bring', 'opportun', 'peopl', 'health']","['excited', 'attend', 'annual', 'summit', 'insightful', 'discussions', 'ahead', 'enhance', 'wellbeing', 'health', 'equity', 'everyone', 'never', 'waste', 'good', 'crisis', 'covid19', 'pandemic', 'bringing', 'opportunities', 'peoples', 'health']",5,Belgium
2022-05-31 10:46:28+00:00,1531587913913454592,"""Medical deserts"" in parts of Europe - @matthiaswismar on ""Human resources for health during #COVID19: supporting and protecting health workers"" at @OBShealth webinar. #staffshortage",thesismum,European Union,3,0,1,0,"Mum of 4, very fond of @AndrHePeters. Dr. rer. med. Prof of Nursing/Nursing Science at @ehs_pflege. Board member at @nordost_dbfk. My opinion only. She/her.",5064,"['COVID19', 'staffshortage']",medical deserts in parts of europe on human resources for health during covid19 supporting and protecting health workers at webinar staffshortage,"['medical', 'deserts', 'in', 'parts', 'of', 'europe', 'on', 'human', 'resources', 'for', 'health', 'during', 'covid19', 'supporting', 'and', 'protecting', 'health', 'workers', 'at', 'webinar', 'staffshortage']","['medical', 'deserts', 'parts', 'europe', 'human', 'resources', 'health', 'covid19', 'supporting', 'protecting', 'health', 'workers', 'webinar', 'staffshortage']","['medic', 'desert', 'part', 'europ', 'human', 'resourc', 'health', 'covid19', 'support', 'protect', 'health', 'worker', 'webinar', 'staffshortag']","['medical', 'deserts', 'parts', 'europe', 'human', 'resources', 'health', 'covid19', 'supporting', 'protecting', 'health', 'workers', 'webinar', 'staffshortage']",4,Belgium
2022-05-31 09:07:01+00:00,1531562883104051200,"@ECDC_EU just launched an online modelling hub designed to support Member States in their pandemic planning. The European #COVID19 Scenario Hub will present modelling projections on how this pandemic may evolve in terms of cases, hospitalisations and deaths.👇 #WeWontRest @EFPIA https://t.co/I0dpptcdNT",VaccinesEurope,Brussels,0,1,0,0,"VE represents major innovative research-based vaccine companies operating in Europe, including SMEs.
VE is a specialised group within EFPIA. #WeWontRest",6280,"['COVID19', 'WeWontRest']",just launched an online modelling hub designed to support member states in their pandemic planning the european covid19 scenario hub will present modelling projections on how this pandemic may evolve in terms of cases hospitalisations and deaths wewontrest,"['just', 'launched', 'an', 'online', 'modelling', 'hub', 'designed', 'to', 'support', 'member', 'states', 'in', 'their', 'pandemic', 'planning', 'the', 'european', 'covid19', 'scenario', 'hub', 'will', 'present', 'modelling', 'projections', 'on', 'how', 'this', 'pandemic', 'may', 'evolve', 'in', 'terms', 'of', 'cases', 'hospitalisations', 'and', 'deaths', 'wewontrest']","['launched', 'online', 'modelling', 'hub', 'designed', 'support', 'member', 'states', 'pandemic', 'planning', 'european', 'covid19', 'scenario', 'hub', 'present', 'modelling', 'projections', 'pandemic', 'may', 'evolve', 'terms', 'cases', 'hospitalisations', 'deaths', 'wewontrest']","['launch', 'onlin', 'model', 'hub', 'design', 'support', 'member', 'state', 'pandem', 'plan', 'european', 'covid19', 'scenario', 'hub', 'present', 'model', 'project', 'pandem', 'may', 'evolv', 'term', 'case', 'hospitalis', 'death', 'wewontrest']","['launched', 'online', 'modelling', 'hub', 'designed', 'support', 'member', 'states', 'pandemic', 'planning', 'european', 'covid19', 'scenario', 'hub', 'present', 'modelling', 'projections', 'pandemic', 'may', 'evolve', 'terms', 'cases', 'hospitalisations', 'deaths', 'wewontrest']",4,Belgium
2022-05-30 10:00:06+00:00,1531213857456279553,"This #WorldMSDay we stand with @MSIntFederation in supporting people living with MS, whose #MakingConnections campaign is dedicated to building community connections, self-connection, and connections to quality care. 
https://t.co/VStSfW17GX https://t.co/WfzYGtsr9c",JanssenEMEA,"Beerse, Belgium",2,0,1,0,"We are Janssen EMEA, the Pharmaceutical Companies of Johnson & Johnson. Find out how to contact us here. bit.ly/36gg6S0",10114,"['WorldMSDay', 'MakingConnections']",this worldmsday we stand with in supporting people living with ms whose makingconnections campaign is dedicated to building community connections selfconnection and connections to quality care,"['this', 'worldmsday', 'we', 'stand', 'with', 'in', 'supporting', 'people', 'living', 'with', 'ms', 'whose', 'makingconnections', 'campaign', 'is', 'dedicated', 'to', 'building', 'community', 'connections', 'selfconnection', 'and', 'connections', 'to', 'quality', 'care']","['worldmsday', 'stand', 'supporting', 'people', 'living', 'ms', 'whose', 'makingconnections', 'campaign', 'dedicated', 'building', 'community', 'connections', 'selfconnection', 'connections', 'quality', 'care']","['worldmsday', 'stand', 'support', 'peopl', 'live', 'ms', 'whose', 'makingconnect', 'campaign', 'dedic', 'build', 'commun', 'connect', 'selfconnect', 'connect', 'qualiti', 'care']","['worldmsday', 'stand', 'supporting', 'people', 'living', 'ms', 'whose', 'makingconnections', 'campaign', 'dedicated', 'building', 'community', 'connections', 'selfconnection', 'connections', 'quality', 'care']",5,Belgium
2022-06-04 21:58:42+00:00,1533206638219386880,"Our newest peer-reviewed scientific publication: PIV measurements of #ventilation flow in generic empty #airplane cabin. @KU_Leuven @FWOVlaanderen @TUeindhoven with support by @Airbus.
Published with @ElsevierConnect 
https://t.co/jm22wPjLmT
#covid19 #corona #coronavirus https://t.co/jH5LtOgPuQ",realBertBlocken,"Kasterlee, Belgium",7,1,2,0,"Belgian 🇧🇪 in Netherlands 🇳🇱 | 🇪🇺 | Professor Civil Engineering | Eindhoven Univ Tech NL & KU Leuven BE | Aerodynamics of Cities, Buildings & in Sports",8863,"['ventilation', 'airplane', 'covid19', 'corona', 'coronavirus']",our newest peerreviewed scientific publication piv measurements of ventilation flow in generic empty airplane cabin with support by published with covid19 corona coronavirus,"['our', 'newest', 'peerreviewed', 'scientific', 'publication', 'piv', 'measurements', 'of', 'ventilation', 'flow', 'in', 'generic', 'empty', 'airplane', 'cabin', 'with', 'support', 'by', 'published', 'with', 'covid19', 'corona', 'coronavirus']","['newest', 'peerreviewed', 'scientific', 'publication', 'piv', 'measurements', 'ventilation', 'flow', 'generic', 'empty', 'airplane', 'cabin', 'support', 'published', 'covid19', 'corona', 'coronavirus']","['newest', 'peerreview', 'scientif', 'public', 'piv', 'measur', 'ventil', 'flow', 'gener', 'empti', 'airplan', 'cabin', 'support', 'publish', 'covid19', 'corona', 'coronaviru']","['newest', 'peerreviewed', 'scientific', 'publication', 'piv', 'measurements', 'ventilation', 'flow', 'generic', 'empty', 'airplane', 'cabin', 'support', 'published', 'covid19', 'corona', 'coronavirus']",5,Belgium
2022-05-31 14:30:34+00:00,1531644309962903555,"#EUStateAid Commission 🇪🇺 approves €677 million Italian 🇮🇹 investment support scheme towards a sustainable recovery in the context of the #coronavirus #pandemic ⬇️
https://t.co/z39qqNeVpE https://t.co/gYpBOotcXq",EU_Competition,Brussels,2,0,1,0,"The @EU_Commission DG for Competition (DG COMP) enforces competition law within the EU for the benefit of consumers. RTs, Follows and Likes not endorsements.",21612,"['EUStateAid', 'coronavirus', 'pandemic']",eustateaid commission approves 677 million italian investment support scheme towards a sustainable recovery in the context of the coronavirus pandemic,"['eustateaid', 'commission', 'approves', '677', 'million', 'italian', 'investment', 'support', 'scheme', 'towards', 'a', 'sustainable', 'recovery', 'in', 'the', 'context', 'of', 'the', 'coronavirus', 'pandemic']","['eustateaid', 'commission', 'approves', '677', 'million', 'italian', 'investment', 'support', 'scheme', 'towards', 'sustainable', 'recovery', 'context', 'coronavirus', 'pandemic']","['eustateaid', 'commiss', 'approv', '677', 'million', 'italian', 'invest', 'support', 'scheme', 'toward', 'sustain', 'recoveri', 'context', 'coronaviru', 'pandem']","['eustateaid', 'commission', 'approves', '677', 'million', 'italian', 'investment', 'support', 'scheme', 'towards', 'sustainable', 'recovery', 'context', 'coronavirus', 'pandemic']",4,Belgium
2022-06-04 21:58:42+00:00,1533206638219386880,"Our newest peer-reviewed scientific publication: PIV measurements of #ventilation flow in generic empty #airplane cabin. @KU_Leuven @FWOVlaanderen @TUeindhoven with support by @Airbus.
Published with @ElsevierConnect 
https://t.co/jm22wPjLmT
#covid19 #corona #coronavirus https://t.co/jH5LtOgPuQ",realBertBlocken,"Kasterlee, Belgium",7,1,2,0,"Belgian 🇧🇪 in Netherlands 🇳🇱 | 🇪🇺 | Professor Civil Engineering | Eindhoven Univ Tech NL & KU Leuven BE | Aerodynamics of Cities, Buildings & in Sports",8863,"['ventilation', 'airplane', 'covid19', 'corona', 'coronavirus']",our newest peerreviewed scientific publication piv measurements of ventilation flow in generic empty airplane cabin with support by published with covid19 corona coronavirus,"['our', 'newest', 'peerreviewed', 'scientific', 'publication', 'piv', 'measurements', 'of', 'ventilation', 'flow', 'in', 'generic', 'empty', 'airplane', 'cabin', 'with', 'support', 'by', 'published', 'with', 'covid19', 'corona', 'coronavirus']","['newest', 'peerreviewed', 'scientific', 'publication', 'piv', 'measurements', 'ventilation', 'flow', 'generic', 'empty', 'airplane', 'cabin', 'support', 'published', 'covid19', 'corona', 'coronavirus']","['newest', 'peerreview', 'scientif', 'public', 'piv', 'measur', 'ventil', 'flow', 'gener', 'empti', 'airplan', 'cabin', 'support', 'publish', 'covid19', 'corona', 'coronaviru']","['newest', 'peerreviewed', 'scientific', 'publication', 'piv', 'measurements', 'ventilation', 'flow', 'generic', 'empty', 'airplane', 'cabin', 'support', 'published', 'covid19', 'corona', 'coronavirus']",5,Belgium
