Date,Id,Tweet,Username,Location,likeCount,replyCount,retweetCount,quoteCount,userDescription,userFollowers,hashtags,Cleaned_Tweet,Tweet_tokenized,Tweet_removed_stop_word,Tweet_stemmed,Tweet_lemmatized,sentiment,Country
2022-06-03 16:02:16+00:00,1532754551010369537,@CreaturesAround @DocDoesGaming @miranjii @karatkuro @Genesis8012 @FlashCatGames @psyknight72 @LorneDev @ZeFrost @BrandonTruster @pixelpicking @DavidCRicardo @SagaSpaceGame @HyperMegaPixel @WertPatrick @GravitonPunch @RuttaDev @CritterCrops @protopop Thanks for tagging us! Appreciate your support 🙌❤️,adwarsgame,Argentina,2,1,0,0,Ad Wars is a multi-genre adventure across the internet. Join Alt and Magna on their quest to destroy Ads once and for all! #indiegame,1873,,thanks for tagging us appreciate your support,"['thanks', 'for', 'tagging', 'us', 'appreciate', 'your', 'support']","['thanks', 'tagging', 'us', 'appreciate', 'support']","['thank', 'tag', 'us', 'appreci', 'support']","['thanks', 'tagging', 'us', 'appreciate', 'support']",5,Costa Rica
2021-11-22 05:45:32+00:00,1462658485389336578,"Thank you so much @vnus_vnus for collecting an edition of 'Madeline'.
Appreciate the support pal!
🙏🔥🚀 https://t.co/8drkgPThlo",tots_tate,,10,0,0,0,"No Funny Stuff corp.
Artist
tatertots.tez",1018,,thank you so much for collecting an edition of madeline appreciate the support pal,"['thank', 'you', 'so', 'much', 'for', 'collecting', 'an', 'edition', 'of', 'madeline', 'appreciate', 'the', 'support', 'pal']","['thank', 'much', 'collecting', 'edition', 'madeline', 'appreciate', 'support', 'pal']","['thank', 'much', 'collect', 'edit', 'madelin', 'appreci', 'support', 'pal']","['thank', 'much', 'collecting', 'edition', 'madeline', 'appreciate', 'support', 'pal']",5,Costa Rica
2020-02-07 01:10:50+00:00,1225587692710375424,"Update: thank you guys all for your support, I really appreciate it. The vet is coming Saturday morning, and tomorrow we asked the landscapers (who were coming anyway) to dig a grave in the side garden, where there is some space. Here he is getting a tum scratch &amp; a kitty boop https://t.co/CrqmE65UgD",riordainn,"Boquete, Panama",57,8,0,0,"I am not a member of your political party. From New York/Panama, studying data science and math at @snhu. I am very quick to block.",1510,,update thank you guys all for your support i really appreciate it the vet is coming saturday morning and tomorrow we asked the landscapers who were coming anyway to dig a grave in the side garden where there is some space here he is getting a tum scratch amp a kitty boop,"['update', 'thank', 'you', 'guys', 'all', 'for', 'your', 'support', 'i', 'really', 'appreciate', 'it', 'the', 'vet', 'is', 'coming', 'saturday', 'morning', 'and', 'tomorrow', 'we', 'asked', 'the', 'landscapers', 'who', 'were', 'coming', 'anyway', 'to', 'dig', 'a', 'grave', 'in', 'the', 'side', 'garden', 'where', 'there', 'is', 'some', 'space', 'here', 'he', 'is', 'getting', 'a', 'tum', 'scratch', 'amp', 'a', 'kitty', 'boop']","['update', 'thank', 'guys', 'support', 'really', 'appreciate', 'vet', 'coming', 'saturday', 'morning', 'tomorrow', 'asked', 'landscapers', 'coming', 'anyway', 'dig', 'grave', 'side', 'garden', 'space', 'getting', 'tum', 'scratch', 'amp', 'kitty', 'boop']","['updat', 'thank', 'guy', 'support', 'realli', 'appreci', 'vet', 'come', 'saturday', 'morn', 'tomorrow', 'ask', 'landscap', 'come', 'anyway', 'dig', 'grave', 'side', 'garden', 'space', 'get', 'tum', 'scratch', 'amp', 'kitti', 'boop']","['update', 'thank', 'guys', 'support', 'really', 'appreciate', 'vet', 'coming', 'saturday', 'morning', 'tomorrow', 'asked', 'landscapers', 'coming', 'anyway', 'dig', 'grave', 'side', 'garden', 'space', 'getting', 'tum', 'scratch', 'amp', 'kitty', 'boop']",4,Costa Rica
2019-12-03 04:07:01+00:00,1201714431891320832,@Ardie85854079 @CapehartJ @SteveBenjaminSC I'm a Pete supporter myself but I love Kamala. I especially appreciate her stance on health care and I think she's a total badass. I don't understand the vitriol around this amazing field of candidates. I'm scarce here until after the primary. I'm excited to just support the nom.,riordainn,"Boquete, Panama",0,1,0,0,"I am not a member of your political party. From New York/Panama, studying data science and math at @snhu. I am very quick to block.",1510,,im a pete supporter myself but i love kamala i especially appreciate her stance on health care and i think shes a total badass i dont understand the vitriol around this amazing field of candidates im scarce here until after the primary im excited to just support the nom,"['im', 'a', 'pete', 'supporter', 'myself', 'but', 'i', 'love', 'kamala', 'i', 'especially', 'appreciate', 'her', 'stance', 'on', 'health', 'care', 'and', 'i', 'think', 'shes', 'a', 'total', 'badass', 'i', 'dont', 'understand', 'the', 'vitriol', 'around', 'this', 'amazing', 'field', 'of', 'candidates', 'im', 'scarce', 'here', 'until', 'after', 'the', 'primary', 'im', 'excited', 'to', 'just', 'support', 'the', 'nom']","['im', 'pete', 'supporter', 'love', 'kamala', 'especially', 'appreciate', 'stance', 'health', 'care', 'think', 'shes', 'total', 'badass', 'dont', 'understand', 'vitriol', 'around', 'amazing', 'field', 'candidates', 'im', 'scarce', 'primary', 'im', 'excited', 'support', 'nom']","['im', 'pete', 'support', 'love', 'kamala', 'especi', 'appreci', 'stanc', 'health', 'care', 'think', 'she', 'total', 'badass', 'dont', 'understand', 'vitriol', 'around', 'amaz', 'field', 'candid', 'im', 'scarc', 'primari', 'im', 'excit', 'support', 'nom']","['im', 'pete', 'supporter', 'love', 'kamala', 'especially', 'appreciate', 'stance', 'health', 'care', 'think', 'shes', 'total', 'badass', 'dont', 'understand', 'vitriol', 'around', 'amazing', 'field', 'candidates', 'im', 'scarce', 'primary', 'im', 'excited', 'support', 'nom']",3,Costa Rica
2020-08-19 21:13:06+00:00,1296193498220302338,"We've pivoted many of our on-site health services to virtual, hybrid models to ensure safety with #COVID19. At #ProjectAlajuelita our team's telemedicine program reached 115 patients in July! Thanks to all who are helping us serve our communities! https://t.co/1ZUPtG5sVx https://t.co/smITnMl38J",FIMRC,The World,3,0,1,0,FIMRC is a global nonprofit organization committed to improving healthcare access in medically underserved communities.,1183,"['COVID19', 'ProjectAlajuelita']",weve pivoted many of our onsite health services to virtual hybrid models to ensure safety with covid19 at projectalajuelita our teams telemedicine program reached 115 patients in july thanks to all who are helping us serve our communities,"['weve', 'pivoted', 'many', 'of', 'our', 'onsite', 'health', 'services', 'to', 'virtual', 'hybrid', 'models', 'to', 'ensure', 'safety', 'with', 'covid19', 'at', 'projectalajuelita', 'our', 'teams', 'telemedicine', 'program', 'reached', '115', 'patients', 'in', 'july', 'thanks', 'to', 'all', 'who', 'are', 'helping', 'us', 'serve', 'our', 'communities']","['weve', 'pivoted', 'many', 'onsite', 'health', 'services', 'virtual', 'hybrid', 'models', 'ensure', 'safety', 'covid19', 'projectalajuelita', 'teams', 'telemedicine', 'program', 'reached', '115', 'patients', 'july', 'thanks', 'helping', 'us', 'serve', 'communities']","['weve', 'pivot', 'mani', 'onsit', 'health', 'servic', 'virtual', 'hybrid', 'model', 'ensur', 'safeti', 'covid19', 'projectalajuelita', 'team', 'telemedicin', 'program', 'reach', '115', 'patient', 'juli', 'thank', 'help', 'us', 'serv', 'commun']","['weve', 'pivoted', 'many', 'onsite', 'health', 'services', 'virtual', 'hybrid', 'models', 'ensure', 'safety', 'covid19', 'projectalajuelita', 'teams', 'telemedicine', 'program', 'reached', '115', 'patients', 'july', 'thanks', 'helping', 'us', 'serve', 'communities']",5,Costa Rica
2020-03-14 15:02:00+00:00,1238842822977036288,"If you’re all of a sudden teaching an #OperationsManagement class #online b/c of #covid19, let us help you make online learning the best it can be.

We are offering greatly discounted prices to our mobile simulations and all the 1:1 support you may need. 

https://t.co/3cc6Kyqnxe https://t.co/LCl61gP8gQ",ProcessimLabs,Costa Rica,4,0,1,1,Transforming smartphones into pocket simulators that college professors can use as powerful and convenient teaching games!  #EdTech #OnlineLearning #OpsSimCom,304,"['OperationsManagement', 'online', 'covid19']",if youre all of a sudden teaching an operationsmanagement class online bc of covid19 let us help you make online learning the best it can be we are offering greatly discounted prices to our mobile simulations and all the 11 support you may need,"['if', 'youre', 'all', 'of', 'a', 'sudden', 'teaching', 'an', 'operationsmanagement', 'class', 'online', 'bc', 'of', 'covid19', 'let', 'us', 'help', 'you', 'make', 'online', 'learning', 'the', 'best', 'it', 'can', 'be', 'we', 'are', 'offering', 'greatly', 'discounted', 'prices', 'to', 'our', 'mobile', 'simulations', 'and', 'all', 'the', '11', 'support', 'you', 'may', 'need']","['youre', 'sudden', 'teaching', 'operationsmanagement', 'class', 'online', 'bc', 'covid19', 'let', 'us', 'help', 'make', 'online', 'learning', 'best', 'offering', 'greatly', 'discounted', 'prices', 'mobile', 'simulations', '11', 'support', 'may', 'need']","['your', 'sudden', 'teach', 'operationsmanag', 'class', 'onlin', 'bc', 'covid19', 'let', 'us', 'help', 'make', 'onlin', 'learn', 'best', 'offer', 'greatli', 'discount', 'price', 'mobil', 'simul', '11', 'support', 'may', 'need']","['youre', 'sudden', 'teaching', 'operationsmanagement', 'class', 'online', 'bc', 'covid19', 'let', 'us', 'help', 'make', 'online', 'learning', 'best', 'offering', 'greatly', 'discounted', 'prices', 'mobile', 'simulations', '11', 'support', 'may', 'need']",5,Costa Rica
2020-02-08 16:23:49+00:00,1226179836592508928,@kimmurphy100 @ouakam4 @NMforPete The campaign keeps trying to get her media appearances as a surrogate and they decline. Same with black supporters saying positive things about him in interview for print; it never gets printed. They're actively perpetuating a false narrative,riordainn,"Boquete, Panama",7,1,1,0,"I am not a member of your political party. From New York/Panama, studying data science and math at @snhu. I am very quick to block.",1510,,the campaign keeps trying to get her media appearances as a surrogate and they decline same with black supporters saying positive things about him in interview for print it never gets printed theyre actively perpetuating a false narrative,"['the', 'campaign', 'keeps', 'trying', 'to', 'get', 'her', 'media', 'appearances', 'as', 'a', 'surrogate', 'and', 'they', 'decline', 'same', 'with', 'black', 'supporters', 'saying', 'positive', 'things', 'about', 'him', 'in', 'interview', 'for', 'print', 'it', 'never', 'gets', 'printed', 'theyre', 'actively', 'perpetuating', 'a', 'false', 'narrative']","['campaign', 'keeps', 'trying', 'get', 'media', 'appearances', 'surrogate', 'decline', 'black', 'supporters', 'saying', 'positive', 'things', 'interview', 'print', 'never', 'gets', 'printed', 'theyre', 'actively', 'perpetuating', 'false', 'narrative']","['campaign', 'keep', 'tri', 'get', 'media', 'appear', 'surrog', 'declin', 'black', 'support', 'say', 'posit', 'thing', 'interview', 'print', 'never', 'get', 'print', 'theyr', 'activ', 'perpetu', 'fals', 'narr']","['campaign', 'keeps', 'trying', 'get', 'media', 'appearances', 'surrogate', 'decline', 'black', 'supporters', 'saying', 'positive', 'things', 'interview', 'print', 'never', 'gets', 'printed', 'theyre', 'actively', 'perpetuating', 'false', 'narrative']",1,Costa Rica
2020-05-01 01:53:31+00:00,1256039013405908992,"Dear travellers 🧳, yes we are open and we are happy to receive you while you are waiting for tour ✈️ #supportsmallbusiness 
#happy #waiting #corona #coronavirus #panama #pool #swimmingpool #pool #casaareka #travel… https://t.co/kFdSklgx1h",casa_areka_pty,Panamá Paitilla,0,0,0,0,We arange trips to San blas and Sailing trips to Cartagena! Hostel Casa Areka is located in the heart of Panama City close to everything. Come and stay with us!,23,"['supportsmallbusiness', 'happy', 'waiting', 'corona', 'coronavirus', 'panama', 'pool', 'swimmingpool', 'pool', 'casaareka', 'travel']",dear travellers yes we are open and we are happy to receive you while you are waiting for tour supportsmallbusiness happy waiting corona coronavirus panama pool swimmingpool pool casaareka travel,"['dear', 'travellers', 'yes', 'we', 'are', 'open', 'and', 'we', 'are', 'happy', 'to', 'receive', 'you', 'while', 'you', 'are', 'waiting', 'for', 'tour', 'supportsmallbusiness', 'happy', 'waiting', 'corona', 'coronavirus', 'panama', 'pool', 'swimmingpool', 'pool', 'casaareka', 'travel']","['dear', 'travellers', 'yes', 'open', 'happy', 'receive', 'waiting', 'tour', 'supportsmallbusiness', 'happy', 'waiting', 'corona', 'coronavirus', 'panama', 'pool', 'swimmingpool', 'pool', 'casaareka', 'travel']","['dear', 'travel', 'ye', 'open', 'happi', 'receiv', 'wait', 'tour', 'supportsmallbusi', 'happi', 'wait', 'corona', 'coronaviru', 'panama', 'pool', 'swimmingpool', 'pool', 'casaareka', 'travel']","['dear', 'travellers', 'yes', 'open', 'happy', 'receive', 'waiting', 'tour', 'supportsmallbusiness', 'happy', 'waiting', 'corona', 'coronavirus', 'panama', 'pool', 'swimmingpool', 'pool', 'casaareka', 'travel']",5,Costa Rica
2020-04-19 17:36:25+00:00,1251927646084247552,@realDonaldTrump WARNING from longtime and fervent supporter:You are losing support and could lose election because of coronavirus briefing performance. Stop the redundancy and repetition. We all know ventilators are complex and expensive. We all know  of 2900 beds and 2 ships.,PanamaIce,"Boquete, Panama",0,1,0,0,Retired from media ownership. Residing in Panama. UK alum 1960. USAF 1961-1968..,65,,warning from longtime and fervent supporteryou are losing support and could lose election because of coronavirus briefing performance stop the redundancy and repetition we all know ventilators are complex and expensive we all know of 2900 beds and 2 ships,"['warning', 'from', 'longtime', 'and', 'fervent', 'supporteryou', 'are', 'losing', 'support', 'and', 'could', 'lose', 'election', 'because', 'of', 'coronavirus', 'briefing', 'performance', 'stop', 'the', 'redundancy', 'and', 'repetition', 'we', 'all', 'know', 'ventilators', 'are', 'complex', 'and', 'expensive', 'we', 'all', 'know', 'of', '2900', 'beds', 'and', '2', 'ships']","['warning', 'longtime', 'fervent', 'supporteryou', 'losing', 'support', 'could', 'lose', 'election', 'coronavirus', 'briefing', 'performance', 'stop', 'redundancy', 'repetition', 'know', 'ventilators', 'complex', 'expensive', 'know', '2900', 'beds', '2', 'ships']","['warn', 'longtim', 'fervent', 'supportery', 'lose', 'support', 'could', 'lose', 'elect', 'coronaviru', 'brief', 'perform', 'stop', 'redund', 'repetit', 'know', 'ventil', 'complex', 'expens', 'know', '2900', 'bed', '2', 'ship']","['warning', 'longtime', 'fervent', 'supporteryou', 'losing', 'support', 'could', 'lose', 'election', 'coronavirus', 'briefing', 'performance', 'stop', 'redundancy', 'repetition', 'know', 'ventilators', 'complex', 'expensive', 'know', '2900', 'beds', '2', 'ships']",1,Costa Rica
2020-04-16 00:23:09+00:00,1250580454656401408,"Dear travellers 🧳, yes we are open and we are happy to receive you while you are waiting for tour ✈️ #supportsmallbusiness 
#happy #waiting #corona #coronavirus #panama #pool #swimmingpool #pool #casaareka #travel… https://t.co/DahYEFSiZu",casa_areka_pty,Panamá Paitilla,0,0,0,0,We arange trips to San blas and Sailing trips to Cartagena! Hostel Casa Areka is located in the heart of Panama City close to everything. Come and stay with us!,23,"['supportsmallbusiness', 'happy', 'waiting', 'corona', 'coronavirus', 'panama', 'pool', 'swimmingpool', 'pool', 'casaareka', 'travel']",dear travellers yes we are open and we are happy to receive you while you are waiting for tour supportsmallbusiness happy waiting corona coronavirus panama pool swimmingpool pool casaareka travel,"['dear', 'travellers', 'yes', 'we', 'are', 'open', 'and', 'we', 'are', 'happy', 'to', 'receive', 'you', 'while', 'you', 'are', 'waiting', 'for', 'tour', 'supportsmallbusiness', 'happy', 'waiting', 'corona', 'coronavirus', 'panama', 'pool', 'swimmingpool', 'pool', 'casaareka', 'travel']","['dear', 'travellers', 'yes', 'open', 'happy', 'receive', 'waiting', 'tour', 'supportsmallbusiness', 'happy', 'waiting', 'corona', 'coronavirus', 'panama', 'pool', 'swimmingpool', 'pool', 'casaareka', 'travel']","['dear', 'travel', 'ye', 'open', 'happi', 'receiv', 'wait', 'tour', 'supportsmallbusi', 'happi', 'wait', 'corona', 'coronaviru', 'panama', 'pool', 'swimmingpool', 'pool', 'casaareka', 'travel']","['dear', 'travellers', 'yes', 'open', 'happy', 'receive', 'waiting', 'tour', 'supportsmallbusiness', 'happy', 'waiting', 'corona', 'coronavirus', 'panama', 'pool', 'swimmingpool', 'pool', 'casaareka', 'travel']",5,Costa Rica
