Date,Id,Tweet,Username,Location,likeCount,replyCount,retweetCount,quoteCount,userDescription,userFollowers,hashtags,Cleaned_Tweet,Tweet_tokenized,Tweet_removed_stop_word,Tweet_stemmed,Tweet_lemmatized,sentiment,Country
2021-06-18 10:07:33+00:00,1405829529399087104,"HI FRIEND, we would like to inform you that our song is out titled ""AMANGA f.t kaylee""we appreciate your support by playing it on one of the links below:  YOUTUBE_ https://t.co/xGlPSXBF2r  SPOTIFY- https://t.co/4ggUOOWfuO  APPLE MUSIC- https://t.co/J9Jig3SxFd",vibe_jei,"Brits, South Africa",1,0,0,0,"🎶 PRODUCER 🎶
🌐All Digital Platforms 🌐
#HEART_BEAT_PROJECT OUT ON SPOTIFY",1207,,hi friend we would like to inform you that our song is out titled amanga ft kayleewe appreciate your support by playing it on one of the links below youtube spotify apple music,"['hi', 'friend', 'we', 'would', 'like', 'to', 'inform', 'you', 'that', 'our', 'song', 'is', 'out', 'titled', 'amanga', 'ft', 'kayleewe', 'appreciate', 'your', 'support', 'by', 'playing', 'it', 'on', 'one', 'of', 'the', 'links', 'below', 'youtube', 'spotify', 'apple', 'music']","['hi', 'friend', 'would', 'like', 'inform', 'song', 'titled', 'amanga', 'ft', 'kayleewe', 'appreciate', 'support', 'playing', 'one', 'links', 'youtube', 'spotify', 'apple', 'music']","['hi', 'friend', 'would', 'like', 'inform', 'song', 'titl', 'amanga', 'ft', 'kayleew', 'appreci', 'support', 'play', 'one', 'link', 'youtub', 'spotifi', 'appl', 'music']","['hi', 'friend', 'would', 'like', 'inform', 'song', 'titled', 'amanga', 'ft', 'kayleewe', 'appreciate', 'support', 'playing', 'one', 'links', 'youtube', 'spotify', 'apple', 'music']",4,Namibia
2021-02-23 15:28:05+00:00,1364235590477168642,"Roken Agency offers Graphic Design Services for all kinds of businesses, Contact Us Today and see our latest Promotion for Entrepreneurs!

Please Retweet and Like, we appreciate all your support!🖤 https://t.co/GfPSuXC6TU https://t.co/kX522hJCOn",Renkenwil,Namibia,3,0,3,0,"• Social Media & Branding Consultant
• Elite Content Creator
• Host of @flexyourhustle podcast 🎙
@Rokenagency
Watch all my Content via the link below ⤵️",90,,roken agency offers graphic design services for all kinds of businesses contact us today and see our latest promotion for entrepreneurs please retweet and like we appreciate all your support,"['roken', 'agency', 'offers', 'graphic', 'design', 'services', 'for', 'all', 'kinds', 'of', 'businesses', 'contact', 'us', 'today', 'and', 'see', 'our', 'latest', 'promotion', 'for', 'entrepreneurs', 'please', 'retweet', 'and', 'like', 'we', 'appreciate', 'all', 'your', 'support']","['roken', 'agency', 'offers', 'graphic', 'design', 'services', 'kinds', 'businesses', 'contact', 'us', 'today', 'see', 'latest', 'promotion', 'entrepreneurs', 'please', 'retweet', 'like', 'appreciate', 'support']","['roken', 'agenc', 'offer', 'graphic', 'design', 'servic', 'kind', 'busi', 'contact', 'us', 'today', 'see', 'latest', 'promot', 'entrepreneur', 'pleas', 'retweet', 'like', 'appreci', 'support']","['roken', 'agency', 'offers', 'graphic', 'design', 'services', 'kinds', 'businesses', 'contact', 'us', 'today', 'see', 'latest', 'promotion', 'entrepreneurs', 'please', 'retweet', 'like', 'appreciate', 'support']",5,Namibia
2020-11-01 15:55:34+00:00,1322930291099488260,"We appreciate the Spiritual leaders, organisations, institutions and individuals that sponsored the Namibia national students prayer day, our hearts are full of grateful for your contribution and support towards making this day a success...❤️ https://t.co/9gqp6FAjVG",PrayerDay24,,4,0,0,1,🇳🇦Official Page🇳🇦,35,,we appreciate the spiritual leaders organisations institutions and individuals that sponsored the namibia national students prayer day our hearts are full of grateful for your contribution and support towards making this day a success,"['we', 'appreciate', 'the', 'spiritual', 'leaders', 'organisations', 'institutions', 'and', 'individuals', 'that', 'sponsored', 'the', 'namibia', 'national', 'students', 'prayer', 'day', 'our', 'hearts', 'are', 'full', 'of', 'grateful', 'for', 'your', 'contribution', 'and', 'support', 'towards', 'making', 'this', 'day', 'a', 'success']","['appreciate', 'spiritual', 'leaders', 'organisations', 'institutions', 'individuals', 'sponsored', 'namibia', 'national', 'students', 'prayer', 'day', 'hearts', 'full', 'grateful', 'contribution', 'support', 'towards', 'making', 'day', 'success']","['appreci', 'spiritu', 'leader', 'organis', 'institut', 'individu', 'sponsor', 'namibia', 'nation', 'student', 'prayer', 'day', 'heart', 'full', 'grate', 'contribut', 'support', 'toward', 'make', 'day', 'success']","['appreciate', 'spiritual', 'leaders', 'organisations', 'institutions', 'individuals', 'sponsored', 'namibia', 'national', 'students', 'prayer', 'day', 'hearts', 'full', 'grateful', 'contribution', 'support', 'towards', 'making', 'day', 'success']",5,Namibia
2020-09-03 16:53:55+00:00,1301564089274191873,"I'm taking part tomorrow in ""BetterDay Day 2"" and please don't tell me to give chance to others😑..
I'm doing it for my mum's birthday on the 16th🙏
I'll highly appreciate your support my people 😊...",ShayelaNepando,"Namibia,Ongwediva & Oniipa",17,0,2,0,"I'm one of a kind‼️
📍IG: nepando_pau96
|°Simply look at me. God is amazingly creative💯 |Land Cruiser LX V8 🔥
📌 Call me Top Shayela 🇳🇦",27046,,im taking part tomorrow in betterday day 2 and please dont tell me to give chance to others im doing it for my mums birthday on the 16th ill highly appreciate your support my people,"['im', 'taking', 'part', 'tomorrow', 'in', 'betterday', 'day', '2', 'and', 'please', 'dont', 'tell', 'me', 'to', 'give', 'chance', 'to', 'others', 'im', 'doing', 'it', 'for', 'my', 'mums', 'birthday', 'on', 'the', '16th', 'ill', 'highly', 'appreciate', 'your', 'support', 'my', 'people']","['im', 'taking', 'part', 'tomorrow', 'betterday', 'day', '2', 'please', 'dont', 'tell', 'give', 'chance', 'others', 'im', 'mums', 'birthday', '16th', 'ill', 'highly', 'appreciate', 'support', 'people']","['im', 'take', 'part', 'tomorrow', 'betterday', 'day', '2', 'pleas', 'dont', 'tell', 'give', 'chanc', 'other', 'im', 'mum', 'birthday', '16th', 'ill', 'highli', 'appreci', 'support', 'peopl']","['im', 'taking', 'part', 'tomorrow', 'betterday', 'day', '2', 'please', 'dont', 'tell', 'give', 'chance', 'others', 'im', 'mums', 'birthday', '16th', 'ill', 'highly', 'appreciate', 'support', 'people']",5,Namibia
2020-07-23 18:43:54+00:00,1286371476023595008,"This is an appreciation post to amazing people I meet here on Twitter 😭😭😭😭the ones that Retweet.. The ones that call and order my book.. The ones that mention me when cocktails are needed.. 😍😍

I really appreciate the support and love you show me.. I DO NOT TAKE IT LIGHTLY https://t.co/6QmRmFgCuw",RobustHun,Botswana,40,0,3,0,Mixologist // Plus size model // MC // Brand  Strategist // Digital content creator //,45912,,this is an appreciation post to amazing people i meet here on twitter the ones that retweet the ones that call and order my book the ones that mention me when cocktails are needed i really appreciate the support and love you show me i do not take it lightly,"['this', 'is', 'an', 'appreciation', 'post', 'to', 'amazing', 'people', 'i', 'meet', 'here', 'on', 'twitter', 'the', 'ones', 'that', 'retweet', 'the', 'ones', 'that', 'call', 'and', 'order', 'my', 'book', 'the', 'ones', 'that', 'mention', 'me', 'when', 'cocktails', 'are', 'needed', 'i', 'really', 'appreciate', 'the', 'support', 'and', 'love', 'you', 'show', 'me', 'i', 'do', 'not', 'take', 'it', 'lightly']","['appreciation', 'post', 'amazing', 'people', 'meet', 'twitter', 'ones', 'retweet', 'ones', 'call', 'order', 'book', 'ones', 'mention', 'cocktails', 'needed', 'really', 'appreciate', 'support', 'love', 'show', 'take', 'lightly']","['appreci', 'post', 'amaz', 'peopl', 'meet', 'twitter', 'one', 'retweet', 'one', 'call', 'order', 'book', 'one', 'mention', 'cocktail', 'need', 'realli', 'appreci', 'support', 'love', 'show', 'take', 'lightli']","['appreciation', 'post', 'amazing', 'people', 'meet', 'twitter', 'ones', 'retweet', 'ones', 'call', 'order', 'book', 'ones', 'mention', 'cocktails', 'needed', 'really', 'appreciate', 'support', 'love', 'show', 'take', 'lightly']",5,Namibia
2020-06-13 14:41:27+00:00,1271814949799710720,"@asserdeep
PIANO MEDICINE ALBUM
💽🎹💊🇳🇦

IS OUT NOW 

ONLY N$100 FOR A PHYSICAL COPY 

CALL/TEXT +264 81 371 1620

Thank you for all the support, we appreciate you all.

#ExpensiveMusique017 #YanosGRN #KeepItLocked #AmapianoIsALifestyle 

🙏🏾❤️ https://t.co/4HZPLw0I30",DJ_Whatwhat_NAM,"Namibia, Windhoek",1,0,0,0,• DJ • Graphic Designer • Co-Founder of ExpensiveMusique017 • Hustlerpreneur |  For bookings: Email 👉🏾tsowasebtrevor@gmail.com Cell 👉🏾+264 81 601 6796,274,"['ExpensiveMusique017', 'YanosGRN', 'KeepItLocked', 'AmapianoIsALifestyle']",piano medicine album is out now only n100 for a physical copy calltext 264 81 371 1620 thank you for all the support we appreciate you all expensivemusique017 yanosgrn keepitlocked amapianoisalifestyle,"['piano', 'medicine', 'album', 'is', 'out', 'now', 'only', 'n100', 'for', 'a', 'physical', 'copy', 'calltext', '264', '81', '371', '1620', 'thank', 'you', 'for', 'all', 'the', 'support', 'we', 'appreciate', 'you', 'all', 'expensivemusique017', 'yanosgrn', 'keepitlocked', 'amapianoisalifestyle']","['piano', 'medicine', 'album', 'n100', 'physical', 'copy', 'calltext', '264', '81', '371', '1620', 'thank', 'support', 'appreciate', 'expensivemusique017', 'yanosgrn', 'keepitlocked', 'amapianoisalifestyle']","['piano', 'medicin', 'album', 'n100', 'physic', 'copi', 'calltext', '264', '81', '371', '1620', 'thank', 'support', 'appreci', 'expensivemusique017', 'yanosgrn', 'keepitlock', 'amapianoisalifestyl']","['piano', 'medicine', 'album', 'n100', 'physical', 'copy', 'calltext', '264', '81', '371', '1620', 'thank', 'support', 'appreciate', 'expensivemusique017', 'yanosgrn', 'keepitlocked', 'amapianoisalifestyle']",1,Namibia
2020-05-24 08:06:12+00:00,1264467721443573761,"Nally been consistent with the support, thank you man. A VIP Pass for you at the first GMP event post lockdown 🙏🏾 thank you, really appreciate it. https://t.co/5QiELAnWC9",IAmGustav8,The 066 | WHK ,14,1,4,0,make an impact | @gmp_467 | @ngandufestival,1669,,nally been consistent with the support thank you man a vip pass for you at the first gmp event post lockdown thank you really appreciate it,"['nally', 'been', 'consistent', 'with', 'the', 'support', 'thank', 'you', 'man', 'a', 'vip', 'pass', 'for', 'you', 'at', 'the', 'first', 'gmp', 'event', 'post', 'lockdown', 'thank', 'you', 'really', 'appreciate', 'it']","['nally', 'consistent', 'support', 'thank', 'man', 'vip', 'pass', 'first', 'gmp', 'event', 'post', 'lockdown', 'thank', 'really', 'appreciate']","['nalli', 'consist', 'support', 'thank', 'man', 'vip', 'pass', 'first', 'gmp', 'event', 'post', 'lockdown', 'thank', 'realli', 'appreci']","['nally', 'consistent', 'support', 'thank', 'man', 'vip', 'pass', 'first', 'gmp', 'event', 'post', 'lockdown', 'thank', 'really', 'appreciate']",4,Namibia
2020-01-30 13:25:33+00:00,1222873487561326593,"30 Jan 2020|| Hey Jammers,please note that JFB will be on a break until further notice. We appreciate all the love and support given to us over the years.
We will announce next Event soon!! 🎵🎶📷📽
https://t.co/6ui0ve4Mxp https://t.co/dzuAgP9JQz",jamforbrunch,"Gaborone,Botswana",2,1,2,2,"Jamming since 2014|| First Sunday of the month 🎵🍟||
First 100 people get a free cocktail 🍹|
YouTube youtube.com/channel/UCM8eJ…",2891,,30 jan 2020 hey jammersplease note that jfb will be on a break until further notice we appreciate all the love and support given to us over the years we will announce next event soon,"['30', 'jan', '2020', 'hey', 'jammersplease', 'note', 'that', 'jfb', 'will', 'be', 'on', 'a', 'break', 'until', 'further', 'notice', 'we', 'appreciate', 'all', 'the', 'love', 'and', 'support', 'given', 'to', 'us', 'over', 'the', 'years', 'we', 'will', 'announce', 'next', 'event', 'soon']","['30', 'jan', '2020', 'hey', 'jammersplease', 'note', 'jfb', 'break', 'notice', 'appreciate', 'love', 'support', 'given', 'us', 'years', 'announce', 'next', 'event', 'soon']","['30', 'jan', '2020', 'hey', 'jammerspleas', 'note', 'jfb', 'break', 'notic', 'appreci', 'love', 'support', 'given', 'us', 'year', 'announc', 'next', 'event', 'soon']","['30', 'jan', '2020', 'hey', 'jammersplease', 'note', 'jfb', 'break', 'notice', 'appreciate', 'love', 'support', 'given', 'us', 'years', 'announce', 'next', 'event', 'soon']",4,Namibia
2020-07-23 18:43:54+00:00,1286371476023595008,"This is an appreciation post to amazing people I meet here on Twitter 😭😭😭😭the ones that Retweet.. The ones that call and order my book.. The ones that mention me when cocktails are needed.. 😍😍

I really appreciate the support and love you show me.. I DO NOT TAKE IT LIGHTLY https://t.co/6QmRmFgCuw",RobustHun,Botswana,40,0,3,0,Mixologist // Plus size model // MC // Brand  Strategist // Digital content creator //,45912,,this is an appreciation post to amazing people i meet here on twitter the ones that retweet the ones that call and order my book the ones that mention me when cocktails are needed i really appreciate the support and love you show me i do not take it lightly,"['this', 'is', 'an', 'appreciation', 'post', 'to', 'amazing', 'people', 'i', 'meet', 'here', 'on', 'twitter', 'the', 'ones', 'that', 'retweet', 'the', 'ones', 'that', 'call', 'and', 'order', 'my', 'book', 'the', 'ones', 'that', 'mention', 'me', 'when', 'cocktails', 'are', 'needed', 'i', 'really', 'appreciate', 'the', 'support', 'and', 'love', 'you', 'show', 'me', 'i', 'do', 'not', 'take', 'it', 'lightly']","['appreciation', 'post', 'amazing', 'people', 'meet', 'twitter', 'ones', 'retweet', 'ones', 'call', 'order', 'book', 'ones', 'mention', 'cocktails', 'needed', 'really', 'appreciate', 'support', 'love', 'show', 'take', 'lightly']","['appreci', 'post', 'amaz', 'peopl', 'meet', 'twitter', 'one', 'retweet', 'one', 'call', 'order', 'book', 'one', 'mention', 'cocktail', 'need', 'realli', 'appreci', 'support', 'love', 'show', 'take', 'lightli']","['appreciation', 'post', 'amazing', 'people', 'meet', 'twitter', 'ones', 'retweet', 'ones', 'call', 'order', 'book', 'ones', 'mention', 'cocktails', 'needed', 'really', 'appreciate', 'support', 'love', 'show', 'take', 'lightly']",5,Namibia
2022-04-25 08:09:50+00:00,1518502532938706946,#stockholm50 looking ahead to green recovery in the face of #COVID19. Supporting and inclusion of #youth voices in pursuing a #healthyenvironment. @commonwealthsec supporting Namibia to access climate finance that integrates all #3RioConventions. https://t.co/CRo0idcZhf,cmwapezulu,"Lusaka, Zambia",9,0,3,0,,103,"['stockholm50', 'COVID19', 'youth', 'healthyenvironment', '3RioConventions']",stockholm50 looking ahead to green recovery in the face of covid19 supporting and inclusion of youth voices in pursuing a healthyenvironment supporting namibia to access climate finance that integrates all 3rioconventions,"['stockholm50', 'looking', 'ahead', 'to', 'green', 'recovery', 'in', 'the', 'face', 'of', 'covid19', 'supporting', 'and', 'inclusion', 'of', 'youth', 'voices', 'in', 'pursuing', 'a', 'healthyenvironment', 'supporting', 'namibia', 'to', 'access', 'climate', 'finance', 'that', 'integrates', 'all', '3rioconventions']","['stockholm50', 'looking', 'ahead', 'green', 'recovery', 'face', 'covid19', 'supporting', 'inclusion', 'youth', 'voices', 'pursuing', 'healthyenvironment', 'supporting', 'namibia', 'access', 'climate', 'finance', 'integrates', '3rioconventions']","['stockholm50', 'look', 'ahead', 'green', 'recoveri', 'face', 'covid19', 'support', 'inclus', 'youth', 'voic', 'pursu', 'healthyenviron', 'support', 'namibia', 'access', 'climat', 'financ', 'integr', '3rioconvent']","['stockholm50', 'looking', 'ahead', 'green', 'recovery', 'face', 'covid19', 'supporting', 'inclusion', 'youth', 'voices', 'pursuing', 'healthyenvironment', 'supporting', 'namibia', 'access', 'climate', 'finance', 'integrates', '3rioconventions']",5,Namibia
