Date,Id,Tweet,Username,Location,likeCount,replyCount,retweetCount,quoteCount,userDescription,userFollowers,hashtags,Cleaned_Tweet,Tweet_tokenized,Tweet_removed_stop_word,Tweet_stemmed,Tweet_lemmatized,sentiment,Country
2022-05-15 14:39:39+00:00,1525848389656760320,Deep appreciation to the US President for signing legislation supporting Taiwan’s observer status at the World Health Assembly https://t.co/oN3HvtxmNv,office_taipei,"Bratislava, Slovakia",1,0,0,0,"Taipei Representative Office in Bratislava aims at promoting bilateral relations between Taiwan and Slovakia.

FB: facebook.com/TaiwaninSlovak…",617,,deep appreciation to the us president for signing legislation supporting taiwans observer status at the world health assembly,"['deep', 'appreciation', 'to', 'the', 'us', 'president', 'for', 'signing', 'legislation', 'supporting', 'taiwans', 'observer', 'status', 'at', 'the', 'world', 'health', 'assembly']","['deep', 'appreciation', 'us', 'president', 'signing', 'legislation', 'supporting', 'taiwans', 'observer', 'status', 'world', 'health', 'assembly']","['deep', 'appreci', 'us', 'presid', 'sign', 'legisl', 'support', 'taiwan', 'observ', 'statu', 'world', 'health', 'assembl']","['deep', 'appreciation', 'us', 'president', 'signing', 'legislation', 'supporting', 'taiwans', 'observer', 'status', 'world', 'health', 'assembly']",5,Slovakia
2020-03-11 18:11:20+00:00,1237803307726503937,Follow official advice and stop this idiotic #COVID19 #Corona panic... Public health service in Ontario response regarding #PDAC2020 - **no risk or issue associated with the event **  https://t.co/8OshEtPjPS,SpotlightMining,"Vienna, Austria",1,0,0,0,"#Behingthescenes shots from Spotlight's team, on the ground at the world's most exciting junior mining projects.",3924,"['COVID19', 'Corona', 'PDAC2020']",follow official advice and stop this idiotic covid19 corona panic public health service in ontario response regarding pdac2020 no risk or issue associated with the event,"['follow', 'official', 'advice', 'and', 'stop', 'this', 'idiotic', 'covid19', 'corona', 'panic', 'public', 'health', 'service', 'in', 'ontario', 'response', 'regarding', 'pdac2020', 'no', 'risk', 'or', 'issue', 'associated', 'with', 'the', 'event']","['follow', 'official', 'advice', 'stop', 'idiotic', 'covid19', 'corona', 'panic', 'public', 'health', 'service', 'ontario', 'response', 'regarding', 'pdac2020', 'risk', 'issue', 'associated', 'event']","['follow', 'offici', 'advic', 'stop', 'idiot', 'covid19', 'corona', 'panic', 'public', 'health', 'servic', 'ontario', 'respons', 'regard', 'pdac2020', 'risk', 'issu', 'associ', 'event']","['follow', 'official', 'advice', 'stop', 'idiotic', 'covid19', 'corona', 'panic', 'public', 'health', 'service', 'ontario', 'response', 'regarding', 'pdac2020', 'risk', 'issue', 'associated', 'event']",1,Slovakia
2021-03-12 14:52:04+00:00,1370387117650632708,Today 🇩🇰Govt responded with solidarity to #Slovakia's call through the 🇪🇺Civil Protection Mechanism by deploying a team of 3 doctors &amp; 5 nurses to 🇸🇰 in support of the fight against #COVID19 pandemic. Pressconf in Bratislava. #StrongerTogether https://t.co/Y7JHb06DNu,DKambVIENNA,"Vienna, Austria",42,2,8,1,"Ambassador of Denmark to Austria, Slovakia, Albania, Kosovo. Permanent Representative to the United Nations in Vienna and to the OSCE.",958,"['Slovakia', 'COVID19', 'StrongerTogether']",today govt responded with solidarity to slovakias call through the civil protection mechanism by deploying a team of 3 doctors amp 5 nurses to in support of the fight against covid19 pandemic pressconf in bratislava strongertogether,"['today', 'govt', 'responded', 'with', 'solidarity', 'to', 'slovakias', 'call', 'through', 'the', 'civil', 'protection', 'mechanism', 'by', 'deploying', 'a', 'team', 'of', '3', 'doctors', 'amp', '5', 'nurses', 'to', 'in', 'support', 'of', 'the', 'fight', 'against', 'covid19', 'pandemic', 'pressconf', 'in', 'bratislava', 'strongertogether']","['today', 'govt', 'responded', 'solidarity', 'slovakias', 'call', 'civil', 'protection', 'mechanism', 'deploying', 'team', '3', 'doctors', 'amp', '5', 'nurses', 'support', 'fight', 'covid19', 'pandemic', 'pressconf', 'bratislava', 'strongertogether']","['today', 'govt', 'respond', 'solidar', 'slovakia', 'call', 'civil', 'protect', 'mechan', 'deploy', 'team', '3', 'doctor', 'amp', '5', 'nurs', 'support', 'fight', 'covid19', 'pandem', 'pressconf', 'bratislava', 'strongertogeth']","['today', 'govt', 'responded', 'solidarity', 'slovakias', 'call', 'civil', 'protection', 'mechanism', 'deploying', 'team', '3', 'doctors', 'amp', '5', 'nurses', 'support', 'fight', 'covid19', 'pandemic', 'pressconf', 'bratislava', 'strongertogether']",5,Slovakia
2020-12-08 17:44:04+00:00,1336365945145659394,"🇪🇺 There is no more time to lose. Millions of Europeans entrepreneurs, workers and NGOs urgently need concrete support to be able to deal with the devastating consequences of COVID-19. https://t.co/Qrl6wWq12T",miroslavhajnos,Slovakia,4,0,1,0,"Unionist | Busy with EU stuff in @KOZSlovakRep 🇸🇰 | Active in @EU_EESC, & @eurofound 🇪🇺 and fallen in love with @etuc_ces & @ETUI_org 👥 |",20885,,there is no more time to lose millions of europeans entrepreneurs workers and ngos urgently need concrete support to be able to deal with the devastating consequences of covid19,"['there', 'is', 'no', 'more', 'time', 'to', 'lose', 'millions', 'of', 'europeans', 'entrepreneurs', 'workers', 'and', 'ngos', 'urgently', 'need', 'concrete', 'support', 'to', 'be', 'able', 'to', 'deal', 'with', 'the', 'devastating', 'consequences', 'of', 'covid19']","['time', 'lose', 'millions', 'europeans', 'entrepreneurs', 'workers', 'ngos', 'urgently', 'need', 'concrete', 'support', 'able', 'deal', 'devastating', 'consequences', 'covid19']","['time', 'lose', 'million', 'european', 'entrepreneur', 'worker', 'ngo', 'urgent', 'need', 'concret', 'support', 'abl', 'deal', 'devast', 'consequ', 'covid19']","['time', 'lose', 'millions', 'europeans', 'entrepreneurs', 'workers', 'ngos', 'urgently', 'need', 'concrete', 'support', 'able', 'deal', 'devastating', 'consequences', 'covid19']",1,Slovakia
2020-03-11 18:11:20+00:00,1237803307726503937,Follow official advice and stop this idiotic #COVID19 #Corona panic... Public health service in Ontario response regarding #PDAC2020 - **no risk or issue associated with the event **  https://t.co/8OshEtPjPS,SpotlightMining,"Vienna, Austria",1,0,0,0,"#Behingthescenes shots from Spotlight's team, on the ground at the world's most exciting junior mining projects.",3924,"['COVID19', 'Corona', 'PDAC2020']",follow official advice and stop this idiotic covid19 corona panic public health service in ontario response regarding pdac2020 no risk or issue associated with the event,"['follow', 'official', 'advice', 'and', 'stop', 'this', 'idiotic', 'covid19', 'corona', 'panic', 'public', 'health', 'service', 'in', 'ontario', 'response', 'regarding', 'pdac2020', 'no', 'risk', 'or', 'issue', 'associated', 'with', 'the', 'event']","['follow', 'official', 'advice', 'stop', 'idiotic', 'covid19', 'corona', 'panic', 'public', 'health', 'service', 'ontario', 'response', 'regarding', 'pdac2020', 'risk', 'issue', 'associated', 'event']","['follow', 'offici', 'advic', 'stop', 'idiot', 'covid19', 'corona', 'panic', 'public', 'health', 'servic', 'ontario', 'respons', 'regard', 'pdac2020', 'risk', 'issu', 'associ', 'event']","['follow', 'official', 'advice', 'stop', 'idiotic', 'covid19', 'corona', 'panic', 'public', 'health', 'service', 'ontario', 'response', 'regarding', 'pdac2020', 'risk', 'issue', 'associated', 'event']",1,Slovakia
2020-12-08 17:44:04+00:00,1336365945145659394,"🇪🇺 There is no more time to lose. Millions of Europeans entrepreneurs, workers and NGOs urgently need concrete support to be able to deal with the devastating consequences of COVID-19. https://t.co/Qrl6wWq12T",miroslavhajnos,Slovakia,4,0,1,0,"Unionist | Busy with EU stuff in @KOZSlovakRep 🇸🇰 | Active in @EU_EESC, & @eurofound 🇪🇺 and fallen in love with @etuc_ces & @ETUI_org 👥 |",20885,,there is no more time to lose millions of europeans entrepreneurs workers and ngos urgently need concrete support to be able to deal with the devastating consequences of covid19,"['there', 'is', 'no', 'more', 'time', 'to', 'lose', 'millions', 'of', 'europeans', 'entrepreneurs', 'workers', 'and', 'ngos', 'urgently', 'need', 'concrete', 'support', 'to', 'be', 'able', 'to', 'deal', 'with', 'the', 'devastating', 'consequences', 'of', 'covid19']","['time', 'lose', 'millions', 'europeans', 'entrepreneurs', 'workers', 'ngos', 'urgently', 'need', 'concrete', 'support', 'able', 'deal', 'devastating', 'consequences', 'covid19']","['time', 'lose', 'million', 'european', 'entrepreneur', 'worker', 'ngo', 'urgent', 'need', 'concret', 'support', 'abl', 'deal', 'devast', 'consequ', 'covid19']","['time', 'lose', 'millions', 'europeans', 'entrepreneurs', 'workers', 'ngos', 'urgently', 'need', 'concrete', 'support', 'able', 'deal', 'devastating', 'consequences', 'covid19']",1,Slovakia
2021-10-15 10:28:33+00:00,1448958970509549572,@HinnHeartsBeer I’m very supportive of voluntary euthanasia so I’d say that’s forward thinking. This is a failure of the government in educating their citizens about benefits of vaccines and is setting a dangerous precedent. One is giving people more rights and the other one taking them away.,MariaKj1991,Iceland,0,0,0,0,⚽️ Fulham 🇮🇸 From Iceland 🇸🇰 Medical student in Slovakia 🇵🇸 FreePalestine,1179,,im very supportive of voluntary euthanasia so id say thats forward thinking this is a failure of the government in educating their citizens about benefits of vaccines and is setting a dangerous precedent one is giving people more rights and the other one taking them away,"['im', 'very', 'supportive', 'of', 'voluntary', 'euthanasia', 'so', 'id', 'say', 'thats', 'forward', 'thinking', 'this', 'is', 'a', 'failure', 'of', 'the', 'government', 'in', 'educating', 'their', 'citizens', 'about', 'benefits', 'of', 'vaccines', 'and', 'is', 'setting', 'a', 'dangerous', 'precedent', 'one', 'is', 'giving', 'people', 'more', 'rights', 'and', 'the', 'other', 'one', 'taking', 'them', 'away']","['im', 'supportive', 'voluntary', 'euthanasia', 'id', 'say', 'thats', 'forward', 'thinking', 'failure', 'government', 'educating', 'citizens', 'benefits', 'vaccines', 'setting', 'dangerous', 'precedent', 'one', 'giving', 'people', 'rights', 'one', 'taking', 'away']","['im', 'support', 'voluntari', 'euthanasia', 'id', 'say', 'that', 'forward', 'think', 'failur', 'govern', 'educ', 'citizen', 'benefit', 'vaccin', 'set', 'danger', 'preced', 'one', 'give', 'peopl', 'right', 'one', 'take', 'away']","['im', 'supportive', 'voluntary', 'euthanasia', 'id', 'say', 'thats', 'forward', 'thinking', 'failure', 'government', 'educating', 'citizens', 'benefits', 'vaccines', 'setting', 'dangerous', 'precedent', 'one', 'giving', 'people', 'rights', 'one', 'taking', 'away']",1,Slovakia
2020-09-16 12:31:44+00:00,1306209151308173312,"Spoke w/ Svetlana Alexijevič - brave  woman, standing in defence of freedom &amp; democracy for people of #Belarus. I expressed solidarity &amp; support to all calling for free &amp; fair elections. My respect for peacefulness of protests &amp; genuine will to live life in freedom &amp; dignity. https://t.co/E5RSbMJOfv",ZuzanaCaputova,Slovenská republika,1386,27,174,28,Official Twitter account of the President of the Slovak Republic 🇸🇰 for international audience in English | Pre vyjadrenia v SK sledujte FB a IG.,176543,['Belarus'],spoke w svetlana alexijevi brave woman standing in defence of freedom amp democracy for people of belarus i expressed solidarity amp support to all calling for free amp fair elections my respect for peacefulness of protests amp genuine will to live life in freedom amp dignity,"['spoke', 'w', 'svetlana', 'alexijevi', 'brave', 'woman', 'standing', 'in', 'defence', 'of', 'freedom', 'amp', 'democracy', 'for', 'people', 'of', 'belarus', 'i', 'expressed', 'solidarity', 'amp', 'support', 'to', 'all', 'calling', 'for', 'free', 'amp', 'fair', 'elections', 'my', 'respect', 'for', 'peacefulness', 'of', 'protests', 'amp', 'genuine', 'will', 'to', 'live', 'life', 'in', 'freedom', 'amp', 'dignity']","['spoke', 'w', 'svetlana', 'alexijevi', 'brave', 'woman', 'standing', 'defence', 'freedom', 'amp', 'democracy', 'people', 'belarus', 'expressed', 'solidarity', 'amp', 'support', 'calling', 'free', 'amp', 'fair', 'elections', 'respect', 'peacefulness', 'protests', 'amp', 'genuine', 'live', 'life', 'freedom', 'amp', 'dignity']","['spoke', 'w', 'svetlana', 'alexijevi', 'brave', 'woman', 'stand', 'defenc', 'freedom', 'amp', 'democraci', 'peopl', 'belaru', 'express', 'solidar', 'amp', 'support', 'call', 'free', 'amp', 'fair', 'elect', 'respect', 'peac', 'protest', 'amp', 'genuin', 'live', 'life', 'freedom', 'amp', 'digniti']","['spoke', 'w', 'svetlana', 'alexijevi', 'brave', 'woman', 'standing', 'defence', 'freedom', 'amp', 'democracy', 'people', 'belarus', 'expressed', 'solidarity', 'amp', 'support', 'calling', 'free', 'amp', 'fair', 'elections', 'respect', 'peacefulness', 'protests', 'amp', 'genuine', 'live', 'life', 'freedom', 'amp', 'dignity']",5,Slovakia
2021-03-12 14:52:04+00:00,1370387117650632708,Today 🇩🇰Govt responded with solidarity to #Slovakia's call through the 🇪🇺Civil Protection Mechanism by deploying a team of 3 doctors &amp; 5 nurses to 🇸🇰 in support of the fight against #COVID19 pandemic. Pressconf in Bratislava. #StrongerTogether https://t.co/Y7JHb06DNu,DKambVIENNA,"Vienna, Austria",42,2,8,1,"Ambassador of Denmark to Austria, Slovakia, Albania, Kosovo. Permanent Representative to the United Nations in Vienna and to the OSCE.",965,"['Slovakia', 'COVID19', 'StrongerTogether']",today govt responded with solidarity to slovakias call through the civil protection mechanism by deploying a team of 3 doctors amp 5 nurses to in support of the fight against covid19 pandemic pressconf in bratislava strongertogether,"['today', 'govt', 'responded', 'with', 'solidarity', 'to', 'slovakias', 'call', 'through', 'the', 'civil', 'protection', 'mechanism', 'by', 'deploying', 'a', 'team', 'of', '3', 'doctors', 'amp', '5', 'nurses', 'to', 'in', 'support', 'of', 'the', 'fight', 'against', 'covid19', 'pandemic', 'pressconf', 'in', 'bratislava', 'strongertogether']","['today', 'govt', 'responded', 'solidarity', 'slovakias', 'call', 'civil', 'protection', 'mechanism', 'deploying', 'team', '3', 'doctors', 'amp', '5', 'nurses', 'support', 'fight', 'covid19', 'pandemic', 'pressconf', 'bratislava', 'strongertogether']","['today', 'govt', 'respond', 'solidar', 'slovakia', 'call', 'civil', 'protect', 'mechan', 'deploy', 'team', '3', 'doctor', 'amp', '5', 'nurs', 'support', 'fight', 'covid19', 'pandem', 'pressconf', 'bratislava', 'strongertogeth']","['today', 'govt', 'responded', 'solidarity', 'slovakias', 'call', 'civil', 'protection', 'mechanism', 'deploying', 'team', '3', 'doctors', 'amp', '5', 'nurses', 'support', 'fight', 'covid19', 'pandemic', 'pressconf', 'bratislava', 'strongertogether']",5,Slovakia
2020-01-17 09:22:58+00:00,1218101396677021698,"#Digitalisation, #health literacy, #access to health services and drop in #vaccination among key challenges for the #health care systems” said #EC representative at #State of Health seminar organised by @ZEKvSR w/@OECD and #SK Ministry of Health https://t.co/EaALQZ7qF0",VasakovaLivia,"Bratislava, Slovakia",5,0,5,0,"Director General, Recovery Plan Section, Office of the Government of the Slovak Republic",3801,"['Digitalisation', 'health', 'access', 'vaccination', 'health', 'EC', 'State', 'SK']",digitalisation health literacy access to health services and drop in vaccination among key challenges for the health care systems said ec representative at state of health seminar organised by w and sk ministry of health,"['digitalisation', 'health', 'literacy', 'access', 'to', 'health', 'services', 'and', 'drop', 'in', 'vaccination', 'among', 'key', 'challenges', 'for', 'the', 'health', 'care', 'systems', 'said', 'ec', 'representative', 'at', 'state', 'of', 'health', 'seminar', 'organised', 'by', 'w', 'and', 'sk', 'ministry', 'of', 'health']","['digitalisation', 'health', 'literacy', 'access', 'health', 'services', 'drop', 'vaccination', 'among', 'key', 'challenges', 'health', 'care', 'systems', 'said', 'ec', 'representative', 'state', 'health', 'seminar', 'organised', 'w', 'sk', 'ministry', 'health']","['digitalis', 'health', 'literaci', 'access', 'health', 'servic', 'drop', 'vaccin', 'among', 'key', 'challeng', 'health', 'care', 'system', 'said', 'ec', 'repres', 'state', 'health', 'seminar', 'organis', 'w', 'sk', 'ministri', 'health']","['digitalisation', 'health', 'literacy', 'access', 'health', 'services', 'drop', 'vaccination', 'among', 'key', 'challenges', 'health', 'care', 'systems', 'said', 'ec', 'representative', 'state', 'health', 'seminar', 'organised', 'w', 'sk', 'ministry', 'health']",3,Slovakia
