Date,Id,Tweet,Username,Location,likeCount,replyCount,retweetCount,quoteCount,userDescription,userFollowers,hashtags,Cleaned_Tweet,Tweet_tokenized,Tweet_removed_stop_word,Tweet_stemmed,Tweet_lemmatized,sentiment,Country
2022-06-22 10:36:42+00:00,1539557988876406784,"the_BHA: TW: sexual assault

Our sexual health services are often told that sexual health is not a 'priority' for refugees and people seeking asylum but the high rates of sexual trauma and barriers to healthcare prove otherwise.

@GMPaSH
#refugeeweek #se… https://t.co/YuLkH3QVaT",AydinDjemal,Manc,0,0,0,0,CEO at BHA For Equality,264,"['refugeeweek', 'se']",thebha tw sexual assault our sexual health services are often told that sexual health is not a priority for refugees and people seeking asylum but the high rates of sexual trauma and barriers to healthcare prove otherwise refugeeweek se,"['thebha', 'tw', 'sexual', 'assault', 'our', 'sexual', 'health', 'services', 'are', 'often', 'told', 'that', 'sexual', 'health', 'is', 'not', 'a', 'priority', 'for', 'refugees', 'and', 'people', 'seeking', 'asylum', 'but', 'the', 'high', 'rates', 'of', 'sexual', 'trauma', 'and', 'barriers', 'to', 'healthcare', 'prove', 'otherwise', 'refugeeweek', 'se']","['thebha', 'tw', 'sexual', 'assault', 'sexual', 'health', 'services', 'often', 'told', 'sexual', 'health', 'priority', 'refugees', 'people', 'seeking', 'asylum', 'high', 'rates', 'sexual', 'trauma', 'barriers', 'healthcare', 'prove', 'otherwise', 'refugeeweek', 'se']","['thebha', 'tw', 'sexual', 'assault', 'sexual', 'health', 'servic', 'often', 'told', 'sexual', 'health', 'prioriti', 'refuge', 'peopl', 'seek', 'asylum', 'high', 'rate', 'sexual', 'trauma', 'barrier', 'healthcar', 'prove', 'otherwis', 'refugeeweek', 'se']","['thebha', 'tw', 'sexual', 'assault', 'sexual', 'health', 'services', 'often', 'told', 'sexual', 'health', 'priority', 'refugees', 'people', 'seeking', 'asylum', 'high', 'rates', 'sexual', 'trauma', 'barriers', 'healthcare', 'prove', 'otherwise', 'refugeeweek', 'se']",1,Slovenia
2022-05-31 02:47:26+00:00,1531467361454370816,"Thank you to you @everyone that hoped in the stream today, I really appreciate it, and a big shout out to these amazing people that show so much love and support @Dxrk_Goddess , @KHOLZIN , @ohjah and @2_tymer  one love to @KHOLZIN for the raid G. you are a legend my G",crazie_robz,Gaming,0,0,0,0,"Hi!! My name is Robin but my friends call me Robz, I'm a Chef that enjoys life and what it has to offer. on my free time I do enjoy gaming with friends",50,,thank you to you that hoped in the stream today i really appreciate it and a big shout out to these amazing people that show so much love and support and one love to for the raid g you are a legend my g,"['thank', 'you', 'to', 'you', 'that', 'hoped', 'in', 'the', 'stream', 'today', 'i', 'really', 'appreciate', 'it', 'and', 'a', 'big', 'shout', 'out', 'to', 'these', 'amazing', 'people', 'that', 'show', 'so', 'much', 'love', 'and', 'support', 'and', 'one', 'love', 'to', 'for', 'the', 'raid', 'g', 'you', 'are', 'a', 'legend', 'my', 'g']","['thank', 'hoped', 'stream', 'today', 'really', 'appreciate', 'big', 'shout', 'amazing', 'people', 'show', 'much', 'love', 'support', 'one', 'love', 'raid', 'g', 'legend', 'g']","['thank', 'hope', 'stream', 'today', 'realli', 'appreci', 'big', 'shout', 'amaz', 'peopl', 'show', 'much', 'love', 'support', 'one', 'love', 'raid', 'g', 'legend', 'g']","['thank', 'hoped', 'stream', 'today', 'really', 'appreciate', 'big', 'shout', 'amazing', 'people', 'show', 'much', 'love', 'support', 'one', 'love', 'raid', 'g', 'legend', 'g']",5,Slovenia
2021-08-10 06:02:27+00:00,1424974403926888449,"@BTS_twt_JIMlNIE I love you soo much Jimin 💜 thank U for  V live.We appreciate it.I maybe couldn't watch it bc it ended where i have come, but anyway just wanna to remind you that i'm sending you soo much love andsupport from Slovenia 🇸🇮,i wish you will see this message.Take care of yourself 💜",ErminaJasar,Republic of Slovenia,1,0,0,0,ᴸⁱᵛᵉ ʸᵒᵘʳ ˡⁱᶠᵉ.ᴸⁱᶠᵉ ᵍᵒᵉˢ ᵒⁿ.ˢᵒ ᵁ ˢʰᵒᵘˡᵈ ᵗᵒᵒ.ᴶᵘˢᵗ ⁿᵉᵛᵉʳ ᵍⁱᵛᵉ ᵘᵖ ᵒⁿ ʸᵒᵘʳ ᵈʳᵉᵃᵐˢ ᵉᵛᵉⁿ ʷʰᵉⁿ ⁱᵗ ˢᵉᵉᵐˢ ˡⁱᵏᵉ ᵁ ᶜᵃⁿ'ᵗ. ᵁ ᶜᵃⁿ ᵈᵒ ⁱᵗ. ᴶᵘˢᵗ ᵇᵉˡⁱᵛᵉ ⁱⁿ ʸᵒᵘʳˢᵉˡᶠ. ᴀʀᴍʏ 💜ʙᴛꜱ,35,,i love you soo much jimin thank u for v livewe appreciate iti maybe couldnt watch it bc it ended where i have come but anyway just wanna to remind you that im sending you soo much love andsupport from slovenia i wish you will see this messagetake care of yourself,"['i', 'love', 'you', 'soo', 'much', 'jimin', 'thank', 'u', 'for', 'v', 'livewe', 'appreciate', 'iti', 'maybe', 'couldnt', 'watch', 'it', 'bc', 'it', 'ended', 'where', 'i', 'have', 'come', 'but', 'anyway', 'just', 'wanna', 'to', 'remind', 'you', 'that', 'im', 'sending', 'you', 'soo', 'much', 'love', 'andsupport', 'from', 'slovenia', 'i', 'wish', 'you', 'will', 'see', 'this', 'messagetake', 'care', 'of', 'yourself']","['love', 'soo', 'much', 'jimin', 'thank', 'u', 'v', 'livewe', 'appreciate', 'iti', 'maybe', 'couldnt', 'watch', 'bc', 'ended', 'come', 'anyway', 'wanna', 'remind', 'im', 'sending', 'soo', 'much', 'love', 'andsupport', 'slovenia', 'wish', 'see', 'messagetake', 'care']","['love', 'soo', 'much', 'jimin', 'thank', 'u', 'v', 'livew', 'appreci', 'iti', 'mayb', 'couldnt', 'watch', 'bc', 'end', 'come', 'anyway', 'wanna', 'remind', 'im', 'send', 'soo', 'much', 'love', 'andsupport', 'slovenia', 'wish', 'see', 'messagetak', 'care']","['love', 'soo', 'much', 'jimin', 'thank', 'u', 'v', 'livewe', 'appreciate', 'iti', 'maybe', 'couldnt', 'watch', 'bc', 'ended', 'come', 'anyway', 'wanna', 'remind', 'im', 'sending', 'soo', 'much', 'love', 'andsupport', 'slovenia', 'wish', 'see', 'messagetake', 'care']",5,Slovenia
2020-04-16 13:43:59+00:00,1250781989021585408,Just spoke with #Kosovë Minister of Health Arben Vitia. I fully support his efforts in fight against the #COVID19 pandemic. In order to contain the disease people need to #StayAtHome. We agreed that all measures must be limited in time and in line with fundamental rights.,tfajon,Ljubljana,110,7,23,5,"Ministrica za zunanje zadeve, podpredsednica vlade RS 🇸🇮PR SD / Minister of Foreign Affairs, gov vice-president, president of SD. Tvitam skupaj z ekipo.",40717,"['Kosovë', 'COVID19', 'StayAtHome']",just spoke with kosov minister of health arben vitia i fully support his efforts in fight against the covid19 pandemic in order to contain the disease people need to stayathome we agreed that all measures must be limited in time and in line with fundamental rights,"['just', 'spoke', 'with', 'kosov', 'minister', 'of', 'health', 'arben', 'vitia', 'i', 'fully', 'support', 'his', 'efforts', 'in', 'fight', 'against', 'the', 'covid19', 'pandemic', 'in', 'order', 'to', 'contain', 'the', 'disease', 'people', 'need', 'to', 'stayathome', 'we', 'agreed', 'that', 'all', 'measures', 'must', 'be', 'limited', 'in', 'time', 'and', 'in', 'line', 'with', 'fundamental', 'rights']","['spoke', 'kosov', 'minister', 'health', 'arben', 'vitia', 'fully', 'support', 'efforts', 'fight', 'covid19', 'pandemic', 'order', 'contain', 'disease', 'people', 'need', 'stayathome', 'agreed', 'measures', 'must', 'limited', 'time', 'line', 'fundamental', 'rights']","['spoke', 'kosov', 'minist', 'health', 'arben', 'vitia', 'fulli', 'support', 'effort', 'fight', 'covid19', 'pandem', 'order', 'contain', 'diseas', 'peopl', 'need', 'stayathom', 'agre', 'measur', 'must', 'limit', 'time', 'line', 'fundament', 'right']","['spoke', 'kosov', 'minister', 'health', 'arben', 'vitia', 'fully', 'support', 'efforts', 'fight', 'covid19', 'pandemic', 'order', 'contain', 'disease', 'people', 'need', 'stayathome', 'agreed', 'measures', 'must', 'limited', 'time', 'line', 'fundamental', 'rights']",5,Slovenia
2020-04-16 13:43:59+00:00,1250781989021585408,Just spoke with #Kosovë Minister of Health Arben Vitia. I fully support his efforts in fight against the #COVID19 pandemic. In order to contain the disease people need to #StayAtHome. We agreed that all measures must be limited in time and in line with fundamental rights.,tfajon,Ljubljana,110,7,23,5,"Ministrica za zunanje zadeve, podpredsednica vlade RS 🇸🇮PR SD / Minister of Foreign Affairs, gov vice-president, president of SD. Tvitam skupaj z ekipo.",40717,"['Kosovë', 'COVID19', 'StayAtHome']",just spoke with kosov minister of health arben vitia i fully support his efforts in fight against the covid19 pandemic in order to contain the disease people need to stayathome we agreed that all measures must be limited in time and in line with fundamental rights,"['just', 'spoke', 'with', 'kosov', 'minister', 'of', 'health', 'arben', 'vitia', 'i', 'fully', 'support', 'his', 'efforts', 'in', 'fight', 'against', 'the', 'covid19', 'pandemic', 'in', 'order', 'to', 'contain', 'the', 'disease', 'people', 'need', 'to', 'stayathome', 'we', 'agreed', 'that', 'all', 'measures', 'must', 'be', 'limited', 'in', 'time', 'and', 'in', 'line', 'with', 'fundamental', 'rights']","['spoke', 'kosov', 'minister', 'health', 'arben', 'vitia', 'fully', 'support', 'efforts', 'fight', 'covid19', 'pandemic', 'order', 'contain', 'disease', 'people', 'need', 'stayathome', 'agreed', 'measures', 'must', 'limited', 'time', 'line', 'fundamental', 'rights']","['spoke', 'kosov', 'minist', 'health', 'arben', 'vitia', 'fulli', 'support', 'effort', 'fight', 'covid19', 'pandem', 'order', 'contain', 'diseas', 'peopl', 'need', 'stayathom', 'agre', 'measur', 'must', 'limit', 'time', 'line', 'fundament', 'right']","['spoke', 'kosov', 'minister', 'health', 'arben', 'vitia', 'fully', 'support', 'efforts', 'fight', 'covid19', 'pandemic', 'order', 'contain', 'disease', 'people', 'need', 'stayathome', 'agreed', 'measures', 'must', 'limited', 'time', 'line', 'fundamental', 'rights']",5,Slovenia
2022-05-30 14:02:18+00:00,1531274807676895235,"Managing Employee Mental Health enables employees to maintain balance with work-life stressors and enhance employee engagement. Moreover, it promotes a safe and friendly job environment. Also, it discourages the stigma related with mental health issues of employees https://t.co/9IE6wbgdtq",ForSlovenia,"Maribor, Slovenia",0,0,0,0,,1,,managing employee mental health enables employees to maintain balance with worklife stressors and enhance employee engagement moreover it promotes a safe and friendly job environment also it discourages the stigma related with mental health issues of employees,"['managing', 'employee', 'mental', 'health', 'enables', 'employees', 'to', 'maintain', 'balance', 'with', 'worklife', 'stressors', 'and', 'enhance', 'employee', 'engagement', 'moreover', 'it', 'promotes', 'a', 'safe', 'and', 'friendly', 'job', 'environment', 'also', 'it', 'discourages', 'the', 'stigma', 'related', 'with', 'mental', 'health', 'issues', 'of', 'employees']","['managing', 'employee', 'mental', 'health', 'enables', 'employees', 'maintain', 'balance', 'worklife', 'stressors', 'enhance', 'employee', 'engagement', 'moreover', 'promotes', 'safe', 'friendly', 'job', 'environment', 'also', 'discourages', 'stigma', 'related', 'mental', 'health', 'issues', 'employees']","['manag', 'employe', 'mental', 'health', 'enabl', 'employe', 'maintain', 'balanc', 'worklif', 'stressor', 'enhanc', 'employe', 'engag', 'moreov', 'promot', 'safe', 'friendli', 'job', 'environ', 'also', 'discourag', 'stigma', 'relat', 'mental', 'health', 'issu', 'employe']","['managing', 'employee', 'mental', 'health', 'enables', 'employees', 'maintain', 'balance', 'worklife', 'stressors', 'enhance', 'employee', 'engagement', 'moreover', 'promotes', 'safe', 'friendly', 'job', 'environment', 'also', 'discourages', 'stigma', 'related', 'mental', 'health', 'issues', 'employees']",4,Slovenia
2021-06-02 05:44:39+00:00,1399965163164426243,The readiness of public health service is the most important item !!!! https://t.co/o4kwRVw7dY,IvanLeban,"Ljubljana, Slovenia",0,0,0,0,"chemist and crystallographer retired at Uni Ljubljana, reactivated at SQAA, retired again, fell walker and tennis player (no backhand).",535,,the readiness of public health service is the most important item,"['the', 'readiness', 'of', 'public', 'health', 'service', 'is', 'the', 'most', 'important', 'item']","['readiness', 'public', 'health', 'service', 'important', 'item']","['readi', 'public', 'health', 'servic', 'import', 'item']","['readiness', 'public', 'health', 'service', 'important', 'item']",5,Slovenia
2021-05-22 04:21:51+00:00,1395958059856547842,I'm riding in The Distinguished Gentleman's Ride on Sunday the 23rd May 2021. Support me and my motorcycle in raising funds and awareness for prostate cancer and men's mental health. https://t.co/ihPgGrTNrP,stefan_pratter,,0,0,0,0,,19,,im riding in the distinguished gentlemans ride on sunday the 23rd may 2021 support me and my motorcycle in raising funds and awareness for prostate cancer and mens mental health,"['im', 'riding', 'in', 'the', 'distinguished', 'gentlemans', 'ride', 'on', 'sunday', 'the', '23rd', 'may', '2021', 'support', 'me', 'and', 'my', 'motorcycle', 'in', 'raising', 'funds', 'and', 'awareness', 'for', 'prostate', 'cancer', 'and', 'mens', 'mental', 'health']","['im', 'riding', 'distinguished', 'gentlemans', 'ride', 'sunday', '23rd', 'may', '2021', 'support', 'motorcycle', 'raising', 'funds', 'awareness', 'prostate', 'cancer', 'mens', 'mental', 'health']","['im', 'ride', 'distinguish', 'gentleman', 'ride', 'sunday', '23rd', 'may', '2021', 'support', 'motorcycl', 'rais', 'fund', 'awar', 'prostat', 'cancer', 'men', 'mental', 'health']","['im', 'riding', 'distinguished', 'gentlemans', 'ride', 'sunday', '23rd', 'may', '2021', 'support', 'motorcycle', 'raising', 'funds', 'awareness', 'prostate', 'cancer', 'mens', 'mental', 'health']",5,Slovenia
2020-12-25 06:32:01+00:00,1342357414146879489,"How very true, not only in USA. Dr.Seheult once said - you should invest in health service expotentially in the time of pandemic. In Slovenia we have the largest number of death per million globally in the second wave. No right decisions between 1st and 2nd wave!! Very sad. https://t.co/KZcvw4Jzcg",IvanLeban,"Ljubljana, Slovenia",1,0,0,0,"chemist and crystallographer retired at Uni Ljubljana, reactivated at SQAA, retired again, fell walker and tennis player (no backhand).",535,,how very true not only in usa drseheult once said you should invest in health service expotentially in the time of pandemic in slovenia we have the largest number of death per million globally in the second wave no right decisions between 1st and 2nd wave very sad,"['how', 'very', 'true', 'not', 'only', 'in', 'usa', 'drseheult', 'once', 'said', 'you', 'should', 'invest', 'in', 'health', 'service', 'expotentially', 'in', 'the', 'time', 'of', 'pandemic', 'in', 'slovenia', 'we', 'have', 'the', 'largest', 'number', 'of', 'death', 'per', 'million', 'globally', 'in', 'the', 'second', 'wave', 'no', 'right', 'decisions', 'between', '1st', 'and', '2nd', 'wave', 'very', 'sad']","['true', 'usa', 'drseheult', 'said', 'invest', 'health', 'service', 'expotentially', 'time', 'pandemic', 'slovenia', 'largest', 'number', 'death', 'per', 'million', 'globally', 'second', 'wave', 'right', 'decisions', '1st', '2nd', 'wave', 'sad']","['true', 'usa', 'drseheult', 'said', 'invest', 'health', 'servic', 'expotenti', 'time', 'pandem', 'slovenia', 'largest', 'number', 'death', 'per', 'million', 'global', 'second', 'wave', 'right', 'decis', '1st', '2nd', 'wave', 'sad']","['true', 'usa', 'drseheult', 'said', 'invest', 'health', 'service', 'expotentially', 'time', 'pandemic', 'slovenia', 'largest', 'number', 'death', 'per', 'million', 'globally', 'second', 'wave', 'right', 'decisions', '1st', '2nd', 'wave', 'sad']",1,Slovenia
2020-11-10 16:24:19+00:00,1326199013490745346,"@DigiEduHack Düsseldorf will help to break taboos about mental health and help in developing ideas to support the mental health of students with digital tools. 💥
@studoapp has invited me to be part of the Jury Team of this hackaton. I feel honored and proud! ❤️ https://t.co/JqPBdeBwra",NomiHrast,"Maribor, Slovenia",4,1,0,1,Nominator. Founder @IDISinstitut | Co-Founder @irdoinstitute | Vice-Dean for Student Affairs @EPFMB | There is power in kindness | rt≠endrsmt,355,,dsseldorf will help to break taboos about mental health and help in developing ideas to support the mental health of students with digital tools has invited me to be part of the jury team of this hackaton i feel honored and proud,"['dsseldorf', 'will', 'help', 'to', 'break', 'taboos', 'about', 'mental', 'health', 'and', 'help', 'in', 'developing', 'ideas', 'to', 'support', 'the', 'mental', 'health', 'of', 'students', 'with', 'digital', 'tools', 'has', 'invited', 'me', 'to', 'be', 'part', 'of', 'the', 'jury', 'team', 'of', 'this', 'hackaton', 'i', 'feel', 'honored', 'and', 'proud']","['dsseldorf', 'help', 'break', 'taboos', 'mental', 'health', 'help', 'developing', 'ideas', 'support', 'mental', 'health', 'students', 'digital', 'tools', 'invited', 'part', 'jury', 'team', 'hackaton', 'feel', 'honored', 'proud']","['dsseldorf', 'help', 'break', 'taboo', 'mental', 'health', 'help', 'develop', 'idea', 'support', 'mental', 'health', 'student', 'digit', 'tool', 'invit', 'part', 'juri', 'team', 'hackaton', 'feel', 'honor', 'proud']","['dsseldorf', 'help', 'break', 'taboos', 'mental', 'health', 'help', 'developing', 'ideas', 'support', 'mental', 'health', 'students', 'digital', 'tools', 'invited', 'part', 'jury', 'team', 'hackaton', 'feel', 'honored', 'proud']",5,Slovenia
