Date,Id,Tweet,Username,Location,likeCount,replyCount,retweetCount,quoteCount,userDescription,userFollowers,hashtags,Cleaned_Tweet,Tweet_tokenized,Tweet_removed_stop_word,Tweet_stemmed,Tweet_lemmatized,sentiment,Country
2022-06-04 11:31:42+00:00,1533048846586109952,"If you are enjoying my content, consider supporting me on Ko-fi. I appreciate each coffee from you!☕️

https://t.co/T0TLZv3Gpl",DavidCRicardo,Portugal,3,0,1,0,"Indie #GameDev on Free Times with @UnrealEngine 🎮
Ko-fi: ko-fi.com/davidcricardo",520,,if you are enjoying my content consider supporting me on kofi i appreciate each coffee from you,"['if', 'you', 'are', 'enjoying', 'my', 'content', 'consider', 'supporting', 'me', 'on', 'kofi', 'i', 'appreciate', 'each', 'coffee', 'from', 'you']","['enjoying', 'content', 'consider', 'supporting', 'kofi', 'appreciate', 'coffee']","['enjoy', 'content', 'consid', 'support', 'kofi', 'appreci', 'coffe']","['enjoying', 'content', 'consider', 'supporting', 'kofi', 'appreciate', 'coffee']",4,Venezuela
2021-11-22 05:45:32+00:00,1462658485389336578,"Thank you so much @vnus_vnus for collecting an edition of 'Madeline'.
Appreciate the support pal!
🙏🔥🚀 https://t.co/8drkgPThlo",tots_tate,,10,0,0,0,"No Funny Stuff corp.
Artist
tatertots.tez",1027,,thank you so much for collecting an edition of madeline appreciate the support pal,"['thank', 'you', 'so', 'much', 'for', 'collecting', 'an', 'edition', 'of', 'madeline', 'appreciate', 'the', 'support', 'pal']","['thank', 'much', 'collecting', 'edition', 'madeline', 'appreciate', 'support', 'pal']","['thank', 'much', 'collect', 'edit', 'madelin', 'appreci', 'support', 'pal']","['thank', 'much', 'collecting', 'edition', 'madeline', 'appreciate', 'support', 'pal']",5,Venezuela
2022-06-07 12:01:18+00:00,1534143461552705537,"Be your child’s shoulder to lean on as they navigate through tough situations.

Check out our expert advice on supporting your child's #mentalhealth during and beyond #COVID19🔗 https://t.co/E2vWbNvSrE 

#ParentingMonth
 #OnMyMind https://t.co/3vWoOzO5tM",unicefarmenia,Armenia,2,0,2,0,"Stories about children, their families and the people we work with from all the regions of Armenia.",15436,"['mentalhealth', 'COVID19', 'ParentingMonth', 'OnMyMind']",be your childs shoulder to lean on as they navigate through tough situations check out our expert advice on supporting your childs mentalhealth during and beyond covid19 parentingmonth onmymind,"['be', 'your', 'childs', 'shoulder', 'to', 'lean', 'on', 'as', 'they', 'navigate', 'through', 'tough', 'situations', 'check', 'out', 'our', 'expert', 'advice', 'on', 'supporting', 'your', 'childs', 'mentalhealth', 'during', 'and', 'beyond', 'covid19', 'parentingmonth', 'onmymind']","['childs', 'shoulder', 'lean', 'navigate', 'tough', 'situations', 'check', 'expert', 'advice', 'supporting', 'childs', 'mentalhealth', 'beyond', 'covid19', 'parentingmonth', 'onmymind']","['child', 'shoulder', 'lean', 'navig', 'tough', 'situat', 'check', 'expert', 'advic', 'support', 'child', 'mentalhealth', 'beyond', 'covid19', 'parentingmonth', 'onmymind']","['childs', 'shoulder', 'lean', 'navigate', 'tough', 'situations', 'check', 'expert', 'advice', 'supporting', 'childs', 'mentalhealth', 'beyond', 'covid19', 'parentingmonth', 'onmymind']",5,Venezuela
2022-06-06 07:42:28+00:00,1533715936087261184,"Sad.
Angry.
Anxious. 
Two years of uncertainty and fear have robbed many #children of what they need to learn and grow. 

Here’s how you can support your child’s #mentalhealth during and beyond the #COVID19 pandemic. 

https://t.co/JccIJwu2rB 
#OnMyMind https://t.co/0rKfxlXxuX",unicefarmenia,Armenia,12,0,3,0,"Stories about children, their families and the people we work with from all the regions of Armenia.",15436,"['children', 'mentalhealth', 'COVID19', 'OnMyMind']",sad angry anxious two years of uncertainty and fear have robbed many children of what they need to learn and grow heres how you can support your childs mentalhealth during and beyond the covid19 pandemic onmymind,"['sad', 'angry', 'anxious', 'two', 'years', 'of', 'uncertainty', 'and', 'fear', 'have', 'robbed', 'many', 'children', 'of', 'what', 'they', 'need', 'to', 'learn', 'and', 'grow', 'heres', 'how', 'you', 'can', 'support', 'your', 'childs', 'mentalhealth', 'during', 'and', 'beyond', 'the', 'covid19', 'pandemic', 'onmymind']","['sad', 'angry', 'anxious', 'two', 'years', 'uncertainty', 'fear', 'robbed', 'many', 'children', 'need', 'learn', 'grow', 'heres', 'support', 'childs', 'mentalhealth', 'beyond', 'covid19', 'pandemic', 'onmymind']","['sad', 'angri', 'anxiou', 'two', 'year', 'uncertainti', 'fear', 'rob', 'mani', 'children', 'need', 'learn', 'grow', 'here', 'support', 'child', 'mentalhealth', 'beyond', 'covid19', 'pandem', 'onmymind']","['sad', 'angry', 'anxious', 'two', 'years', 'uncertainty', 'fear', 'robbed', 'many', 'children', 'need', 'learn', 'grow', 'heres', 'support', 'childs', 'mentalhealth', 'beyond', 'covid19', 'pandemic', 'onmymind']",1,Venezuela
2022-06-01 06:27:52+00:00,1531885223054651392,"Remember kids, when a corporation uses an LGBT version of their logo in social media or launches a support campaign for pride month, that doesn't mean they care about you, most of the time is the contrary. https://t.co/Iu4mo9wj2R",CoffeeMapachi,"Medellín, Colombia",2,0,0,0,"🇻🇪 (Eng/Spa) Draws and makes 3D stuff sometimes, ☕ addict and meme stealer. Definitely a furry.",36,,remember kids when a corporation uses an lgbt version of their logo in social media or launches a support campaign for pride month that doesnt mean they care about you most of the time is the contrary,"['remember', 'kids', 'when', 'a', 'corporation', 'uses', 'an', 'lgbt', 'version', 'of', 'their', 'logo', 'in', 'social', 'media', 'or', 'launches', 'a', 'support', 'campaign', 'for', 'pride', 'month', 'that', 'doesnt', 'mean', 'they', 'care', 'about', 'you', 'most', 'of', 'the', 'time', 'is', 'the', 'contrary']","['remember', 'kids', 'corporation', 'uses', 'lgbt', 'version', 'logo', 'social', 'media', 'launches', 'support', 'campaign', 'pride', 'month', 'doesnt', 'mean', 'care', 'time', 'contrary']","['rememb', 'kid', 'corpor', 'use', 'lgbt', 'version', 'logo', 'social', 'media', 'launch', 'support', 'campaign', 'pride', 'month', 'doesnt', 'mean', 'care', 'time', 'contrari']","['remember', 'kids', 'corporation', 'uses', 'lgbt', 'version', 'logo', 'social', 'media', 'launches', 'support', 'campaign', 'pride', 'month', 'doesnt', 'mean', 'care', 'time', 'contrary']",1,Venezuela
2020-06-29 14:12:59+00:00,1277605991316623360,@POTUS @realDonaldTrump Please stop random tweeting.  It’s time to get disciplined &amp; in campaign mode. Every Tweet/Retweet should be carefully thought out to communicte a message to the American people &amp; support re-election. @GOP @PressSec @senatemajldr @GOPLeader @GOPChairwoman https://t.co/T6QOyz4eCB,valwayne,"Denver, CO",0,0,0,0,,3047,,please stop random tweeting its time to get disciplined amp in campaign mode every tweetretweet should be carefully thought out to communicte a message to the american people amp support reelection,"['please', 'stop', 'random', 'tweeting', 'its', 'time', 'to', 'get', 'disciplined', 'amp', 'in', 'campaign', 'mode', 'every', 'tweetretweet', 'should', 'be', 'carefully', 'thought', 'out', 'to', 'communicte', 'a', 'message', 'to', 'the', 'american', 'people', 'amp', 'support', 'reelection']","['please', 'stop', 'random', 'tweeting', 'time', 'get', 'disciplined', 'amp', 'campaign', 'mode', 'every', 'tweetretweet', 'carefully', 'thought', 'communicte', 'message', 'american', 'people', 'amp', 'support', 'reelection']","['pleas', 'stop', 'random', 'tweet', 'time', 'get', 'disciplin', 'amp', 'campaign', 'mode', 'everi', 'tweetretweet', 'care', 'thought', 'communict', 'messag', 'american', 'peopl', 'amp', 'support', 'reelect']","['please', 'stop', 'random', 'tweeting', 'time', 'get', 'disciplined', 'amp', 'campaign', 'mode', 'every', 'tweetretweet', 'carefully', 'thought', 'communicte', 'message', 'american', 'people', 'amp', 'support', 'reelection']",1,Venezuela
2022-06-07 12:01:18+00:00,1534143461552705537,"Be your child’s shoulder to lean on as they navigate through tough situations.

Check out our expert advice on supporting your child's #mentalhealth during and beyond #COVID19🔗 https://t.co/E2vWbNvSrE 

#ParentingMonth
 #OnMyMind https://t.co/3vWoOzO5tM",unicefarmenia,Armenia,2,0,2,0,"Stories about children, their families and the people we work with from all the regions of Armenia.",15436,"['mentalhealth', 'COVID19', 'ParentingMonth', 'OnMyMind']",be your childs shoulder to lean on as they navigate through tough situations check out our expert advice on supporting your childs mentalhealth during and beyond covid19 parentingmonth onmymind,"['be', 'your', 'childs', 'shoulder', 'to', 'lean', 'on', 'as', 'they', 'navigate', 'through', 'tough', 'situations', 'check', 'out', 'our', 'expert', 'advice', 'on', 'supporting', 'your', 'childs', 'mentalhealth', 'during', 'and', 'beyond', 'covid19', 'parentingmonth', 'onmymind']","['childs', 'shoulder', 'lean', 'navigate', 'tough', 'situations', 'check', 'expert', 'advice', 'supporting', 'childs', 'mentalhealth', 'beyond', 'covid19', 'parentingmonth', 'onmymind']","['child', 'shoulder', 'lean', 'navig', 'tough', 'situat', 'check', 'expert', 'advic', 'support', 'child', 'mentalhealth', 'beyond', 'covid19', 'parentingmonth', 'onmymind']","['childs', 'shoulder', 'lean', 'navigate', 'tough', 'situations', 'check', 'expert', 'advice', 'supporting', 'childs', 'mentalhealth', 'beyond', 'covid19', 'parentingmonth', 'onmymind']",5,Venezuela
2022-06-06 07:42:28+00:00,1533715936087261184,"Sad.
Angry.
Anxious. 
Two years of uncertainty and fear have robbed many #children of what they need to learn and grow. 

Here’s how you can support your child’s #mentalhealth during and beyond the #COVID19 pandemic. 

https://t.co/JccIJwu2rB 
#OnMyMind https://t.co/0rKfxlXxuX",unicefarmenia,Armenia,12,0,3,0,"Stories about children, their families and the people we work with from all the regions of Armenia.",15436,"['children', 'mentalhealth', 'COVID19', 'OnMyMind']",sad angry anxious two years of uncertainty and fear have robbed many children of what they need to learn and grow heres how you can support your childs mentalhealth during and beyond the covid19 pandemic onmymind,"['sad', 'angry', 'anxious', 'two', 'years', 'of', 'uncertainty', 'and', 'fear', 'have', 'robbed', 'many', 'children', 'of', 'what', 'they', 'need', 'to', 'learn', 'and', 'grow', 'heres', 'how', 'you', 'can', 'support', 'your', 'childs', 'mentalhealth', 'during', 'and', 'beyond', 'the', 'covid19', 'pandemic', 'onmymind']","['sad', 'angry', 'anxious', 'two', 'years', 'uncertainty', 'fear', 'robbed', 'many', 'children', 'need', 'learn', 'grow', 'heres', 'support', 'childs', 'mentalhealth', 'beyond', 'covid19', 'pandemic', 'onmymind']","['sad', 'angri', 'anxiou', 'two', 'year', 'uncertainti', 'fear', 'rob', 'mani', 'children', 'need', 'learn', 'grow', 'here', 'support', 'child', 'mentalhealth', 'beyond', 'covid19', 'pandem', 'onmymind']","['sad', 'angry', 'anxious', 'two', 'years', 'uncertainty', 'fear', 'robbed', 'many', 'children', 'need', 'learn', 'grow', 'heres', 'support', 'childs', 'mentalhealth', 'beyond', 'covid19', 'pandemic', 'onmymind']",1,Venezuela
2022-04-20 22:03:26+00:00,1516900375932149760,"187 pieces of medical equipment such as infusion pumps, monitors, defibrillators and ECG recorders arrived at #Suriname 🇸🇷 to enhance the response of their healthcare system 🚑 to the #COVID19 pandemic. The supplies will benefit 17.040 people in 9 hospitals around the country 🏥 https://t.co/O2gzr02Je2",Alevallsrossi,"San José, Costa Rica",3,1,0,0,"Cuenta personal. Director UNOPS, Oficina Multi-país Caribe, Costa Rica y Panamá - Multi-country Director for the Caribbean, Costa Rica and Panama",873,"['Suriname', 'COVID19']",187 pieces of medical equipment such as infusion pumps monitors defibrillators and ecg recorders arrived at suriname to enhance the response of their healthcare system to the covid19 pandemic the supplies will benefit 17040 people in 9 hospitals around the country,"['187', 'pieces', 'of', 'medical', 'equipment', 'such', 'as', 'infusion', 'pumps', 'monitors', 'defibrillators', 'and', 'ecg', 'recorders', 'arrived', 'at', 'suriname', 'to', 'enhance', 'the', 'response', 'of', 'their', 'healthcare', 'system', 'to', 'the', 'covid19', 'pandemic', 'the', 'supplies', 'will', 'benefit', '17040', 'people', 'in', '9', 'hospitals', 'around', 'the', 'country']","['187', 'pieces', 'medical', 'equipment', 'infusion', 'pumps', 'monitors', 'defibrillators', 'ecg', 'recorders', 'arrived', 'suriname', 'enhance', 'response', 'healthcare', 'system', 'covid19', 'pandemic', 'supplies', 'benefit', '17040', 'people', '9', 'hospitals', 'around', 'country']","['187', 'piec', 'medic', 'equip', 'infus', 'pump', 'monitor', 'defibril', 'ecg', 'record', 'arriv', 'surinam', 'enhanc', 'respons', 'healthcar', 'system', 'covid19', 'pandem', 'suppli', 'benefit', '17040', 'peopl', '9', 'hospit', 'around', 'countri']","['187', 'pieces', 'medical', 'equipment', 'infusion', 'pumps', 'monitors', 'defibrillators', 'ecg', 'recorders', 'arrived', 'suriname', 'enhance', 'response', 'healthcare', 'system', 'covid19', 'pandemic', 'supplies', 'benefit', '17040', 'people', '9', 'hospitals', 'around', 'country']",5,Venezuela
2022-06-01 12:43:38+00:00,1531979784535912450,"@kevin_K_Daddy 1. No border laws being ignored
2. Biden has never supported defunding the police
3. Trump pardoned many convicted felons. More than any previous president.
4. Don't know where you got your data about COVID spending. A Martian?
5. The NRA owns the GOP. And that is killing kids.",CitrusGator01,Nature Coast of Florida,0,0,0,0,Enjoying the life of the nature coast of Florida.,37,,1 no border laws being ignored 2 biden has never supported defunding the police 3 trump pardoned many convicted felons more than any previous president 4 dont know where you got your data about covid spending a martian 5 the nra owns the gop and that is killing kids,"['1', 'no', 'border', 'laws', 'being', 'ignored', '2', 'biden', 'has', 'never', 'supported', 'defunding', 'the', 'police', '3', 'trump', 'pardoned', 'many', 'convicted', 'felons', 'more', 'than', 'any', 'previous', 'president', '4', 'dont', 'know', 'where', 'you', 'got', 'your', 'data', 'about', 'covid', 'spending', 'a', 'martian', '5', 'the', 'nra', 'owns', 'the', 'gop', 'and', 'that', 'is', 'killing', 'kids']","['1', 'border', 'laws', 'ignored', '2', 'biden', 'never', 'supported', 'defunding', 'police', '3', 'trump', 'pardoned', 'many', 'convicted', 'felons', 'previous', 'president', '4', 'dont', 'know', 'got', 'data', 'covid', 'spending', 'martian', '5', 'nra', 'owns', 'gop', 'killing', 'kids']","['1', 'border', 'law', 'ignor', '2', 'biden', 'never', 'support', 'defund', 'polic', '3', 'trump', 'pardon', 'mani', 'convict', 'felon', 'previou', 'presid', '4', 'dont', 'know', 'got', 'data', 'covid', 'spend', 'martian', '5', 'nra', 'own', 'gop', 'kill', 'kid']","['1', 'border', 'laws', 'ignored', '2', 'biden', 'never', 'supported', 'defunding', 'police', '3', 'trump', 'pardoned', 'many', 'convicted', 'felons', 'previous', 'president', '4', 'dont', 'know', 'got', 'data', 'covid', 'spending', 'martian', '5', 'nra', 'owns', 'gop', 'killing', 'kids']",1,Venezuela
