Date,Id,Tweet,Username,Location,likeCount,replyCount,retweetCount,quoteCount,userDescription,userFollowers,hashtags,Cleaned_Tweet,Tweet_tokenized,Tweet_removed_stop_word,Tweet_stemmed,Tweet_lemmatized,sentiment,Country
2022-06-02 14:06:05+00:00,1532362921510051840,@TedChaiban the global lead coordinator for #COVID19 Vaccine Deliver Partnership is in Kasungu to appreciate key #COVID19 vaccination activities implemented in the district. WHO &amp; partners are supporting @health_malawi to vaccinate at least  30% of target population by September https://t.co/yK42Fuk1Az,WHOMalawi,Lilongwe,4,0,6,0,Official Twitter account for WHO Malawi Country Office,1484,"['COVID19', 'COVID19']",the global lead coordinator for covid19 vaccine deliver partnership is in kasungu to appreciate key covid19 vaccination activities implemented in the district who amp partners are supporting to vaccinate at least 30 of target population by september,"['the', 'global', 'lead', 'coordinator', 'for', 'covid19', 'vaccine', 'deliver', 'partnership', 'is', 'in', 'kasungu', 'to', 'appreciate', 'key', 'covid19', 'vaccination', 'activities', 'implemented', 'in', 'the', 'district', 'who', 'amp', 'partners', 'are', 'supporting', 'to', 'vaccinate', 'at', 'least', '30', 'of', 'target', 'population', 'by', 'september']","['global', 'lead', 'coordinator', 'covid19', 'vaccine', 'deliver', 'partnership', 'kasungu', 'appreciate', 'key', 'covid19', 'vaccination', 'activities', 'implemented', 'district', 'amp', 'partners', 'supporting', 'vaccinate', 'least', '30', 'target', 'population', 'september']","['global', 'lead', 'coordin', 'covid19', 'vaccin', 'deliv', 'partnership', 'kasungu', 'appreci', 'key', 'covid19', 'vaccin', 'activ', 'implement', 'district', 'amp', 'partner', 'support', 'vaccin', 'least', '30', 'target', 'popul', 'septemb']","['global', 'lead', 'coordinator', 'covid19', 'vaccine', 'deliver', 'partnership', 'kasungu', 'appreciate', 'key', 'covid19', 'vaccination', 'activities', 'implemented', 'district', 'amp', 'partners', 'supporting', 'vaccinate', 'least', '30', 'target', 'population', 'september']",5,Zambia
2022-04-14 10:02:58+00:00,1514544735129587714,"VICE President WK Mutale Nalumango toured health facilities in Luangwa District to appreciate health service delivery. She commissioned Sinyawagora Rural Health Centre, toured Luangwa District Hospital and checked on drug status and recruitment process . https://t.co/uWiDzw0Kbj",mohzambia,"Lusaka, Zambia",5,0,0,0,The Ministry aims to address and share ideas with the public on various topics in the health field and related services,14235,,vice president wk mutale nalumango toured health facilities in luangwa district to appreciate health service delivery she commissioned sinyawagora rural health centre toured luangwa district hospital and checked on drug status and recruitment process,"['vice', 'president', 'wk', 'mutale', 'nalumango', 'toured', 'health', 'facilities', 'in', 'luangwa', 'district', 'to', 'appreciate', 'health', 'service', 'delivery', 'she', 'commissioned', 'sinyawagora', 'rural', 'health', 'centre', 'toured', 'luangwa', 'district', 'hospital', 'and', 'checked', 'on', 'drug', 'status', 'and', 'recruitment', 'process']","['vice', 'president', 'wk', 'mutale', 'nalumango', 'toured', 'health', 'facilities', 'luangwa', 'district', 'appreciate', 'health', 'service', 'delivery', 'commissioned', 'sinyawagora', 'rural', 'health', 'centre', 'toured', 'luangwa', 'district', 'hospital', 'checked', 'drug', 'status', 'recruitment', 'process']","['vice', 'presid', 'wk', 'mutal', 'nalumango', 'tour', 'health', 'facil', 'luangwa', 'district', 'appreci', 'health', 'servic', 'deliveri', 'commiss', 'sinyawagora', 'rural', 'health', 'centr', 'tour', 'luangwa', 'district', 'hospit', 'check', 'drug', 'statu', 'recruit', 'process']","['vice', 'president', 'wk', 'mutale', 'nalumango', 'toured', 'health', 'facilities', 'luangwa', 'district', 'appreciate', 'health', 'service', 'delivery', 'commissioned', 'sinyawagora', 'rural', 'health', 'centre', 'toured', 'luangwa', 'district', 'hospital', 'checked', 'drug', 'status', 'recruitment', 'process']",4,Zambia
2022-01-09 20:55:13+00:00,1480282030957080577,@HungryLionZM we appreciate the support 🙋🏽 https://t.co/oWe9F6oIgp,MuteshaK,"Lusaka, Zambia",0,0,0,0,Activist/ Medical Doctor/ Mental health advocate/ Photographer #YouthInnovationPower2022 #mentalhealthawareness,1130,,we appreciate the support,"['we', 'appreciate', 'the', 'support']","['appreciate', 'support']","['appreci', 'support']","['appreciate', 'support']",3,Zambia
2021-09-10 14:34:45+00:00,1436337352511737858,"Find your tribe, people who love you, support you, care for you and appreciate you for who you are. Stay off people you constantly have to prove yourself to.",OliviaTutu05,"Lusaka, Zambia",4,0,0,0,Lifestyle | Fashion | Faith | Finance | Authentic living 📍Zambia,204,,find your tribe people who love you support you care for you and appreciate you for who you are stay off people you constantly have to prove yourself to,"['find', 'your', 'tribe', 'people', 'who', 'love', 'you', 'support', 'you', 'care', 'for', 'you', 'and', 'appreciate', 'you', 'for', 'who', 'you', 'are', 'stay', 'off', 'people', 'you', 'constantly', 'have', 'to', 'prove', 'yourself', 'to']","['find', 'tribe', 'people', 'love', 'support', 'care', 'appreciate', 'stay', 'people', 'constantly', 'prove']","['find', 'tribe', 'peopl', 'love', 'support', 'care', 'appreci', 'stay', 'peopl', 'constantli', 'prove']","['find', 'tribe', 'people', 'love', 'support', 'care', 'appreciate', 'stay', 'people', 'constantly', 'prove']",5,Zambia
2021-07-22 06:48:57+00:00,1418100736307695617,"We shall stand behind you guys that push beyond and are not scared of humiliation from loss.
Look to us that will support and appreciate your efforts. 
#Zambia #TokyoOlympics https://t.co/GagpXiUZB4",KasubaAj,Lusaka,3,0,0,0,"Hybrid accountant | Eco/Organic Farmer|Bus driver | Radio Dj |
Fitness enthusiast |

Adding value to everything i engage in.",210,"['Zambia', 'TokyoOlympics']",we shall stand behind you guys that push beyond and are not scared of humiliation from loss look to us that will support and appreciate your efforts zambia tokyoolympics,"['we', 'shall', 'stand', 'behind', 'you', 'guys', 'that', 'push', 'beyond', 'and', 'are', 'not', 'scared', 'of', 'humiliation', 'from', 'loss', 'look', 'to', 'us', 'that', 'will', 'support', 'and', 'appreciate', 'your', 'efforts', 'zambia', 'tokyoolympics']","['shall', 'stand', 'behind', 'guys', 'push', 'beyond', 'scared', 'humiliation', 'loss', 'look', 'us', 'support', 'appreciate', 'efforts', 'zambia', 'tokyoolympics']","['shall', 'stand', 'behind', 'guy', 'push', 'beyond', 'scare', 'humili', 'loss', 'look', 'us', 'support', 'appreci', 'effort', 'zambia', 'tokyoolymp']","['shall', 'stand', 'behind', 'guys', 'push', 'beyond', 'scared', 'humiliation', 'loss', 'look', 'us', 'support', 'appreciate', 'efforts', 'zambia', 'tokyoolympics']",5,Zambia
2021-02-01 14:09:20+00:00,1356243240547184640,"Long story EP is available. You can pre-order the EP from now at a minimum of K1000 by sending the money to the following platforms:
Airtel Money-0999088273
Mpamba-0888810586
National Bank- 1006904455.
Will be highly appreciate for your support.@BucciMwale19 , @GwambaOfficial https://t.co/o0XatQmgd0",jambo265,Malawi,0,0,0,0,"ALLAH FIRST💜

• Programmer • Graphic Designer • Entrepreneur • RTs ≠ Endorsements • Views Are My Own •",290,,long story ep is available you can preorder the ep from now at a minimum of k1000 by sending the money to the following platforms airtel money0999088273 mpamba0888810586 national bank 1006904455 will be highly appreciate for your support,"['long', 'story', 'ep', 'is', 'available', 'you', 'can', 'preorder', 'the', 'ep', 'from', 'now', 'at', 'a', 'minimum', 'of', 'k1000', 'by', 'sending', 'the', 'money', 'to', 'the', 'following', 'platforms', 'airtel', 'money0999088273', 'mpamba0888810586', 'national', 'bank', '1006904455', 'will', 'be', 'highly', 'appreciate', 'for', 'your', 'support']","['long', 'story', 'ep', 'available', 'preorder', 'ep', 'minimum', 'k1000', 'sending', 'money', 'following', 'platforms', 'airtel', 'money0999088273', 'mpamba0888810586', 'national', 'bank', '1006904455', 'highly', 'appreciate', 'support']","['long', 'stori', 'ep', 'avail', 'preorder', 'ep', 'minimum', 'k1000', 'send', 'money', 'follow', 'platform', 'airtel', 'money0999088273', 'mpamba0888810586', 'nation', 'bank', '1006904455', 'highli', 'appreci', 'support']","['long', 'story', 'ep', 'available', 'preorder', 'ep', 'minimum', 'k1000', 'sending', 'money', 'following', 'platforms', 'airtel', 'money0999088273', 'mpamba0888810586', 'national', 'bank', '1006904455', 'highly', 'appreciate', 'support']",5,Zambia
2020-12-03 07:07:18+00:00,1334393756355846146,"#ZedTwitter, any recommendations for defy stoves expert? My stove is acting up but oven working perfectly. Appreciate your support https://t.co/R2hQkPvHrJ",MunaMudenda,"Lusaka, Zambia",6,4,9,2,"Syngenta Zambia Managing Director & Southern Africa Business Area Head. ZASTA President, AFSTA Board member and Croplife Zambia Board Treasury Head.",3669,['ZedTwitter'],zedtwitter any recommendations for defy stoves expert my stove is acting up but oven working perfectly appreciate your support,"['zedtwitter', 'any', 'recommendations', 'for', 'defy', 'stoves', 'expert', 'my', 'stove', 'is', 'acting', 'up', 'but', 'oven', 'working', 'perfectly', 'appreciate', 'your', 'support']","['zedtwitter', 'recommendations', 'defy', 'stoves', 'expert', 'stove', 'acting', 'oven', 'working', 'perfectly', 'appreciate', 'support']","['zedtwitt', 'recommend', 'defi', 'stove', 'expert', 'stove', 'act', 'oven', 'work', 'perfectli', 'appreci', 'support']","['zedtwitter', 'recommendations', 'defy', 'stoves', 'expert', 'stove', 'acting', 'oven', 'working', 'perfectly', 'appreciate', 'support']",5,Zambia
2020-10-13 08:26:19+00:00,1315931864092356608,"As of now we have a shortfall of K100,000.00
We appreciate for the support being rendered to us and we will keep you posted on the progress of the project.

All donations, be in cash or kind, can be channeled to the following parish account https://t.co/Z2cTC7Eght",Noph_19,"Blantyre, Malawi.",0,1,1,0,"An Anglican Priest, vicar of Linjidzi Parish at Lirangwe in the Diocese of Southern Malawi. Arsenal and Bullets fan.",481,,as of now we have a shortfall of k10000000 we appreciate for the support being rendered to us and we will keep you posted on the progress of the project all donations be in cash or kind can be channeled to the following parish account,"['as', 'of', 'now', 'we', 'have', 'a', 'shortfall', 'of', 'k10000000', 'we', 'appreciate', 'for', 'the', 'support', 'being', 'rendered', 'to', 'us', 'and', 'we', 'will', 'keep', 'you', 'posted', 'on', 'the', 'progress', 'of', 'the', 'project', 'all', 'donations', 'be', 'in', 'cash', 'or', 'kind', 'can', 'be', 'channeled', 'to', 'the', 'following', 'parish', 'account']","['shortfall', 'k10000000', 'appreciate', 'support', 'rendered', 'us', 'keep', 'posted', 'progress', 'project', 'donations', 'cash', 'kind', 'channeled', 'following', 'parish', 'account']","['shortfal', 'k10000000', 'appreci', 'support', 'render', 'us', 'keep', 'post', 'progress', 'project', 'donat', 'cash', 'kind', 'channel', 'follow', 'parish', 'account']","['shortfall', 'k10000000', 'appreciate', 'support', 'rendered', 'us', 'keep', 'posted', 'progress', 'project', 'donations', 'cash', 'kind', 'channeled', 'following', 'parish', 'account']",4,Zambia
2020-07-13 11:09:54+00:00,1282633344325505025,"@Indian_Embassy 
Dear sir
We are stranded Indians in Angola for last 4 months.
We are 9 in total.
Please help us to find flights to India from France.
From Luanda,there is one chartered flight arriving in CDG,Paris on 21 July.
We will appreciate your support
Shankar
±919819763064",sjharam,"Mumbai,India",0,0,0,0,,11,,dear sir we are stranded indians in angola for last 4 months we are 9 in total please help us to find flights to india from france from luandathere is one chartered flight arriving in cdgparis on 21 july we will appreciate your support shankar 919819763064,"['dear', 'sir', 'we', 'are', 'stranded', 'indians', 'in', 'angola', 'for', 'last', '4', 'months', 'we', 'are', '9', 'in', 'total', 'please', 'help', 'us', 'to', 'find', 'flights', 'to', 'india', 'from', 'france', 'from', 'luandathere', 'is', 'one', 'chartered', 'flight', 'arriving', 'in', 'cdgparis', 'on', '21', 'july', 'we', 'will', 'appreciate', 'your', 'support', 'shankar', '919819763064']","['dear', 'sir', 'stranded', 'indians', 'angola', 'last', '4', 'months', '9', 'total', 'please', 'help', 'us', 'find', 'flights', 'india', 'france', 'luandathere', 'one', 'chartered', 'flight', 'arriving', 'cdgparis', '21', 'july', 'appreciate', 'support', 'shankar', '919819763064']","['dear', 'sir', 'strand', 'indian', 'angola', 'last', '4', 'month', '9', 'total', 'pleas', 'help', 'us', 'find', 'flight', 'india', 'franc', 'luandather', 'one', 'charter', 'flight', 'arriv', 'cdgpari', '21', 'juli', 'appreci', 'support', 'shankar', '919819763064']","['dear', 'sir', 'stranded', 'indians', 'angola', 'last', '4', 'months', '9', 'total', 'please', 'help', 'us', 'find', 'flights', 'india', 'france', 'luandathere', 'one', 'chartered', 'flight', 'arriving', 'cdgparis', '21', 'july', 'appreciate', 'support', 'shankar', '919819763064']",5,Zambia
2019-12-31 21:58:45+00:00,1212131002505711617,"2019 was a good year, I appreciate the love and support you guys have shown me through the year, may 2020 bring peace love and more blessings to your lives

HAPPY 2020 @ Lusaka, Zambia https://t.co/VQy2xkNND7",Richbizzy,Lusaka,0,0,0,0,musician,1117,,2019 was a good year i appreciate the love and support you guys have shown me through the year may 2020 bring peace love and more blessings to your lives happy 2020 lusaka zambia,"['2019', 'was', 'a', 'good', 'year', 'i', 'appreciate', 'the', 'love', 'and', 'support', 'you', 'guys', 'have', 'shown', 'me', 'through', 'the', 'year', 'may', '2020', 'bring', 'peace', 'love', 'and', 'more', 'blessings', 'to', 'your', 'lives', 'happy', '2020', 'lusaka', 'zambia']","['2019', 'good', 'year', 'appreciate', 'love', 'support', 'guys', 'shown', 'year', 'may', '2020', 'bring', 'peace', 'love', 'blessings', 'lives', 'happy', '2020', 'lusaka', 'zambia']","['2019', 'good', 'year', 'appreci', 'love', 'support', 'guy', 'shown', 'year', 'may', '2020', 'bring', 'peac', 'love', 'bless', 'live', 'happi', '2020', 'lusaka', 'zambia']","['2019', 'good', 'year', 'appreciate', 'love', 'support', 'guys', 'shown', 'year', 'may', '2020', 'bring', 'peace', 'love', 'blessings', 'lives', 'happy', '2020', 'lusaka', 'zambia']",5,Zambia
