Date,Id,Tweet,Username,Location,likeCount,replyCount,retweetCount,quoteCount,userDescription,userFollowers,hashtags,Cleaned_Tweet,Tweet_tokenized,Tweet_removed_stop_word,Tweet_stemmed,Tweet_lemmatized,sentiment,Country
2022-06-08 04:43:08+00:00,1534395580306317314,"@expressoshow My husband is such a amazing good father to our kids, he teaches our children to appreciate things,he is so supportive and loyal, he works so hard just to provide for his family, we really appreciate everything he does for us. #ADoseOfCare
#ExpressoShow 
#Panado",FridaMaphefo,"Polokwane, South Africa",1,0,0,0,,85,"['ADoseOfCare', 'ExpressoShow', 'Panado']",my husband is such a amazing good father to our kids he teaches our children to appreciate thingshe is so supportive and loyal he works so hard just to provide for his family we really appreciate everything he does for us adoseofcare expressoshow panado,"['my', 'husband', 'is', 'such', 'a', 'amazing', 'good', 'father', 'to', 'our', 'kids', 'he', 'teaches', 'our', 'children', 'to', 'appreciate', 'thingshe', 'is', 'so', 'supportive', 'and', 'loyal', 'he', 'works', 'so', 'hard', 'just', 'to', 'provide', 'for', 'his', 'family', 'we', 'really', 'appreciate', 'everything', 'he', 'does', 'for', 'us', 'adoseofcare', 'expressoshow', 'panado']","['husband', 'amazing', 'good', 'father', 'kids', 'teaches', 'children', 'appreciate', 'thingshe', 'supportive', 'loyal', 'works', 'hard', 'provide', 'family', 'really', 'appreciate', 'everything', 'us', 'adoseofcare', 'expressoshow', 'panado']","['husband', 'amaz', 'good', 'father', 'kid', 'teach', 'children', 'appreci', 'thingsh', 'support', 'loyal', 'work', 'hard', 'provid', 'famili', 'realli', 'appreci', 'everyth', 'us', 'adoseofcar', 'expressoshow', 'panado']","['husband', 'amazing', 'good', 'father', 'kids', 'teaches', 'children', 'appreciate', 'thingshe', 'supportive', 'loyal', 'works', 'hard', 'provide', 'family', 'really', 'appreciate', 'everything', 'us', 'adoseofcare', 'expressoshow', 'panado']",5,Zimbabwe
2022-06-06 22:37:32+00:00,1533941184514629633,"Guys real sorry no stream tonight, pain has been insane.

I’m actually seeing medical people tomorrow, big step for me tbh..
So we’ll see how it goes.

you can still go watch content and support the channel..
Thanks again guys, really appreciate you all.

https://t.co/S9Z0Ut4G6h",tozol,Derbyshire,4,0,0,0,twitch.tv/crankygamersuk CGUK Merch: ebay.co.uk/str/beagardenuk,1756,,guys real sorry no stream tonight pain has been insane im actually seeing medical people tomorrow big step for me tbh so well see how it goes you can still go watch content and support the channel thanks again guys really appreciate you all,"['guys', 'real', 'sorry', 'no', 'stream', 'tonight', 'pain', 'has', 'been', 'insane', 'im', 'actually', 'seeing', 'medical', 'people', 'tomorrow', 'big', 'step', 'for', 'me', 'tbh', 'so', 'well', 'see', 'how', 'it', 'goes', 'you', 'can', 'still', 'go', 'watch', 'content', 'and', 'support', 'the', 'channel', 'thanks', 'again', 'guys', 'really', 'appreciate', 'you', 'all']","['guys', 'real', 'sorry', 'stream', 'tonight', 'pain', 'insane', 'im', 'actually', 'seeing', 'medical', 'people', 'tomorrow', 'big', 'step', 'tbh', 'well', 'see', 'goes', 'still', 'go', 'watch', 'content', 'support', 'channel', 'thanks', 'guys', 'really', 'appreciate']","['guy', 'real', 'sorri', 'stream', 'tonight', 'pain', 'insan', 'im', 'actual', 'see', 'medic', 'peopl', 'tomorrow', 'big', 'step', 'tbh', 'well', 'see', 'goe', 'still', 'go', 'watch', 'content', 'support', 'channel', 'thank', 'guy', 'realli', 'appreci']","['guys', 'real', 'sorry', 'stream', 'tonight', 'pain', 'insane', 'im', 'actually', 'seeing', 'medical', 'people', 'tomorrow', 'big', 'step', 'tbh', 'well', 'see', 'goes', 'still', 'go', 'watch', 'content', 'support', 'channel', 'thanks', 'guys', 'really', 'appreciate']",5,Zimbabwe
2022-06-06 14:20:50+00:00,1533816186152042496,"@Dischem I want to thank my dad for being a responsible dad who always makes sure that his family's needs are well taken care of, for his love,care and support, I really appreciate him.",mahlasedisama,"Mamelodi, South Africa",0,0,0,0,"Pedi Princess, Village Girl,Shy and ❤️food
🇿🇦🇿🇦 IG:@mahlaseditshebesebe",6520,,i want to thank my dad for being a responsible dad who always makes sure that his familys needs are well taken care of for his lovecare and support i really appreciate him,"['i', 'want', 'to', 'thank', 'my', 'dad', 'for', 'being', 'a', 'responsible', 'dad', 'who', 'always', 'makes', 'sure', 'that', 'his', 'familys', 'needs', 'are', 'well', 'taken', 'care', 'of', 'for', 'his', 'lovecare', 'and', 'support', 'i', 'really', 'appreciate', 'him']","['want', 'thank', 'dad', 'responsible', 'dad', 'always', 'makes', 'sure', 'familys', 'needs', 'well', 'taken', 'care', 'lovecare', 'support', 'really', 'appreciate']","['want', 'thank', 'dad', 'respons', 'dad', 'alway', 'make', 'sure', 'famili', 'need', 'well', 'taken', 'care', 'lovecar', 'support', 'realli', 'appreci']","['want', 'thank', 'dad', 'responsible', 'dad', 'always', 'makes', 'sure', 'familys', 'needs', 'well', 'taken', 'care', 'lovecare', 'support', 'really', 'appreciate']",5,Zimbabwe
2022-06-06 13:43:02+00:00,1533806674137448448,Happy National Day @SwedeninZW from us @UNFPA - we truly appreciate your support to #SexualReproductiveHealth #GenderBasedViolence for many years now thru the #IntegratedSupportProgramme  #HealthDevelopmentFund &amp; #GBV365 program @Emuia @abbiemse @DagmarHanisch @verena_bruno https://t.co/e3xLosJgr3,UNFPA_Zimbabwe,Harare,18,0,6,1,"Delivering a world where every pregnancy is wanted, every childbirth is safe and every young person's potential is fulfilled.",35520,"['SexualReproductiveHealth', 'GenderBasedViolence', 'IntegratedSupportProgramme', 'HealthDevelopmentFund', 'GBV365']",happy national day from us we truly appreciate your support to sexualreproductivehealth genderbasedviolence for many years now thru the integratedsupportprogramme healthdevelopmentfund amp gbv365 program,"['happy', 'national', 'day', 'from', 'us', 'we', 'truly', 'appreciate', 'your', 'support', 'to', 'sexualreproductivehealth', 'genderbasedviolence', 'for', 'many', 'years', 'now', 'thru', 'the', 'integratedsupportprogramme', 'healthdevelopmentfund', 'amp', 'gbv365', 'program']","['happy', 'national', 'day', 'us', 'truly', 'appreciate', 'support', 'sexualreproductivehealth', 'genderbasedviolence', 'many', 'years', 'thru', 'integratedsupportprogramme', 'healthdevelopmentfund', 'amp', 'gbv365', 'program']","['happi', 'nation', 'day', 'us', 'truli', 'appreci', 'support', 'sexualreproductivehealth', 'genderbasedviol', 'mani', 'year', 'thru', 'integratedsupportprogramm', 'healthdevelopmentfund', 'amp', 'gbv365', 'program']","['happy', 'national', 'day', 'us', 'truly', 'appreciate', 'support', 'sexualreproductivehealth', 'genderbasedviolence', 'many', 'years', 'thru', 'integratedsupportprogramme', 'healthdevelopmentfund', 'amp', 'gbv365', 'program']",5,Zimbabwe
2022-06-05 07:01:08+00:00,1533343146431610880,"As we wrapped up the biggest promotion yesterday with a bang, we would like to appreciate everyone who participated and supported us. 
And to the winner we say congratulations on your new car🎉🎉

Thank You, Tinotenda, Siyabonga

Until next time...

#lulucares
#shandisalulu https://t.co/R8o8RkycMq https://t.co/6FBBagNjGZ",LuluTissues,Zimbabwe,9,2,3,0,"Zimbabwe's number one manufacturer of toilet paper, Lulu Tissues.",465,"['lulucares', 'shandisalulu']",as we wrapped up the biggest promotion yesterday with a bang we would like to appreciate everyone who participated and supported us and to the winner we say congratulations on your new car thank you tinotenda siyabonga until next time lulucares shandisalulu,"['as', 'we', 'wrapped', 'up', 'the', 'biggest', 'promotion', 'yesterday', 'with', 'a', 'bang', 'we', 'would', 'like', 'to', 'appreciate', 'everyone', 'who', 'participated', 'and', 'supported', 'us', 'and', 'to', 'the', 'winner', 'we', 'say', 'congratulations', 'on', 'your', 'new', 'car', 'thank', 'you', 'tinotenda', 'siyabonga', 'until', 'next', 'time', 'lulucares', 'shandisalulu']","['wrapped', 'biggest', 'promotion', 'yesterday', 'bang', 'would', 'like', 'appreciate', 'everyone', 'participated', 'supported', 'us', 'winner', 'say', 'congratulations', 'new', 'car', 'thank', 'tinotenda', 'siyabonga', 'next', 'time', 'lulucares', 'shandisalulu']","['wrap', 'biggest', 'promot', 'yesterday', 'bang', 'would', 'like', 'appreci', 'everyon', 'particip', 'support', 'us', 'winner', 'say', 'congratul', 'new', 'car', 'thank', 'tinotenda', 'siyabonga', 'next', 'time', 'lulucar', 'shandisalulu']","['wrapped', 'biggest', 'promotion', 'yesterday', 'bang', 'would', 'like', 'appreciate', 'everyone', 'participated', 'supported', 'us', 'winner', 'say', 'congratulations', 'new', 'car', 'thank', 'tinotenda', 'siyabonga', 'next', 'time', 'lulucares', 'shandisalulu']",5,Zimbabwe
2022-06-03 00:21:26+00:00,1532517779198320642,"Hi My name is Michel Tshuma, a medical student at UZ. I would appreciate to get your support just by a vote for Miss UZ 2022. The voting link is below. Thank you in advance

https://t.co/uyvpZJ0Ocv

Please note you can only cast only one vote per day. https://t.co/Waj00v1hMO",MichelTshuma,Zimbabwe ,4,0,1,0,Multipotentialite||Founder of YoYogis||BioMedicalSciences Student||Entrepreneur||Gemologist||,180,,hi my name is michel tshuma a medical student at uz i would appreciate to get your support just by a vote for miss uz 2022 the voting link is below thank you in advance please note you can only cast only one vote per day,"['hi', 'my', 'name', 'is', 'michel', 'tshuma', 'a', 'medical', 'student', 'at', 'uz', 'i', 'would', 'appreciate', 'to', 'get', 'your', 'support', 'just', 'by', 'a', 'vote', 'for', 'miss', 'uz', '2022', 'the', 'voting', 'link', 'is', 'below', 'thank', 'you', 'in', 'advance', 'please', 'note', 'you', 'can', 'only', 'cast', 'only', 'one', 'vote', 'per', 'day']","['hi', 'name', 'michel', 'tshuma', 'medical', 'student', 'uz', 'would', 'appreciate', 'get', 'support', 'vote', 'miss', 'uz', '2022', 'voting', 'link', 'thank', 'advance', 'please', 'note', 'cast', 'one', 'vote', 'per', 'day']","['hi', 'name', 'michel', 'tshuma', 'medic', 'student', 'uz', 'would', 'appreci', 'get', 'support', 'vote', 'miss', 'uz', '2022', 'vote', 'link', 'thank', 'advanc', 'pleas', 'note', 'cast', 'one', 'vote', 'per', 'day']","['hi', 'name', 'michel', 'tshuma', 'medical', 'student', 'uz', 'would', 'appreciate', 'get', 'support', 'vote', 'miss', 'uz', '2022', 'voting', 'link', 'thank', 'advance', 'please', 'note', 'cast', 'one', 'vote', 'per', 'day']",1,Zimbabwe
2022-06-02 13:56:18+00:00,1532360460863000581,@Thembisile_Q They need our love and support.  We Appreciate them #CrazySocks4Docs #Caring4OurCareers,pontsho_mp,"Pretoria, South Africa",6,0,5,0,"Mommy💕🌺

Cherry 🍒 to my berry",117088,"['CrazySocks4Docs', 'Caring4OurCareers']",they need our love and support we appreciate them crazysocks4docs caring4ourcareers,"['they', 'need', 'our', 'love', 'and', 'support', 'we', 'appreciate', 'them', 'crazysocks4docs', 'caring4ourcareers']","['need', 'love', 'support', 'appreciate', 'crazysocks4docs', 'caring4ourcareers']","['need', 'love', 'support', 'appreci', 'crazysocks4doc', 'caring4ourcar']","['need', 'love', 'support', 'appreciate', 'crazysocks4docs', 'caring4ourcareers']",5,Zimbabwe
2022-06-01 10:57:30+00:00,1531953076776599552,"We “appreciate all parents for their selfless commitment to their children and their lifelong sacrifice towards nurturing this relationship…[because] without support from parents, children’s health, education and emotional well-being is at risk.” - UN 
#GlobalDayofParents https://t.co/RL2STkIoCY",ADRAZimbabwe,"Harare, Zimbabwe",4,0,0,0,ADRA works with people in poverty and distress to create just and positive change through empowering and responsible actions,761,['GlobalDayofParents'],we appreciate all parents for their selfless commitment to their children and their lifelong sacrifice towards nurturing this relationshipbecause without support from parents childrens health education and emotional wellbeing is at risk un globaldayofparents,"['we', 'appreciate', 'all', 'parents', 'for', 'their', 'selfless', 'commitment', 'to', 'their', 'children', 'and', 'their', 'lifelong', 'sacrifice', 'towards', 'nurturing', 'this', 'relationshipbecause', 'without', 'support', 'from', 'parents', 'childrens', 'health', 'education', 'and', 'emotional', 'wellbeing', 'is', 'at', 'risk', 'un', 'globaldayofparents']","['appreciate', 'parents', 'selfless', 'commitment', 'children', 'lifelong', 'sacrifice', 'towards', 'nurturing', 'relationshipbecause', 'without', 'support', 'parents', 'childrens', 'health', 'education', 'emotional', 'wellbeing', 'risk', 'un', 'globaldayofparents']","['appreci', 'parent', 'selfless', 'commit', 'children', 'lifelong', 'sacrific', 'toward', 'nurtur', 'relationshipbecaus', 'without', 'support', 'parent', 'children', 'health', 'educ', 'emot', 'wellb', 'risk', 'un', 'globaldayofpar']","['appreciate', 'parents', 'selfless', 'commitment', 'children', 'lifelong', 'sacrifice', 'towards', 'nurturing', 'relationshipbecause', 'without', 'support', 'parents', 'childrens', 'health', 'education', 'emotional', 'wellbeing', 'risk', 'un', 'globaldayofparents']",5,Zimbabwe
2022-05-30 07:24:14+00:00,1531174632639893504,"I appreciate the passion for politics, but let us be careful, We are all slowly becoming toxic activists, angry at everything.
We need each other, are they helping you or telling you how bad those supporting you and helping you are! 
I am a business man at it ends there.",MudiwaHood,"Harare, Zimbabwe",325,209,25,18,provoke.inspire.motivate,155457,,i appreciate the passion for politics but let us be careful we are all slowly becoming toxic activists angry at everything we need each other are they helping you or telling you how bad those supporting you and helping you are i am a business man at it ends there,"['i', 'appreciate', 'the', 'passion', 'for', 'politics', 'but', 'let', 'us', 'be', 'careful', 'we', 'are', 'all', 'slowly', 'becoming', 'toxic', 'activists', 'angry', 'at', 'everything', 'we', 'need', 'each', 'other', 'are', 'they', 'helping', 'you', 'or', 'telling', 'you', 'how', 'bad', 'those', 'supporting', 'you', 'and', 'helping', 'you', 'are', 'i', 'am', 'a', 'business', 'man', 'at', 'it', 'ends', 'there']","['appreciate', 'passion', 'politics', 'let', 'us', 'careful', 'slowly', 'becoming', 'toxic', 'activists', 'angry', 'everything', 'need', 'helping', 'telling', 'bad', 'supporting', 'helping', 'business', 'man', 'ends']","['appreci', 'passion', 'polit', 'let', 'us', 'care', 'slowli', 'becom', 'toxic', 'activist', 'angri', 'everyth', 'need', 'help', 'tell', 'bad', 'support', 'help', 'busi', 'man', 'end']","['appreciate', 'passion', 'politics', 'let', 'us', 'careful', 'slowly', 'becoming', 'toxic', 'activists', 'angry', 'everything', 'need', 'helping', 'telling', 'bad', 'supporting', 'helping', 'business', 'man', 'ends']",2,Zimbabwe
2022-05-09 17:11:42+00:00,1523712324862980099,@nickmangwana I think from a leadership perspective you should at least appreciate that all is not well. This thing of insulting people who have genuine concerns doesn’t suit your office and neither does it give you supporters. You are a national leader not just of zanu.,John11521884,,0,0,0,0,"Accountant, Retailer, Farmer, Patriot",1000,,i think from a leadership perspective you should at least appreciate that all is not well this thing of insulting people who have genuine concerns doesnt suit your office and neither does it give you supporters you are a national leader not just of zanu,"['i', 'think', 'from', 'a', 'leadership', 'perspective', 'you', 'should', 'at', 'least', 'appreciate', 'that', 'all', 'is', 'not', 'well', 'this', 'thing', 'of', 'insulting', 'people', 'who', 'have', 'genuine', 'concerns', 'doesnt', 'suit', 'your', 'office', 'and', 'neither', 'does', 'it', 'give', 'you', 'supporters', 'you', 'are', 'a', 'national', 'leader', 'not', 'just', 'of', 'zanu']","['think', 'leadership', 'perspective', 'least', 'appreciate', 'well', 'thing', 'insulting', 'people', 'genuine', 'concerns', 'doesnt', 'suit', 'office', 'neither', 'give', 'supporters', 'national', 'leader', 'zanu']","['think', 'leadership', 'perspect', 'least', 'appreci', 'well', 'thing', 'insult', 'peopl', 'genuin', 'concern', 'doesnt', 'suit', 'offic', 'neither', 'give', 'support', 'nation', 'leader', 'zanu']","['think', 'leadership', 'perspective', 'least', 'appreciate', 'well', 'thing', 'insulting', 'people', 'genuine', 'concerns', 'doesnt', 'suit', 'office', 'neither', 'give', 'supporters', 'national', 'leader', 'zanu']",1,Zimbabwe
